"Site","Var","StartDate","EndDate","nMeas","nMeas5","MinVal","MaxVal"
"lake alice (composite)","NH4N","2014-11-27","2018-12-07","17","11","0.005","0.21"
"lake alice (composite)","TP","2014-11-27","2018-12-07","17","11","0.046","0.278"
"lake alice (composite)","TN","2014-11-27","2018-12-07","17","11","0.79","2.42"
"lake alice (composite)","ECOLI","2014-11-27","2018-12-07","14","8","4","44"
"lake alice (composite)","CHLA","2014-11-27","2018-12-07","17","11","1.9","139"
"lake dudding (composite)","NH4N","2014-02-19","2019-02-14","22","14","0.01","1.213"
"lake dudding (composite)","TP","2014-02-19","2019-02-14","22","14","0.032","0.239"
"lake dudding (composite)","TN","2014-02-19","2019-02-14","22","14","0.687","2.733"
"lake dudding (composite)","ECOLI","2014-02-19","2019-02-14","22","14","4","340"
"lake dudding (composite)","CHLA","2014-02-19","2019-02-14","22","14","1.9","153"
"lake heaton (composite)","NH4N","2014-02-19","2018-12-07","20","11","0.001","0.39"
"lake heaton (composite)","TP","2014-02-19","2018-12-07","20","11","0.06","0.797"
"lake heaton (composite)","TN","2014-02-19","2018-12-07","20","11","0.75","3.84"
"lake heaton (composite)","ECOLI","2014-02-19","2018-12-07","17","8","0","1200"
"lake heaton (composite)","CHLA","2014-02-19","2018-12-07","20","11","1.9","101"
"lake herbert (composite)","NH4N","2015-03-25","2018-12-07","15","11","0.01","0.18"
"lake herbert (composite)","TP","2015-03-25","2018-12-07","15","11","0.029","0.115"
"lake herbert (composite)","TN","2015-03-25","2018-12-07","15","11","0.55","1.93"
"lake herbert (composite)","ECOLI","2015-03-25","2018-12-07","12","8","4","110"
"lake herbert (composite)","CHLA","2015-03-25","2018-12-07","15","11","1.9","66"
"lake horowhenua composite","NH4N","2013-07-17","2019-02-18","60","30","0.01","3"
"lake horowhenua composite","TP","2013-07-17","2019-02-18","60","30","0.023","1.33"
"lake horowhenua composite","TN","2013-07-17","2019-02-18","60","30","1.01","4.7"
"lake horowhenua composite","ECOLI","2013-07-17","2019-02-18","59","29","4","230"
"lake horowhenua composite","CHLA","2013-07-17","2019-02-18","60","30","1.9","718"
"lake pauri composite","NH4N","2014-02-04","2019-02-14","20","12","0","0.1"
"lake pauri composite","TP","2014-02-04","2019-02-14","20","12","0.029","0.11"
"lake pauri composite","TN","2014-02-04","2019-02-14","20","12","0.91","1.86"
"lake pauri composite","ECOLI","2014-02-04","2019-02-14","18","10","0","160"
"lake pauri composite","CHLA","2014-02-04","2019-02-14","20","12","1.9","172"
"lake westmere (composite)","NH4N","2016-03-03","2018-12-07","11","11","0.01","0.75"
"lake westmere (composite)","TP","2016-03-03","2018-12-07","11","11","0.037","0.199"
"lake westmere (composite)","TN","2016-03-03","2018-12-07","11","11","0.63","1.96"
"lake westmere (composite)","ECOLI","2016-03-03","2018-12-07","8","8","4","44"
"lake westmere (composite)","CHLA","2016-03-03","2018-12-07","11","11","2.6","58"
"lake william (composite)","NH4N","2015-12-17","2018-12-07","10","9","0.01","0.12"
"lake william (composite)","TP","2015-12-17","2018-12-07","12","11","0.058","0.213"
"lake william (composite)","TN","2015-12-17","2018-12-07","12","11","0.97","1.99"
"lake william (composite)","ECOLI","2015-12-17","2018-12-07","9","8","4","54"
"lake william (composite)","CHLA","2016-03-03","2018-12-07","11","11","2.8","71"
"lake wiritoa composite","NH4N","2014-02-04","2018-02-28","16","8","0.01","0.14"
"lake wiritoa composite","TP","2014-02-04","2018-02-28","16","8","0.025","0.414"
"lake wiritoa composite","TN","2014-02-04","2018-02-28","16","8","0.694","1.48"
"lake wiritoa composite","ECOLI","2014-02-04","2018-02-28","16","8","4","97"
"lake wiritoa composite","CHLA","2014-02-04","2018-02-28","16","8","1.9","98"
"omanuka lagoon (composite)","NH4N","2014-11-27","2018-12-07","17","11","0.002","0.26"
"omanuka lagoon (composite)","TP","2014-11-27","2018-12-07","17","11","0.082","1.13"
"omanuka lagoon (composite)","TN","2014-11-27","2018-12-07","17","11","1.45","5.69"
"omanuka lagoon (composite)","ECOLI","2014-11-27","2018-12-07","14","8","4","560"
"omanuka lagoon (composite)","CHLA","2014-11-27","2018-12-07","17","11","1.9","125"
