"Site","Var","StartDate","EndDate","nMeas","nMeas5","MinVal","MaxVal"
"lake opouahi top","NH4N","2008-05-21","2019-12-19","68","20","0.005","1.44"
"lake opouahi top","TP","2008-05-21","2019-12-19","136","40","0.008","0.198"
"lake opouahi top","TN","2008-05-21","2019-12-19","68","20","0.1","1.61"
"lake opouahi top","Secchi","2008-05-21","2019-12-19","68","20","1.25","8.1"
"lake opouahi top","CHLA","2008-05-21","2019-12-19","77","20","0.6","82"
"lake opouahi top","ECOLI","2008-05-21","2019-12-19","62","20","1","48"
"lake opouahi top","pH","2008-05-21","2019-12-19","72","20","7.6","8.9"
"lake orakai at jetty","NH4N","2018-09-20","2019-12-18","16","16","0.005","0.084"
"lake orakai at jetty","TP","2018-09-20","2019-12-18","32","32","0.057","0.35"
"lake orakai at jetty","TN","2018-09-20","2019-12-18","16","16","0.93","3.9"
"lake orakai at jetty","Secchi","2018-10-16","2019-12-18","8","8","0.2","2.3"
"lake orakai at jetty","CHLA","2018-09-20","2019-12-18","16","16","7.7","156"
"lake orakai at jetty","ECOLI","2018-09-20","2019-12-18","16","16","10","80"
"lake orakai at jetty","pH","2018-09-20","2019-12-18","16","16","7.6","9.9"
"lake tutira top","NH4N","2008-05-21","2019-12-19","135","48","0.005","0.46"
"lake tutira top","TP","2008-05-21","2019-12-19","272","96","0.004","0.069"
"lake tutira top","TN","2008-05-21","2019-12-19","136","48","0.16","1.85"
"lake tutira top","Secchi","2008-05-21","2019-12-19","127","46","0","9.9"
"lake tutira top","CHLA","2008-09-17","2019-12-19","160","54","0.3","139"
"lake tutira top","ECOLI","2008-05-21","2019-12-19","125","47","1","23"
"lake tutira top","pH","2008-05-21","2019-12-19","172","48","7.3","9.4"
"lake waikopiro top","NH4N","2008-06-26","2019-12-19","84","36","0.005","0.64"
"lake waikopiro top","TP","2008-06-26","2019-12-19","168","72","0.0085","0.13"
"lake waikopiro top","TN","2008-06-26","2019-12-19","84","36","0.3","2.6"
"lake waikopiro top","Secchi","2008-06-26","2019-12-19","80","33","0.65","6.1"
"lake waikopiro top","CHLA","2008-09-17","2019-12-19","86","38","0.27","160"
"lake waikopiro top","ECOLI","2008-06-26","2019-12-19","80","36","1","150"
"lake waikopiro top","pH","2008-06-26","2019-12-19","87","36","7.2","10.2"
"whakaki at outlet","NH4N","2015-09-28","2019-12-04","27","22","0.005","0.84"
"whakaki at outlet","TP","2015-09-28","2019-12-04","186","176","0.076","2.3"
"whakaki at outlet","TN","2015-09-28","2019-12-04","93","88","0.66","7"
"whakaki at outlet","Secchi","2018-12-19","2019-11-06","5","5","0.08","0.32"
"whakaki at outlet","CHLA","2018-04-23","2019-12-04","21","21","3","183"
"whakaki at outlet","ECOLI","2017-06-20","2019-12-04","19","19","19","16000"
"whakaki at outlet","pH","2017-02-13","2019-12-04","33","33","7.19","9.2"
"whakaki lake 1st bluff","NH4N","2015-06-04","2019-12-04","38","35","0.005","2.4"
"whakaki lake 1st bluff","TP","2015-06-04","2019-12-04","76","70","0.153","0.99"
"whakaki lake 1st bluff","TN","2015-06-04","2019-12-04","38","35","1.2","11.4"
"whakaki lake 1st bluff","Secchi","2015-06-04","2019-12-04","32","29","0.03","0.36"
"whakaki lake 1st bluff","CHLA","2015-06-04","2019-12-04","37","34","24","780"
"whakaki lake 1st bluff","ECOLI","2015-06-04","2019-12-04","33","31","1","3700"
"whakaki lake 1st bluff","pH","2015-06-04","2019-12-04","74","67","7.6","10.02"
"whakaki lake 2nd bluff","NH4N","2015-06-04","2019-12-04","39","36","0.005","2"
"whakaki lake 2nd bluff","TP","2015-06-04","2019-12-04","78","72","0.058","0.94"
"whakaki lake 2nd bluff","TN","2015-06-04","2019-12-04","39","36","1.29","12.7"
"whakaki lake 2nd bluff","Secchi","2015-06-04","2019-12-04","33","30","0.04","0.29"
"whakaki lake 2nd bluff","CHLA","2015-06-04","2019-12-04","38","35","16","980"
"whakaki lake 2nd bluff","ECOLI","2015-06-04","2019-12-04","34","32","1","12000"
"whakaki lake 2nd bluff","pH","2015-06-04","2019-12-04","73","66","7.4","10.21"
