"x"
"Analysts Comments"
"AnalyteCode"
"AnalyteName"
"Archived"
"BatchNumber"
"Clarity"
"Collection Method"
"Colour"
"Comments"
"Consent Number"
"Cost"
"Cost Code"
"Detection Limit"
"ELS Sample Number"
"Field Technician"
"Flow Rate"
"Grid Reference"
"Lab"
"Lab Sample ID"
"Labs Comment"
"LabsTestMethod"
"LabTestID"
"Lower Confidence Limit"
"Meter Name"
"Method"
"MethodText"
"Observer"
"Odour"
"Project"
"Received at Lab"
"ReceivedDate"
"ReportedDate"
"Result Value"
"Results Received"
"Sample ID"
"Samples from"
"Source of Water"
"Special Instructions for Lab"
"Standard Uncertainty"
"TestMethodName"
"Tide"
"Tide Direction"
"Upper Confidence Limit"
"Weather"
"Wind Direction"
"Wind Speed"
