"CouncilSiteID","Date","Value","Method","Measurement","Censored","centype","QC"
"lake opouahi top","01-Dec-17",0.005,"","NH4N",TRUE,"Left",""
"lake opouahi top","01-Dec-17",0.023,"","TP",FALSE,"FALSE",""
"lake opouahi top","01-Dec-17",0.023,"","TP",FALSE,"FALSE",""
"lake opouahi top","01-Dec-17",0.39,"","TN",FALSE,"FALSE",""
"lake opouahi top","01-Dec-17",1.5,"","Secchi",FALSE,"FALSE",""
"lake opouahi top","01-Dec-17",25,"","CHLA",FALSE,"FALSE",""
"lake opouahi top","01-Dec-17",6,"","ECOLI",FALSE,"FALSE",""
"lake opouahi top","01-Dec-17",8,"","pH",FALSE,"FALSE",""
"lake opouahi top","02-Aug-11",0.01,"","NH4N",TRUE,"Left",""
"lake opouahi top","02-Aug-11",0.014,"","TP",FALSE,"FALSE",""
"lake opouahi top","02-Aug-11",0.014,"","TP",FALSE,"FALSE",""
"lake opouahi top","02-Aug-11",0.31,"","TN",FALSE,"FALSE",""
"lake opouahi top","02-Aug-11",1.1,"","CHLA",FALSE,"FALSE",""
"lake opouahi top","02-Aug-11",3.1,"","Secchi",FALSE,"FALSE",""
"lake opouahi top","02-Aug-11",8.32,"","pH",FALSE,"FALSE",""
"lake opouahi top","02-Aug-11",8.4,"","pH",FALSE,"FALSE",""
"lake opouahi top","03-Jun-16",0.018,"","TP",FALSE,"FALSE",""
"lake opouahi top","03-Jun-16",0.018,"","TP",FALSE,"FALSE",""
"lake opouahi top","03-Jun-16",0.036,"","NH4N",FALSE,"FALSE",""
"lake opouahi top","03-Jun-16",0.27,"","TN",FALSE,"FALSE",""
"lake opouahi top","03-Jun-16",1,"","ECOLI",TRUE,"Left",""
"lake opouahi top","03-Jun-16",3.2,"","Secchi",FALSE,"FALSE",""
"lake opouahi top","03-Jun-16",5.1000004,"","CHLA",FALSE,"FALSE",""
"lake opouahi top","03-Jun-16",6,"","CHLA",FALSE,"FALSE",""
"lake opouahi top","03-Jun-16",8.1,"","pH",FALSE,"FALSE",""
"lake opouahi top","03-Sep-13",0.01,"","NH4N",TRUE,"Left",""
"lake opouahi top","03-Sep-13",0.018,"","TP",FALSE,"FALSE",""
"lake opouahi top","03-Sep-13",0.018,"","TP",FALSE,"FALSE",""
"lake opouahi top","03-Sep-13",0.15,"","TN",FALSE,"FALSE",""
"lake opouahi top","03-Sep-13",1,"","ECOLI",TRUE,"Left",""
"lake opouahi top","03-Sep-13",1.5,"","CHLA",TRUE,"Left",""
"lake opouahi top","03-Sep-13",2.5,"","Secchi",FALSE,"FALSE",""
"lake opouahi top","03-Sep-13",8.3,"","pH",FALSE,"FALSE",""
"lake opouahi top","04-Jun-14",0.052,"","TP",FALSE,"FALSE",""
"lake opouahi top","04-Jun-14",0.052,"","TP",FALSE,"FALSE",""
"lake opouahi top","04-Jun-14",0.108,"","NH4N",FALSE,"FALSE",""
"lake opouahi top","04-Jun-14",0.3,"","TN",FALSE,"FALSE",""
"lake opouahi top","04-Jun-14",1,"","ECOLI",FALSE,"FALSE",""
"lake opouahi top","04-Jun-14",2.9,"","Secchi",FALSE,"FALSE",""
"lake opouahi top","04-Jun-14",8,"","CHLA",FALSE,"FALSE",""
"lake opouahi top","04-Jun-14",8,"","pH",FALSE,"FALSE",""
"lake opouahi top","04-Sep-17",0.013,"","NH4N",FALSE,"FALSE",""
"lake opouahi top","04-Sep-17",0.025,"","TP",FALSE,"FALSE",""
"lake opouahi top","04-Sep-17",0.025,"","TP",FALSE,"FALSE",""
"lake opouahi top","04-Sep-17",0.47,"","TN",FALSE,"FALSE",""
"lake opouahi top","04-Sep-17",2.04,"","Secchi",FALSE,"FALSE",""
"lake opouahi top","04-Sep-17",31,"","ECOLI",FALSE,"FALSE",""
"lake opouahi top","04-Sep-17",4.8,"","CHLA",FALSE,"FALSE",""
"lake opouahi top","04-Sep-17",8.3,"","pH",FALSE,"FALSE",""
"lake opouahi top","05-Mar-15",0.008,"","TP",FALSE,"FALSE",""
"lake opouahi top","05-Mar-15",0.008,"","TP",FALSE,"FALSE",""
"lake opouahi top","05-Mar-15",0.01,"","NH4N",TRUE,"Left",""
"lake opouahi top","05-Mar-15",0.16,"","TN",FALSE,"FALSE",""
"lake opouahi top","05-Mar-15",1,"","ECOLI",FALSE,"FALSE",""
"lake opouahi top","05-Mar-15",2.8,"","CHLA",FALSE,"FALSE",""
"lake opouahi top","05-Mar-15",3,"","CHLA",FALSE,"FALSE",""
