"CouncilSiteID","Date","Value","Method","Measurement","Censored","centype","QC"
"lrt00e300","19-Mar-18",7.2,"","pH",FALSE,"FALSE",""
"lrt00e300","19-Mar-19",0.02,"","TP",FALSE,"FALSE",""
"lrt00e300","19-Mar-19",0.067,"","NH4N",FALSE,"FALSE",""
"lrt00e300","19-Mar-19",0.41,"","TN",FALSE,"FALSE",""
"lrt00e300","19-Mar-19",7.3,"","pH",FALSE,"FALSE",""
"lrt00e300","19-Oct-04",0.022,"","TP",FALSE,"FALSE",""
"lrt00e300","19-Oct-04",0.03,"","NH4N",FALSE,"FALSE",""
"lrt00e300","19-Oct-04",0.97,"","TN",FALSE,"FALSE",""
"lrt00e300","19-Oct-04",7.5,"","pH",FALSE,"FALSE",""
"lrt00e300","19-Oct-07",0.042,"","TP",FALSE,"FALSE",""
"lrt00e300","19-Oct-07",0.066,"","NH4N",FALSE,"FALSE",""
"lrt00e300","19-Oct-07",1.06,"","TN",FALSE,"FALSE",""
"lrt00e300","19-Oct-07",7,"","pH",FALSE,"FALSE",""
"lrt00e300","19-Oct-10",0.004,"","NH4N",FALSE,"FALSE",""
"lrt00e300","19-Oct-10",0.023,"","TP",FALSE,"FALSE",""
"lrt00e300","19-Oct-10",0.87,"","TN",FALSE,"FALSE",""
"lrt00e300","19-Oct-10",7.5,"","pH",FALSE,"FALSE",""
"lrt00e300","20-Feb-06",0.01,"","NH4N",FALSE,"FALSE",""
"lrt00e300","20-Feb-06",0.024,"","TP",FALSE,"FALSE",""
"lrt00e300","20-Feb-06",0.35,"","TN",FALSE,"FALSE",""
"lrt00e300","20-Feb-06",8.5,"","pH",FALSE,"FALSE",""
"lrt00e300","20-Feb-07",0.014,"","NH4N",FALSE,"FALSE",""
"lrt00e300","20-Feb-07",0.014,"","TP",FALSE,"FALSE",""
"lrt00e300","20-Feb-07",0.4,"","TN",FALSE,"FALSE",""
"lrt00e300","20-Feb-07",7.9,"","pH",FALSE,"FALSE",""
"lrt00e300","20-Feb-08",0.01,"","TP",FALSE,"FALSE",""
"lrt00e300","20-Feb-08",0.11,"","NH4N",FALSE,"FALSE",""
"lrt00e300","20-Feb-08",0.32,"","TN",FALSE,"FALSE",""
"lrt00e300","20-Feb-08",8,"","pH",FALSE,"FALSE",""
"lrt00e300","20-Feb-17",0.018,"","NH4N",FALSE,"FALSE",""
"lrt00e300","20-Feb-17",0.074,"","TP",FALSE,"FALSE",""
"lrt00e300","20-Feb-17",0.42,"","TN",FALSE,"FALSE",""
"lrt00e300","20-Feb-17",7.4,"","pH",FALSE,"FALSE",""
"lrt00e300","20-Feb-19",0.005,"","NH4N",TRUE,"Left",""
"lrt00e300","20-Feb-19",0.029,"","TP",FALSE,"FALSE",""
"lrt00e300","20-Feb-19",0.29,"","TN",FALSE,"FALSE",""
"lrt00e300","20-Feb-19",8,"","pH",FALSE,"FALSE",""
"lrt00e300","20-Jun-06",0.058,"","TP",FALSE,"FALSE",""
"lrt00e300","20-Jun-06",0.122,"","NH4N",FALSE,"FALSE",""
"lrt00e300","20-Jun-06",1.08,"","TN",FALSE,"FALSE",""
"lrt00e300","20-Jun-06",7.2,"","pH",FALSE,"FALSE",""
"lrt00e300","20-Jun-16",0.016,"","NH4N",FALSE,"FALSE",""
"lrt00e300","20-Jun-16",0.036,"","TP",FALSE,"FALSE",""
