"x"
"Analysts Comments"
"AnalyteCode"
"AnalyteName"
"Archived"
"Bed is Visible"
"Birds on Beach and/or Water"
"Cost"
"Cost Code"
"CouncilSampleID"
"Depth Sounder"
"Detection Limit"
"DO meter No"
"Field Technician"
"High Tide at Kaikoura"
"High Tide at Lyttelton"
"High Tide at Timaru"
"Lab"
"Lab Method"
"Lab Sample ID"
"Labs Comment"
"LabsTestMethod"
"LabTestID"
"Lawa Type"
"Lower Confidence Limit"
"Meter Number"
"Method"
"MethodText"
"Number of Dogs on Beach and/or Water"
"Number of people in water"
"Number of people on the beach"
"Project"
"Rain"
"Rain Previously"
"Result Value"
"Run Number"
"Sample Comment"
"Sample Frequency"
"Sent to Lab"
"Site is dry"
"Site is Dry"
"Stage Height"
"Stage Height (m)"
"Standard Uncertainty"
"TestMethodName"
"Time (NZST)"
"Upper Confidence Limit"
"Visual observation method"
"Visual Observation Method"
"Water Clarity"
"Water Colour"
"Wind Direction"
"Wind Speed Average (m/s)"
"Wind Strength"
"YSI/30 SCT meter number"
"YSI/550 DO meter number"
"YSI/63 Meter Number"
