"x"
"Cloud Cover"
"Comment"
"GW Sample Number"
"GWRC Programme"
"Lab"
"Lab Sample Number"
"Lake Mouth Status"
"Low Tide Time"
"Method"
"Number Gates Open"
"Observer"
"Rainfall"
"Result Value"
"Standard Uncertainty"
"Weather"
