"CouncilSiteID","SiteID","LawaSiteID","NZReach","Region","Agency","SWQAltitude","SWQLanduse","Catchment","Lat","Long","accessDate","Landcover","Altitude","Order","StreamOrder"
"43720","mauku stream @ stp","arc-00129",2009477,"auckland","ac","","","mauku stream",-37.1882561944042,174.804435466703,"24-Jul-2020","P",29.3333333333333,"3","4&1"
"7407","motutapu","arc-00131",2004929,"auckland","ac","","","motutapu island",-36.7687672968808,174.925455569243,"24-Jul-2020","P",55,"2","2"
"45605","mt auckland","arc-00132",2002096,"auckland","ac","","","omaumau river",-36.4576840422337,174.460291306415,"24-Jul-2020","IF",130,"1","1&2"
"7313","okura creek@awanohi road","arc-00133",2003966,"auckland","ac","","","okura creek",-36.6696044220034,174.714807838948,"24-Jul-2020","IF",77,"1","2&1"
"7315","okura trib 2","arc-00134",2004074,"auckland","ac","","","okura creek",-36.6842760278705,174.708732085917,"24-Jul-2020","P",31,"2","2&1"
"7314","okura trib 1","arc-00135",2004039,"auckland","ac","","","okura creek",-36.6821415106051,174.724240500296,"24-Jul-2020","P",52,"1","1"
"7726","onepoto @ kauri glen park","arc-00136",2005265,"auckland","ac","","","oneopoto stream",-36.805227264153,174.736322836525,"24-Jul-2020","U",61,"1","1"
"8609","orere b","arc-00138",2007114,"auckland","ac","","","orere river",-36.9924392470383,175.212774524875,"24-Jul-2020","EF",201,"2","2"
"7172","otanerua","arc-00139",2003019,"auckland","ac","","","otanerua stream",-36.5637353885856,174.67433854996,"24-Jul-2020","S",60,"1","1"
"1043827","puhinui trib (soft)","arc-00140",2007176,"auckland","ac","","","puhinui stream",-37.0017324830907,174.91196547795,"24-Jul-2020","P",88,"2","1&2"
"1043828","puhinui upper (hard)","arc-00141",2007284,"auckland","ac","","","puhinui stream",-37.0011683693927,174.91117596724,"24-Jul-2020","P",100,"3","3"
"7012","puhoi","arc-00142",2002429,"auckland","ac","","","puhoi river",-36.4934969575699,174.615598356253,"24-Jul-2020","P",91,"1","1&3"
"7212","shakespear","arc-00144",2003461,"auckland","ac","","","slippery creek",-36.6100113826264,174.833041000104,"24-Jul-2020","P",50,"1","1"
"43918","symonds st @ ponga","arc-00145",2008260,"auckland","ac","","","symonds stream",-37.0861528392223,174.975441532674,"24-Jul-2020","P",144.333333333333,"3","3&1"
"7526","vaughan upper","arc-00146",2004154,"auckland","ac","","","vaughans stream",-36.6895320333658,174.726778271552,"24-Jul-2020","P",42,"1","1"
"44619","waitakere river","arc-00147",2005661,"auckland","ac","","","cascade stream",-36.8672414666848,174.499214639012,"24-Jul-2020","IF",63,"3","4"
"44470","wekatahi","arc-00148",2006412,"auckland","ac","","","wekatahi creek",-36.9429717471456,174.47714906939,"24-Jul-2020","IF",196.5,"2","1"
"8023","avondale @ reserve","lawa-102236",2006388,"auckland","ac","","","wairoa river",-36.9342024082176,174.666387006265,"24-Jul-2020","U",64.5,"1","1"
"8022","avondale @ thuja pl","lawa-102238",2006340,"auckland","ac","","","avondale",-36.9293968579647,174.678643586042,"24-Jul-2020","U",52,"2","2"
"45745","waiwhiu @ frith","lawa-102240",2001157,"auckland","ac","","","hoteo river",-36.2910609782856,174.562011596161,"24-Jul-2020","EF",270,"1","1"
"645519","makarau","arc-00061",2003057,"auckland","ac","lowland","native","makarau",-36.576039425937,174.50665072424,"24-Jul-2020","P",118.5,"1","1&2"
"BQ964696","aongatete at above pine ridge lane","ebop-00165",4000540,"bay of plenty","boprc","lowland","urban","waihi beach",-37.397742403468,175.933099221882,"24-Jul-2020","IF",38.75,"4","4&1"
"IM796551","awakaponga at manawahe rd","ebop-00134",4006018,"bay of plenty","boprc","lowland","rural","tarawera",-37.9288200408995,176.731258024931,"24-Jul-2020","P",176.7222671509,"2","1&3"
"JM074476","awakaponga at sh2","ebop-00133",4005938,"bay of plenty","boprc","lowland","rural","tarawera",-37.9345403211481,176.763178040202,"24-Jul-2020","P",-2.86356075606,"3","1&3"
"IM920999","awatarariki at above sh2","ebop-00156",4004934,"bay of plenty","boprc","lowland","native","tarawera",-37.888026888724,176.74326746494,"24-Jul-2020","IF",54.3067474365,"3","3"
"BQ589878","boyd east (quarry) 700m u/s boyd confluence","ebop-00168",4000379,"bay of plenty","boprc","lowland","rural","uretara",-37.5624881371204,175.897172616537,"24-Jul-2020","P",26,"2","3"
"IK074505","buddles at fenton mill rd","ebop-00127",4012161,"bay of plenty","boprc","lowland","exotic","tarawera",-38.1154061544531,176.658353653195,"24-Jul-2020","IF",65,"4","4"
"GD792833","flaxy creek at kaingaroa forest","ebop-00208",4026964,"bay of plenty","boprc","upland","native","rangitaiki",-38.7200318538799,176.541585421987,"24-Jul-2020","EF",715,"2","2"
"IH854541","haumea at haumea rd","ebop-00146",4020775,"bay of plenty","boprc","upland","rural","rangitaiki",-38.3791863492847,176.760910896845,"24-Jul-2020","P",161,"5","2"
"JH152875","hikurangi at grant rd","ebop-00145",4019998,"bay of plenty","boprc","upland","rural","rangitaiki",-38.3480691198663,176.793431007138,"24-Jul-2020","P",191,"3","3&2"
"GO496071","kaikokopu u/s waerenga rd","ebop-00107",4002617,"bay of plenty","boprc","lowland","rural","waihi estuary",-37.8000597774489,176.463552432463,"24-Jul-2020","P",8.5,"4","1&4"
"HK221324","kaipara at tarawera falls rd","ebop-00128",4012778,"bay of plenty","boprc","lowland","exotic","tarawera",-38.134647699604,176.562050498868,"24-Jul-2020","IF",129,"3","3"
"DO960965","kaitemako at welcome bay rd","ebop-00185",4001531,"bay of plenty","boprc","lowland","urban","kaitemako",-37.7277072351003,176.172602526316,"24-Jul-2020","P",28,"3","3"
"FN483016","kaituna trib at maungarangi rd","lawa-100486",4004928,"bay of plenty","boprc","lowland","exotic","kaituna",-37.8982906210395,176.353042969189,"24-Jul-2020","EF",128.333333333333,"2","2&1"
"JK670713","kakahotoa at omataroa forest","lawa-100488",4011431,"bay of plenty","boprc","upland","exotic","rangitaiki",-38.0908762673173,176.839110890288,"24-Jul-2020","EF",187.518936157,"3","1&2&3"
"IL616616","karaponga at mcivor rd","ebop-00160",4008127,"bay of plenty","boprc","lowland","rural","tarawera",-38.0135717093585,176.715004381314,"24-Jul-2020","P",198.7630500795,"3","1&3"
"FO123493","raparapahoe at te puke highway","ebop-00109",4002228,"bay of plenty","boprc","lowland","rural","kaituna",-37.7665584129772,176.306154584741,"24-Jul-2020","P",0.8853328749535,"4","4&1"
"RO685757","kopua at sh35","lawa-100494",4001899,"bay of plenty","boprc","lowland","rural","waikawa coastal",-37.6943116628298,177.727012095527,"24-Jul-2020","EF",281,"1","1"
"DO466896","kopurererua trib at sh29","ebop-00187",4001649,"bay of plenty","boprc","lowland","rural","kopurererua",-37.7354223292293,176.116831561852,"24-Jul-2020","P",71.5,"2","1"
"KK231108","kotorenui at kotorenui rd","lawa-100501",4013595,"bay of plenty","boprc","lowland","exotic","whakatane",-38.1432245471255,176.905843531758,"24-Jul-2020","EF",121,"1","3"
"ML366042","kutarere at sh2","ebop-00175",4010701,"bay of plenty","boprc","lowland","rural","kutarere area",-38.0508601006698,177.14404003165,"24-Jul-2020","P",131.5,"2","2&1"
"GK027882","lake okataina trib at western okataina track","ebop-00121",4010857,"bay of plenty","boprc","upland","native","kaituna",-38.0885064829066,176.423686697277,"24-Jul-2020","IF",416,"1","2"
"FK336093","lake okareka trib at millar rd mci","ebop-00119",4013582,"bay of plenty","boprc","upland","rural","tarawera",-38.1617618808697,176.348314564689,"24-Jul-2020","P",399,"3","1&3"
"GL803445","lake rotoehu trib at sh30","ebop-00116",4008961,"bay of plenty","boprc","upland","native","lake rotoehu",-38.035249871518,176.509603021759,"24-Jul-2020","P",335,"1","1"
