Status,Region,LawaId,SiteName,SiteType,Property,FeatureOfInterest,TimeseriesUrl,HasErrors,ResultsLog,ValueDate,TextValue
Failed,Bay of Plenty region,EBOP-10040,Hikuwai Beach End of Snell Rd,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=NL713661,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'NL713661' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10041,Maket? at Surf Club,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=GO441583,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'GO441583' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10042,Mount Maunganui at Surf Club,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=EQ065035,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'EQ065035' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10061,?hiwa Harbour at Reserve Boat Ramp,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=ML251726,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'ML251726' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-00228,?hope Beach at Anne St,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=ML081849,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'ML081849' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10043,?hope Beach at Surf Club,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=LM474063,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'LM474063' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,LAWA-00678,?hope Beach opposite Moana St,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=LL770939,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'LL770939' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,LAWA-100656    ,Papamoa at Harrison's Cut,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=EP886340,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'EP886340' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10048,Pilot Bay opposite Pacific Ave,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=EP057968,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'EP057968' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10049,Piripai at Ohuirehe Rd,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=KM969398,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'KM969398' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10064,Pukehina at Surf Club,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=GO701513,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'GO701513' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10060,Tauranga Harbour at Anzac Bay,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=CR395919,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'CR395919' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,LAWA-100657,Tauranga Harbour at Bowentown Boat Ramp,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=CS292034,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'CS292034' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10050,Tauranga Harbour at Maungatapu Bridge,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=EP095164,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'EP095164' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10045,Tauranga Harbour at Omokoroa Domain,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=CQ940066,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'CQ940066' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-00229,Tauranga Harbour at Ongare Point,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=CR253528,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'CR253528' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-00230,Tauranga Harbour at Pahoia Beach Rd,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=CQ490084,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'CQ490084' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10051,Tauranga Harbour at Tanners Point Beach,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=CR054756,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'CR054756' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10053,Tauranga Harbour at Te Puna Waitui Reserve,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=CP895761,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'CP895761' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10039,Tauranga Harbour at Tilby Point,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=DP547739,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'DP547739' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10057,Tauranga Harbour at Waimapu Bridge,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=DP896097,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'DP896097' of the parameter 'featureOfInterest' is invalid'
",,
Failed,Bay of Plenty region,EBOP-10065,Te Kaha at Maraetai Bay,Beach,Enterococci,,http://ec2-52-6-196-14.compute-1.amazonaws.com/sos-bop/service?service=SOS&version=2.0.0&request=GetObservation&observedProperty=Enterococci_Field Visits&featureOfInterest=RO364396,TRUE,"ERROR: An error was returned from the timeseries : 'The value 'RO364396' of the parameter 'featureOfInterest' is invalid'
",,
