NO LONGER USED, SITES FROM SITE TABLE, MEAUREMENTS FROM TRANSFER TABLE
Council,Value,Type
NRC,Total Oxidised Nitrogen,Measurement
NRC,Total Nitrogen,Measurement
NRC,Ammoniacal Nitrogen,Measurement
NRC,DRP,Measurement
NRC,TP,Measurement
NRC,Turbidity,Measurement
NRC,pH,Measurement
NRC,BDISC,Measurement
NRC,Ecoli,Measurement
NRC,pH (Discrete),MeasurementX
NRC,pH (Lab),MeasurementX
NRC,WQ Sample,MeasurementX
NRC,TURB,MeasurementX
