Council,Value,Type
ORC,Ammoniacal Nitrogen,Measurement
ORC,Black Disk Horizontal,Measurement
ORC,Dissolved Reactive Phosphorus,Measurement
ORC,E-Coli MPN,Measurement
ORC,Nitrite/Nitrate Nitrogen,Measurement
ORC,pH (Lab),Measurement
ORC,Total Nitrogen,Measurement
ORC,Total Phosphorus,Measurement
ORC,Turbidity (X),Measurement
ORC,WQ Sample,Measurement
