NO LONGER USED, SITES FROM SITE TABLE, MEAUREMENTS FROM TRANSFER TABLE
Council,Value,Type
TRC,BDISC,Measurement
TRC,DRP,Measurement
TRC,ECOL,Measurement
TRC,NH4,Measurement
TRC,NNN,Measurement
TRC,TON,Measurement
TRC,PH,Measurement
TRC,TN,Measurement
TRC,TP,Measurement
TRC,TURBY,Measurement
TRC,TURB,Measurement
