NO LONGER USED, SITES FROM SITE TABLE, MEAUREMENTS FROM TRANSFER TABLE
Council,Value,Type
BOPRC,Ammoniacal N_LabResult,Measurement
BOPRC,DRP_LabResult,Measurement
BOPRC,E coli_LabResult,Measurement
BOPRC,N _Tot__LabResult,Measurement
BOPRC,Nitrite Nitrate _as N__LabResult,Measurement
BOPRC,P _Tot__LabResult,Measurement
BOPRC,pH_LabResult,Measurement
BOPRC,Turbidity_ Nephelom_LabResult,Measurement
BOPRC,Water Clarity_LabResult,Measurement
