NO LONGER USED, SITES FROM SITE TABLE, MEAUREMENTS FROM TRANSFER TABLE
Council,Value,Type
ES,Clarity (Black Disc Field),Measurement
ES,E-Coli <CFU>,Measurement
ES,Nitrogen (Nitrate Nitrite),Measurement
ES,Nitrogen (Total Ammoniacal),Measurement
ES,Nitrogen (Total),Measurement
ES,pH (Lab),Measurement
ES,Phosphorus (Dissolved Reactive),Measurement
ES,Phosphorus (Total),Measurement
ES,Turbidity (Lab),Measurement
