NO LONGER USED, SITES FROM SITE TABLE, MEAUREMENTS FROM TRANSFER TABLE
Council,Value,Type
WRC,Black Disk,Measurement
WRC,DRP,Measurement
WRC,EColi,Measurement
WRC,NH4,Measurement
WRC,NNN,Measurement
WRC,pH,Measurement
WRC,Total Phosphorus,Measurement
WRC,TotalNitrogen,Measurement
WRC,Turb_Misc,Measurement
WRC,10|Good data,Qualifier
WRC,8202|Above quanitification level,Qualifier
WRC,16394|Below quanitification level,Qualifier

