Council,Value,Type
HRC,Ammoniacal-N (HRC),Measurement
HRC,Black Disc (HRC),Measurement
HRC,DRP (HRC),Measurement
HRC,E. coli by MPN (HRC),Measurement
HRC,Field pH (HRC),Measurement
HRC,TN (HRC),Measurement
HRC,TON (HRC),Measurement
HRC,Total Nitrogen (HRC),Measurement
HRC,TP (HRC),Measurement
HRC,Turbidity EPA (HRC),Measurement
HRC,WQ Sample,Measurement
