<<<<<<< HEAD
"CouncilSiteID","LawaSiteID","SiteID","NZReach","Region","Agency","Lat","Long","accessDate","SWQAltitude","SWQLanduse"
"AK1","nrwqn-00002","Hoteo at Gubbs (NRWQN) (AK1)",NA,"auckland","niwa",-36.3852729797363,174.516967773438,"2019-07-11","Lowland","Rural"
"AK2","arc-00082","Rangitopuni at Walkers (NRWQN) (AK2)",NA,"auckland","niwa",-36.7442817687988,174.617904663086,"2019-07-11",NA,NA
"AX1","nrwqn-00032","Clutha at Luggate Br. (NRWQN) (AX1)",NA,"orc","niwa",-44.7292785644531,169.280044555664,"2019-07-11","Upland","Rural"
"AX2","nrwqn-00030","Kawarau at Chard Rd (NRWQN) (AX2)",NA,"orc","niwa",-45.0063629150391,168.868743896484,"2019-07-11",NA,NA
"AX3","nrwqn-00031","Shotover at Bowens Peak (NRWQN) (AX3)",NA,"orc","niwa",-44.9899711608887,168.714981079102,"2019-07-11","Upland","Rural"
"AX4","nrwqn-00027","Clutha at Millers Flat (NRWQN) (AX4)",NA,"orc","niwa",-45.6647491455078,169.410064697266,"2019-07-11","Lowland","Rural"
"CH1","ecan-00240","Hurunui at Mandamus (NRWQN) (CH1)",NA,"canterbury","niwa",-42.7904052734375,172.541549682617,"2019-07-11",NA,NA
"CH2","nrwqn-00059","Hurunui at SH1 Br. (NRWQN) (CH2)",NA,"canterbury","niwa",-42.8984451293945,173.096618652344,"2019-07-11",NA,NA
"CH3","nrwqn-00055","Waimakariri at Gorge (NRWQN) (CH3)",NA,"canterbury","niwa",-43.3590126037598,172.051177978516,"2019-07-11","Upland","Rural"
"CH4","ecan-10028","Waimakariri above old HW Br. (NRWQN) (CH4)",NA,"canterbury","niwa",-43.4172859191895,172.641754150391,"2019-07-11",NA,NA
"DN1","nrwqn-00029","Taieri at Tiroiti (NRWQN) (DN1)",NA,"orc","niwa",-45.2565460205078,170.272842407227,"2019-07-11","Upland","Rural"
"DN10","nrwqn-00034","Monowai below Gates (NRWQN) (DN10)",NA,"southland","niwa",-45.8050117492676,167.534240722656,"2019-07-11",NA,NA
"DN2","nrwqn-00028","Sutton at SH87 (NRWQN) (DN2)",NA,"orc","niwa",-45.5962066650391,170.094131469727,"2019-07-11",NA,NA
"DN3","nrwqn-00026","Taieri at Outram (NRWQN) (DN3)",NA,"orc","niwa",-45.8464393615723,170.243927001953,"2019-07-11","Lowland","Rural"
"DN4","nrwqn-00025","Clutha at Balclutha (NRWQN) (DN4)",NA,"orc","niwa",-46.2372817993164,169.747955322266,"2019-07-11","Lowland","Rural"
"DN5","es-00102","Mataura at Seaward Down (NRWQN) (DN5)",NA,"southland","niwa",-46.3895072937012,168.797119140625,"2019-07-11",NA,NA
"DN6","es-00024","Mataura at Parawa (NRWQN) (DN6)",NA,"southland","niwa",-45.5582504272461,168.561233520508,"2019-07-11","Upland","Rural"
"DN7","es-00011","Oreti at Lumsden (NRWQN) (DN7)",NA,"southland","niwa",-45.7162437438965,168.428131103516,"2019-07-11","Upland","Rural"
"DN8","es-00010","Oreti at Riverton HW Br. (NRWQN) (DN8)",NA,"southland","niwa",-46.3262634277344,168.265930175781,"2019-07-11",NA,NA
"DN9","es-00001","Waiau at Tuatapere (NRWQN) (DN9)",NA,"southland","niwa",-46.1302833557129,167.685806274414,"2019-07-11","Lowland","Rural"
"GS1","gdc-00027","Waipaoa at Kanakanaia (NRWQN) (GS1)",NA,"gdc","niwa",-38.4685478210449,177.881820678711,"2019-07-11",NA,NA
"GS2","nrwqn-00011","Waikohu at No. 1 Br. (NRWQN) (GS2)",NA,"gdc","niwa",-38.4150047302246,177.561676025391,"2019-07-11","Upland","Rural"
"GS3","nrwqn-00012","Motu at Waitangirua (NRWQN) (GS3)",NA,"bay of plenty","niwa",-38.1997337341309,177.621002197266,"2019-07-11","Upland","Rural"
"GS4","ebop-00045","Motu at Houpoto (NRWQN) (GS4)",NA,"bay of plenty","niwa",-37.8636932373047,177.632278442383,"2019-07-11","Lowland","Forest"
"GY1","nrwqn-00053","Buller at Te Kuha (NRWQN) (GY1)",NA,"wcrc","niwa",-41.8349266052246,171.699829101563,"2019-07-11","Lowland","Forest"
"GY2","nrwqn-00051","Grey at Dobson (NRWQN) (GY2)",NA,"wcrc","niwa",-42.453540802002,171.297882080078,"2019-07-11","Lowland","Forest"
"GY3","nrwqn-00052","Grey at Waipuna (NRWQN) (GY3)",NA,"wcrc","niwa",-42.3544578552246,171.786163330078,"2019-07-11","Upland","Forest"
