"Lake","FENZID","TLIYear","TLI","MixingPattern","GeomorphicType"
"lake wainamu",45819,2019,4,"Stratified","Aeolian"
"lake okareka at site 1 (integrated)",15325,2006,3.4,"Stratified","Volcanic"
"lake okareka at site 1 (integrated)",15325,2009,3.3,"Stratified","Volcanic"
"lake okareka at site 1 (integrated)",15325,2010,3.3,"Stratified","Volcanic"
"lake okareka at site 1 (integrated)",15325,2011,3.4,"Stratified","Volcanic"
"lake okareka at site 1 (integrated)",15325,2012,3.2,"Stratified","Volcanic"
"lake okareka at site 1 (integrated)",15325,2013,3.6,"Stratified","Volcanic"
"lake okareka at site 1 (integrated)",15325,2014,3.2,"Stratified","Volcanic"
"lake okareka at site 1 (integrated)",15325,2015,3.1,"Stratified","Volcanic"
"lake okareka at site 1 (integrated)",15325,2016,3.4,"Stratified","Volcanic"
"lake okareka at site 1 (integrated)",15325,2017,3.4,"Stratified","Volcanic"
"lake okareka at site 1 (integrated)",15325,2018,3.4,"Stratified","Volcanic"
"lake okareka at site 1 (integrated)",15325,2019,3.1,"Stratified","Volcanic"
"lake okaro at site 1 (integrated)",14290,2006,6.2,"Stratified","Volcanic"
"lake okaro at site 1 (integrated)",14290,2008,5.6,"Stratified","Volcanic"
"lake okaro at site 1 (integrated)",14290,2009,5.1,"Stratified","Volcanic"
"lake okaro at site 1 (integrated)",14290,2010,5.5,"Stratified","Volcanic"
"lake okaro at site 1 (integrated)",14290,2011,5.6,"Stratified","Volcanic"
"lake okaro at site 1 (integrated)",14290,2012,5.9,"Stratified","Volcanic"
"lake okaro at site 1 (integrated)",14290,2013,5,"Stratified","Volcanic"
"lake okaro at site 1 (integrated)",14290,2014,4.5,"Stratified","Volcanic"
"lake okaro at site 1 (integrated)",14290,2015,4.6,"Stratified","Volcanic"
"lake okaro at site 1 (integrated)",14290,2016,5,"Stratified","Volcanic"
"lake okaro at site 1 (integrated)",14290,2017,5.2,"Stratified","Volcanic"
"lake okaro at site 1 (integrated)",14290,2018,5.2,"Stratified","Volcanic"
"lake okaro at site 1 (integrated)",14290,2019,4.3,"Stratified","Volcanic"
"lake okataina at site 1 (integrated)",54731,2004,3.1,"Stratified","Volcanic"
"lake okataina at site 1 (integrated)",54731,2005,2.7,"Stratified","Volcanic"
"lake okataina at site 1 (integrated)",54731,2006,2.7,"Stratified","Volcanic"
"lake okataina at site 1 (integrated)",54731,2007,2.9,"Stratified","Volcanic"
"lake okataina at site 1 (integrated)",54731,2008,2.9,"Stratified","Volcanic"
"lake okataina at site 1 (integrated)",54731,2009,2.8,"Stratified","Volcanic"
"lake okataina at site 1 (integrated)",54731,2010,2.8,"Stratified","Volcanic"
"lake okataina at site 1 (integrated)",54731,2011,2.9,"Stratified","Volcanic"
"lake okataina at site 1 (integrated)",54731,2012,2.9,"Stratified","Volcanic"
"lake okataina at site 1 (integrated)",54731,2013,2.6,"Stratified","Volcanic"
"lake okataina at site 1 (integrated)",54731,2014,2.8,"Stratified","Volcanic"
"lake okataina at site 1 (integrated)",54731,2015,2.9,"Stratified","Volcanic"
"lake okataina at site 1 (integrated)",54731,2016,2.8,"Stratified","Volcanic"
"lake okataina at site 1 (integrated)",54731,2017,2.9,"Stratified","Volcanic"
"lake rerewhakaaitu at site 1 (integrated)",40071,2006,3.6,"Polymictic","Volcanic"
"lake rerewhakaaitu at site 1 (integrated)",40071,2009,3.9,"Polymictic","Volcanic"
"lake rerewhakaaitu at site 1 (integrated)",40071,2010,3.9,"Polymictic","Volcanic"
"lake rerewhakaaitu at site 1 (integrated)",40071,2011,3.7,"Polymictic","Volcanic"
"lake rerewhakaaitu at site 1 (integrated)",40071,2012,3.6,"Polymictic","Volcanic"
"lake rerewhakaaitu at site 1 (integrated)",40071,2013,3.6,"Polymictic","Volcanic"
"lake rerewhakaaitu at site 1 (integrated)",40071,2014,3.5,"Polymictic","Volcanic"
"lake rerewhakaaitu at site 1 (integrated)",40071,2015,3.3,"Polymictic","Volcanic"
"lake rerewhakaaitu at site 1 (integrated)",40071,2016,3.4,"Polymictic","Volcanic"
"lake rerewhakaaitu at site 1 (integrated)",40071,2017,3.6,"Polymictic","Volcanic"
"lake rerewhakaaitu at site 1 (integrated)",40071,2018,4.1,"Polymictic","Volcanic"
"lake rerewhakaaitu at site 1 (integrated)",40071,2019,3.7,"Polymictic","Volcanic"
"lake rotoehu at site 3 (integrated)",40188,2004,4.4,"Polymictic","Volcanic"
"lake rotoehu at site 3 (integrated)",40188,2005,4.4,"Polymictic","Volcanic"
"lake rotoehu at site 3 (integrated)",40188,2006,4.5,"Polymictic","Volcanic"
"lake rotoehu at site 3 (integrated)",40188,2007,4.7,"Polymictic","Volcanic"
"lake rotoehu at site 3 (integrated)",40188,2008,4.2,"Polymictic","Volcanic"
"lake rotoehu at site 3 (integrated)",40188,2009,4.3,"Polymictic","Volcanic"
"lake rotoehu at site 3 (integrated)",40188,2010,4.4,"Polymictic","Volcanic"
"lake rotoehu at site 3 (integrated)",40188,2011,4.2,"Polymictic","Volcanic"
"lake rotoehu at site 3 (integrated)",40188,2012,4.1,"Polymictic","Volcanic"
"lake rotoehu at site 3 (integrated)",40188,2013,3.8,"Polymictic","Volcanic"
"lake rotoehu at site 3 (integrated)",40188,2014,3.9,"Polymictic","Volcanic"
"lake rotoehu at site 3 (integrated)",40188,2015,4.4,"Polymictic","Volcanic"
"lake rotoehu at site 3 (integrated)",40188,2016,4.5,"Polymictic","Volcanic"
"lake rotoehu at site 3 (integrated)",40188,2017,4.7,"Polymictic","Volcanic"
"lake rotoiti at site 4 (integrated)",54730,2015,3.6,"Stratified","Volcanic"
