"LawaID","CouncilSiteID","Agency","Parameter","Median","StateScore","ComparisonGroup","Altitude","Landuse"
"arc-00004","7830","ac","TON",0.22,2,"site|lowland","Lowland","All"
"arc-00004","7830","ac","TN",0.485,2,"site|lowland","Lowland","All"
"arc-00004","7830","ac","DRP",0.009,2,"site|lowland","Lowland","All"
"arc-00004","7830","ac","TP",0.031,3,"site|lowland","Lowland","All"
"arc-00004","7830","ac","ECOLI",420,4,"site|lowland","Lowland","All"
"arc-00004","7830","ac","TURB",7.6,4,"site|urban","All","Urban"
"arc-00004","7830","ac","NH4",0.0165,2,"site|urban","All","Urban"
"arc-00004","7830","ac","PH",7.395,1,"site|urban","All","Urban"
"arc-00004","7830","ac","TON",0.22,1,"site|urban","All","Urban"
"arc-00004","7830","ac","TN",0.485,1,"site|urban","All","Urban"
"arc-00004","7830","ac","DRP",0.009,1,"site|urban","All","Urban"
"arc-00004","7830","ac","TP",0.031,2,"site|urban","All","Urban"
"arc-00004","7830","ac","ECOLI",420,3,"site|urban","All","Urban"
"arc-00004","7830","ac","TURB",7.6,4,"site|lowland|urban","Lowland","Urban"
"arc-00004","7830","ac","NH4",0.0165,2,"site|lowland|urban","Lowland","Urban"
"arc-00004","7830","ac","PH",7.395,1,"site|lowland|urban","Lowland","Urban"
"arc-00004","7830","ac","TON",0.22,1,"site|lowland|urban","Lowland","Urban"
"arc-00004","7830","ac","TN",0.485,1,"site|lowland|urban","Lowland","Urban"
"arc-00004","7830","ac","DRP",0.009,1,"site|lowland|urban","Lowland","Urban"
"arc-00004","7830","ac","TP",0.031,2,"site|lowland|urban","Lowland","Urban"
"arc-00004","7830","ac","ECOLI",420,3,"site|lowland|urban","Lowland","Urban"
"arc-00005","6811","ac","TURB",8.45,4,"site|All","All","All"
"arc-00005","6811","ac","NH4",0.0125,3,"site|All","All","All"
"arc-00005","6811","ac","PH",7.45,1,"site|All","All","All"
"arc-00005","6811","ac","TON",0.18,2,"site|All","All","All"
"arc-00005","6811","ac","TN",0.32,2,"site|All","All","All"
"arc-00005","6811","ac","DRP",0.0075,2,"site|All","All","All"
"arc-00005","6811","ac","TP",0.0195,2,"site|All","All","All"
"arc-00005","6811","ac","ECOLI",125,2,"site|All","All","All"
"arc-00005","6811","ac","TURB",8.45,4,"site|upland","Upland","All"
"arc-00005","6811","ac","NH4",0.0125,4,"site|upland","Upland","All"
"arc-00005","6811","ac","PH",7.45,1,"site|upland","Upland","All"
"arc-00005","6811","ac","TON",0.18,3,"site|upland","Upland","All"
"arc-00005","6811","ac","TN",0.32,3,"site|upland","Upland","All"
"arc-00005","6811","ac","DRP",0.0075,2,"site|upland","Upland","All"
"arc-00005","6811","ac","TP",0.0195,3,"site|upland","Upland","All"
"arc-00005","6811","ac","ECOLI",125,3,"site|upland","Upland","All"
"arc-00005","6811","ac","TURB",8.45,4,"site|forest","All","Forest"
"arc-00005","6811","ac","NH4",0.0125,4,"site|forest","All","Forest"
"arc-00005","6811","ac","PH",7.45,1,"site|forest","All","Forest"
"arc-00005","6811","ac","TON",0.18,3,"site|forest","All","Forest"
"arc-00005","6811","ac","TN",0.32,3,"site|forest","All","Forest"
"arc-00005","6811","ac","DRP",0.0075,2,"site|forest","All","Forest"
"arc-00005","6811","ac","TP",0.0195,3,"site|forest","All","Forest"
"arc-00005","6811","ac","ECOLI",125,4,"site|forest","All","Forest"
"arc-00005","6811","ac","TURB",8.45,4,"site|upland|forest","Upland","Forest"
"arc-00005","6811","ac","NH4",0.0125,4,"site|upland|forest","Upland","Forest"
"arc-00005","6811","ac","PH",7.45,1,"site|upland|forest","Upland","Forest"
"arc-00005","6811","ac","TON",0.18,3,"site|upland|forest","Upland","Forest"
"arc-00005","6811","ac","TN",0.32,3,"site|upland|forest","Upland","Forest"
"arc-00005","6811","ac","DRP",0.0075,3,"site|upland|forest","Upland","Forest"
"arc-00005","6811","ac","TP",0.0195,3,"site|upland|forest","Upland","Forest"
"arc-00005","6811","ac","ECOLI",125,4,"site|upland|forest","Upland","Forest"
"arc-00006","6804","ac","TURB",5.05,4,"site|All","All","All"
"arc-00006","6804","ac","NH4",0.00995,3,"site|All","All","All"
"arc-00006","6804","ac","PH",7.51,1,"site|All","All","All"
"arc-00006","6804","ac","TON",0.135,2,"site|All","All","All"
"arc-00006","6804","ac","TN",0.33,2,"site|All","All","All"
"arc-00006","6804","ac","DRP",0.0125,3,"site|All","All","All"
"arc-00006","6804","ac","TP",0.033,3,"site|All","All","All"
"arc-00006","6804","ac","ECOLI",230,3,"site|All","All","All"
"arc-00006","6804","ac","TURB",5.05,3,"site|lowland","Lowland","All"
"arc-00006","6804","ac","NH4",0.00995,3,"site|lowland","Lowland","All"
"arc-00006","6804","ac","PH",7.51,1,"site|lowland","Lowland","All"
"arc-00006","6804","ac","TON",0.135,2,"site|lowland","Lowland","All"
"arc-00006","6804","ac","TN",0.33,2,"site|lowland","Lowland","All"
"arc-00006","6804","ac","DRP",0.0125,3,"site|lowland","Lowland","All"
"arc-00006","6804","ac","TP",0.033,3,"site|lowland","Lowland","All"
"arc-00006","6804","ac","ECOLI",230,3,"site|lowland","Lowland","All"
"arc-00006","6804","ac","TURB",5.05,4,"site|rural","All","Rural"
"arc-00006","6804","ac","NH4",0.00995,3,"site|rural","All","Rural"
"arc-00006","6804","ac","PH",7.51,1,"site|rural","All","Rural"
"arc-00006","6804","ac","TON",0.135,2,"site|rural","All","Rural"
"arc-00006","6804","ac","TN",0.33,2,"site|rural","All","Rural"
