"LawaSiteID","CouncilSiteID","SiteID","Region","Agency","SWQAltitude","SWQLanduse","Measurement","Scope","Q0","Q25","Q50","Q75","Q100","N"
"ebop-00057","fo620177","kaituna at te matai","bay of plenty","boprc","Lowland","Rural","BDISC","Site",2.2385,2.2385,2.2385,2.2385,2.2385,1
"ebop-00062","mk307635","nukuhou at glenholme rd","bay of plenty","boprc","Lowland","Rural","BDISC","Site",1.2,1.2,1.2,1.2,1.2,1
"ebop-00070","ro5","Rangitaiki at Te Teko (NRWQN) (RO5)","bay of plenty","niwa","Lowland","Forest","BDISC","Site",1.292,1.292,1.292,1.292,1.292,1
"ebop-00101","ro629568","kereu at sh35","bay of plenty","boprc","Lowland","Forest","BDISC","Site",4.5,4.5,4.5,4.5,4.5,1
"ebop-00102","fd445529","otamatea at wairere rd","bay of plenty","boprc","Upland","Forest","BDISC","Site",1.905,1.905,1.905,1.905,1.905,1
"ebop-00104","fc231176","rangitaiki at sh5","bay of plenty","boprc","Upland","Forest","BDISC","Site",1.5,1.5,1.5,1.5,1.5,1
"ecan-00001","sq10012","willowburn quailburn road","canterbury","ecan","Upland","Rural","BDISC","Site",0.935,0.935,0.935,0.935,0.935,1
"ecan-00002","sq10037","sutherlands creek ben omar road","canterbury","ecan","Upland","Rural","BDISC","Site",1.075,1.075,1.075,1.075,1.075,1
"ecan-00003","sq10057","hakataramea river cattle creek","canterbury","ecan","Upland","Rural","BDISC","Site",3.7,3.7,3.7,3.7,3.7,1
"ecan-00008","sq10814","cattle creek morland settlement road","canterbury","ecan","Upland","Rural","BDISC","Site",4.08,4.08,4.08,4.08,4.08,1
"ecan-00010","sq10818","deadman stream hakataramea valley road","canterbury","ecan","Upland","Rural","BDISC","Site",1.365,1.365,1.365,1.365,1.365,1
"ecan-00014","sq20104","ashburton river at sh1","canterbury","ecan","Lowland","Urban","BDISC","Site",1.255,1.255,1.255,1.255,1.255,1
"ecan-00016","sq20106","ashburton river north branch at digbys bridge","canterbury","ecan","Lowland","Rural","BDISC","Site",0.46,0.46,0.46,0.46,0.46,1
"ecan-00018","sq20107","ashburton river south branch at hills road","canterbury","ecan","Lowland","Rural","BDISC","Site",1.15,1.15,1.15,1.15,1.15,1
"ecan-00020","sq20112","ashburton river north branch at sh72","canterbury","ecan","Upland","Rural","BDISC","Site",1.1,1.1,1.1,1.1,1.1,1
"ecan-00025","sq20176","rangitata river upstream of sh1 bridge","canterbury","ecan","Lowland","Rural","BDISC","Site",0.59,0.59,0.59,0.59,0.59,1
"ecan-00026","sq20177","rangitata river sh72","canterbury","ecan","Upland","Rural","BDISC","Site",0.98,0.98,0.98,0.98,0.98,1
"ecan-00028","sq20199","taumatakahu stream murray st","canterbury","ecan","Lowland","Urban","BDISC","Site",1.92,1.92,1.92,1.92,1.92,1
"ecan-00034","sq20252","temuka river manse bridge","canterbury","ecan","Lowland","Rural","BDISC","Site",5.32,5.32,5.32,5.32,5.32,1
"ecan-00036","sq20318","raukapuka creek coach road","canterbury","ecan","Lowland","Rural","BDISC","Site",2.8,2.8,2.8,2.8,2.8,1
"ecan-00038","sq20332","waihi river waimarie","canterbury","ecan","Upland","Rural","BDISC","Site",6.52,6.52,6.52,6.52,6.52,1
"ecan-00040","sq20350","te ngawai river 200m u/s te ngawai road","canterbury","ecan","Lowland","Rural","BDISC","Site",6.485,6.485,6.485,6.485,6.485,1
"ecan-00045","sq20509","boundary drain trigpole road","canterbury","ecan","Lowland","Rural","BDISC","Site",2.935,2.935,2.935,2.935,2.935,1
"ecan-00046","sq20545","rhodes stream parke road","canterbury","ecan","Lowland","Rural","BDISC","Site",3.61,3.61,3.61,3.61,3.61,1
"ecan-00047","sq20575","waihao river bradshaw bridge","canterbury","ecan","Lowland","Rural","BDISC","Site",5.25,5.25,5.25,5.25,5.25,1
"ecan-00050","sq20725","hae hae te moana river south branch sheep dip road","canterbury","ecan","Upland","Rural","BDISC","Site",5.735,5.735,5.735,5.735,5.735,1
"ecan-00052","sq21047","ohapi creek upstream orari river confluence","canterbury","ecan","Lowland","Rural","BDISC","Site",1.505,1.505,1.505,1.505,1.505,1
"ecan-00053","sq21049","orakipaoa creek milford lagoon rd","canterbury","ecan","Lowland","Rural","BDISC","Site",2.3,2.3,2.3,2.3,2.3,1
"ecan-00054","sq21160","waikakahi stream cock & hen road","canterbury","ecan","Lowland","Rural","BDISC","Site",1.97,1.97,1.97,1.97,1.97,1
"ecan-00055","sq21289","whitneys creek carrolls rd","canterbury","ecan","Lowland","Rural","BDISC","Site",2.545,2.545,2.545,2.545,2.545,1
"ecan-00059","sq21298","hook river beach road","canterbury","ecan","Lowland","Rural","BDISC","Site",6.07,6.07,6.07,6.07,6.07,1
"ecan-00062","sq21309","coopers creek sh72","canterbury","ecan","Upland","Forest","BDISC","Site",3.4,3.4,3.4,3.4,3.4,1
"ecan-00065","sq26221","mckinnons stream wallaces bridge","canterbury","ecan","Lowland","Urban","BDISC","Site",5.04,5.04,5.04,5.04,5.04,1
"ecan-00069","sq26633","orari river parke rd","canterbury","ecan","Lowland","Forest","BDISC","Site",5.715,5.715,5.715,5.715,5.715,1
"ecan-00070","sq30162","waipara river u/s teviotdale bridge","canterbury","ecan","Lowland","Rural","BDISC","Site",3.67,3.67,3.67,3.67,3.67,1
"ecan-00071","sq30175","ashley river 50m u/s sh1","canterbury","ecan","Lowland","Rural","BDISC","Site",5.25,5.25,5.25,5.25,5.25,1
"ecan-00072","sq30222","waikuku stream d/s sh1","canterbury","ecan","Lowland","Rural","BDISC","Site",2.6,2.6,2.6,2.6,2.6,1
"ecan-00079","sq30332","kaiapoi river u/s island rd","canterbury","ecan","Lowland","Rural","BDISC","Site",2.9,2.9,2.9,2.9,2.9,1
"ecan-00080","sq30369","cam river u/s bramleys road","canterbury","ecan","Lowland","Rural","BDISC","Site",1.18,1.18,1.18,1.18,1.18,1
"ecan-00081","sq30400","cust river u/s skewbridge road","canterbury","ecan","Lowland","Rural","BDISC","Site",2.54,2.54,2.54,2.54,2.54,1
"ecan-00082","sq30426","ohoka river u/s island rd","canterbury","ecan","Lowland","Rural","BDISC","Site",2.14,2.14,2.14,2.14,2.14,1
"ecan-00083","sq30445","otukaikino creek u/s dickeys rd","canterbury","ecan","Lowland","Urban","BDISC","Site",4.58,4.58,4.58,4.58,4.58,1
"ecan-00084","sq30782","kaituna stream off kaituna valley road","canterbury","ecan","Lowland","Rural","BDISC","Site",2.01,2.01,2.01,2.01,2.01,1
"ecan-00085","sq30878","lii stream u/s pannetts rd","canterbury","ecan","Lowland","Rural","BDISC","Site",1.1,1.1,1.1,1.1,1.1,1
"ecan-00086","sq30916","selwyn river u/s coes ford bridge","canterbury","ecan","Lowland","Rural","BDISC","Site",4.825,4.825,4.825,4.825,4.825,1
"ecan-00088","sq30928","selwyn river u/s whitecliffs rd","canterbury","ecan","Upland","Rural","BDISC","Site",5.085,5.085,5.085,5.085,5.085,1
"ecan-00091","sq30976","boggy creek u/s lake road","canterbury","ecan","Lowland","Rural","BDISC","Site",1.6,1.6,1.6,1.6,1.6,1
"ecan-00092","sq30977","doyleston drain at drain rd recorder","canterbury","ecan","Lowland","Rural","BDISC","Site",2.2,2.2,2.2,2.2,2.2,1
"ecan-00093","sq30992","harts creek d/s lower lake rd","canterbury","ecan","Lowland","Rural","BDISC","Site",2.405,2.405,2.405,2.405,2.405,1
"ecan-00094","sq31018","rakaia river north bank d/s sh1","canterbury","ecan","Lowland","Rural","BDISC","Site",0.53,0.53,0.53,0.53,0.53,1
"ecan-00095","sq31020","rakaia river gorge 50m d/s recorder","canterbury","ecan","Upland","Rural","BDISC","Site",0.605,0.605,0.605,0.605,0.605,1
"ecan-00100","sq33055","okuti river u/s kinloch road","canterbury","ecan","Lowland","Rural","BDISC","Site",1.47,1.47,1.47,1.47,1.47,1
"ecan-00101","sq33056","okana river u/s sh75","canterbury","ecan","Lowland","Rural","BDISC","Site",1.59,1.59,1.59,1.59,1.59,1
"ecan-00102","sq33270","kowhai river 100m u/s sh1","canterbury","ecan","Lowland","Rural","BDISC","Site",0.54,0.54,0.54,0.54,0.54,1
"ecan-00103","sq33273","lyell creek u/s sh1","canterbury","ecan","Lowland","Urban","BDISC","Site",1.42,1.42,1.42,1.42,1.42,1
"ecan-00104","sq33962","waipara river at laidmore rd","canterbury","ecan","Upland","Rural","BDISC","Site",4.71,4.71,4.71,4.71,4.71,1
"ecan-00106","sq34191","taranaki creek u/s preeces rd","canterbury","ecan","Lowland","Rural","BDISC","Site",1.06,1.06,1.06,1.06,1.06,1
"ecan-00107","sq34412","warren creek u/s rorrisons road","canterbury","ecan","Lowland","Rural","BDISC","Site",1.67,1.67,1.67,1.67,1.67,1
"ecan-00110","sq34540","waikekewai creek u/s gullivers rd","canterbury","ecan","Lowland","Rural","BDISC","Site",2.55,2.55,2.55,2.55,2.55,1
"ecan-00111","sq34557","middle creek u/s beach rd","canterbury","ecan","Lowland","Rural","BDISC","Site",1.395,1.395,1.395,1.395,1.395,1
"ecan-00114","sq34704","waiau river u/s leslie hills road","canterbury","ecan","Upland","Rural","BDISC","Site",0.43,0.43,0.43,0.43,0.43,1
"ecan-00115","sq34705","waiau river u/s waiau bridge","canterbury","ecan","Lowland","Rural","BDISC","Site",0.45,0.45,0.45,0.45,0.45,1
"ecan-00116","sq34706","waiau river u/s sh1","canterbury","ecan","Lowland","Rural","BDISC","Site",0.595,0.595,0.595,0.595,0.595,1
"ecan-00117","sq10005","omarama stream sh8","canterbury","ecan","Upland","Forest","BDISC","Site",1.82,1.82,1.82,1.82,1.82,1
"ecan-00118","sq10160","maerewhenua river sh83","canterbury","ecan","Lowland","Rural","BDISC","Site",5.3,5.3,5.3,5.3,5.3,1
"ecan-00119","sq10167","otiake river mt bell station","canterbury","ecan","Upland","Rural","BDISC","Site",6.6,6.6,6.6,6.6,6.6,1
"ecan-00121","sq10174","penticotico stream sh83","canterbury","ecan","Lowland","Rural","BDISC","Site",3.935,3.935,3.935,3.935,3.935,1
"ecan-00123","sq10275","mary burn d/s sh8","canterbury","ecan","Upland","Rural","BDISC","Site",1.495,1.495,1.495,1.495,1.495,1
"ecan-00124","sq10301","otematata river sh83","canterbury","ecan","Upland","Rural","BDISC","Site",5.365,5.365,5.365,5.365,5.365,1
"ecan-00128","sq26368","forks stream u/s sh8","canterbury","ecan","Upland","Rural","BDISC","Site",5.5,5.5,5.5,5.5,5.5,1
