"LawaSiteID","CouncilSiteID","SiteID","Region","Agency","SWQAltitude","SWQLanduse","Measurement","Scope","Q0","Q25","Q50","Q75","Q100","N"
"es-00017","waikiwi stream at north road","waikiwi stream at north road","southland","es","Lowland","Rural","NH4","Site",0.02,0.02,0.02,0.02,0.02,1
"es-00018","waihopai river u/s queens drive","waihopai river u/s queens drive","southland","es","Lowland","Rural","NH4","Site",0.0185,0.0185,0.0185,0.0185,0.0185,1
"es-00019","otepuni creek at nith street","otepuni creek at nith street","southland","es","Lowland","Urban","NH4","Site",0.0515,0.0515,0.0515,0.0515,0.0515,1
"es-00021","mataura river at mataura island bridge","mataura river at mataura island bridge","southland","es","Lowland","Rural","NH4","Site",0.013,0.013,0.013,0.013,0.013,1
"es-00022","mataura river 200m d/s mataura bridge","mataura river 200m d/s mataura bridge","southland","es","Lowland","Rural","NH4","Site",0.039,0.039,0.039,0.039,0.039,1
"es-00024","mataura river at parawa","mataura river at parawa","southland","es","Upland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00025","waikaia river at waipounamu bridge road","waikaia river at waipounamu bridge road","southland","es","Lowland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00026","waikaia river u/s piano flat","waikaia river u/s piano flat","southland","es","Upland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00027","waikaka stream at gore","waikaka stream at gore","southland","es","Lowland","Rural","NH4","Site",0.0335,0.0335,0.0335,0.0335,0.0335,1
"es-00028","mokoreta river at wyndham river road","mokoreta river at wyndham river road","southland","es","Lowland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00029","mimihau stream tributary at venlaw forest","mimihau stream tributary at venlaw forest","southland","es","Upland","Forest","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00030","otamita stream at mandeville","otamita stream at mandeville","southland","es","Lowland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00033","waikopikopiko stream at haldane curiobay","waikopikopiko stream at haldane curiobay","southland","es","Lowland","Forest","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00034","waikawa river at progress valley","waikawa river at progress valley","southland","es","Lowland","Rural","NH4","Site",0.0115,0.0115,0.0115,0.0115,0.0115,1
"es-00035","waimatuku stream at lorneville riverton hwy","waimatuku stream at lorneville riverton hwy","southland","es","Lowland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00036","oteramika stream at seaward downs","oteramika stream at seaward downs","southland","es","Lowland","Rural","NH4","Site",0.035,0.035,0.035,0.035,0.035,1
"es-00037","mataura river at gore","mataura river at gore","southland","es","Lowland","Urban","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00042","waikaia river at waikaia","waikaia river at waikaia","southland","es","Upland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00043","upukerora river at te anau milford road","upukerora river at te anau milford road","southland","es","Upland","Forest","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00044","mimihau stream at wyndham","mimihau stream at wyndham","southland","es","Lowland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00045","mararoa river at the key","mararoa river at the key","southland","es","Upland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00046","otapiri stream at otapiri gorge","otapiri stream at otapiri gorge","southland","es","Lowland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00047","makarewa river at lora gorge road","makarewa river at lora gorge road","southland","es","Lowland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00048","bog burn d/s hundred line road","bog burn d/s hundred line road","southland","es","Lowland","Rural","NH4","Site",0.015,0.015,0.015,0.015,0.015,1
"es-00049","tussock creek at cooper road","tussock creek at cooper road","southland","es","Lowland","Rural","NH4","Site",0.0245,0.0245,0.0245,0.0245,0.0245,1
"es-00051","pourakino river at traill road","pourakino river at traill road","southland","es","Lowland","Forest","NH4","Site",0.012,0.012,0.012,0.012,0.012,1
"es-00052","opouriki stream at tweedie road","opouriki stream at tweedie road","southland","es","Lowland","Rural","NH4","Site",0.0215,0.0215,0.0215,0.0215,0.0215,1
"es-00053","otautau stream at waikouro","otautau stream at waikouro","southland","es","Lowland","Rural","NH4","Site",0.028,0.028,0.028,0.028,0.028,1
"es-00054","mokotua stream at awarua","mokotua stream at awarua","southland","es","Lowland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00057","carran creek at waituna lagoon road","carran creek at waituna lagoon road","southland","es","Lowland","Rural","NH4","Site",0.0495,0.0495,0.0495,0.0495,0.0495,1
"es-00061","orauea river at orawia pukemaori road","orauea river at orawia pukemaori road","southland","es","Lowland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00062","whitestone river d/s manapouri-hillside","whitestone river d/s manapouri-hillside","southland","es","Upland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00064","tokanui river at fortrose otara road","tokanui river at fortrose otara road","southland","es","Lowland","Rural","NH4","Site",0.0185,0.0185,0.0185,0.0185,0.0185,1
"es-00065","longridge stream at sandstone","longridge stream at sandstone","southland","es","Upland","Rural","NH4","Site",0.0105,0.0105,0.0105,0.0105,0.0105,1
"es-00067","north peak stream at waimea valley road","north peak stream at waimea valley road","southland","es","Lowland","Rural","NH4","Site",0.011,0.011,0.011,0.011,0.011,1
"es-00068","sandstone stream at kingston crossing rd","sandstone stream at kingston crossing rd","southland","es","Lowland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00072","aparima river at thornbury","aparima river at thornbury","southland","es","Lowland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00102","dn5","Mataura at Seaward Down (NRWQN) (DN5)","southland","niwa","Lowland","Rural","NH4","Site",0.0255,0.0255,0.0255,0.0255,0.0255,1
"es-00106","moffat creek at moffat road","moffat creek at moffat road","southland","es","Lowland","Rural","NH4","Site",0.031,0.031,0.031,0.031,0.031,1
"es-00112","oreti river at wallacetown","oreti river at wallacetown","southland","es","Lowland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00121","waiau river at sunnyside","waiau river at sunnyside","southland","es","Lowland","Forest","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00130","waimea stream at mandeville","waimea stream at mandeville","southland","es","Lowland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00135","waituna creek at marshall road","waituna creek at marshall road","southland","es","Lowland","Rural","NH4","Site",0.0185,0.0185,0.0185,0.0185,0.0185,1
"es-00163","dipton stream at south hillend-dipton road","dipton stream at south hillend-dipton road","southland","es","Lowland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00164","hamilton burn at affleck road","hamilton burn at affleck road","southland","es","Upland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00165","hedgehope stream 20m u/s makarewa confl","hedgehope stream 20m u/s makarewa confl","southland","es","Lowland","Rural","NH4","Site",0.0185,0.0185,0.0185,0.0185,0.0185,1
"es-00166","lill burn at lill burn-monowai road","lill burn at lill burn-monowai road","southland","es","Lowland","Forest","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"es-00167","wairaki river ds blackmount road","wairaki river ds blackmount road","southland","es","Lowland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"ew-00001","14393","awakino river at gribbon rd","waikato","wrc","Lowland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00002","14395","awakino river at sh3 awakau rd junction","waikato","wrc","Lowland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00003","14419","awaroa river (waiuku) at otaua rd br opp moseley rd","waikato","wrc","Lowland","Rural","NH4","Site",0.047,0.047,0.047,0.047,0.047,1
"ew-00004","14435","awaroa stm (rotowaro) at sansons br @ rotowaro-huntly rd","waikato","wrc","Lowland","Rural","NH4","Site",0.0445,0.0445,0.0445,0.0445,0.0445,1
"ew-00005","24166","hikutaia river at old maratoto rd","waikato","wrc","Lowland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00006","24172","hinemaiaia river at sh1","waikato","wrc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00007","36706","kaniwhaniwha stm at wright rd","waikato","wrc","Lowland","Rural","NH4","Site",0.022,0.022,0.022,0.022,0.022,1
"ew-00008","36745","karapiro stm at hickey rd bridge - cambridge","waikato","wrc","Lowland","Forest","NH4","Site",0.024,0.024,0.024,0.024,0.024,1
"ew-00009","36768","kauaeranga river at smiths cableway/recorder","waikato","wrc","Lowland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00010","36800","kawaunui stm at sh5 br","waikato","wrc","Upland","Rural","NH4","Site",0.012,0.012,0.012,0.012,0.012,1
"ew-00011","36867","kirikiriroa stm at tauhara dr","waikato","wrc","Lowland","Urban","NH4","Site",0.23,0.23,0.23,0.23,0.23,1
"ew-00012","36890","komakorau stm at henry rd","waikato","wrc","Lowland","Rural","NH4","Site",0.715,0.715,0.715,0.715,0.715,1
"ew-00013","36998","kuratau river at sh41 moerangi","waikato","wrc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00014","37003","kuratau river at te rae street t10","waikato","wrc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00016","37523","little waipa stm at arapuni - putaruru rd","waikato","wrc","Lowland","Rural","NH4","Site",0.011,0.011,0.011,0.011,0.011,1
"ew-00017","37631","mangaharakeke stm (atiamuri) at sh30 (off jct sh1)","waikato","wrc","Upland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00018","37700","mangakara stm (reporoa) at sh5","waikato","wrc","Upland","Rural","NH4","Site",0.023,0.023,0.023,0.023,0.023,1
"ew-00019","37720","mangakino stm (whakamaru) at sandel rd","waikato","wrc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00020","37768","mangakotukutuku stm (rukuhia) at peacockes rd","waikato","wrc","Lowland","Rural","NH4","Site",0.21,0.21,0.21,0.21,0.21,1
"ew-00021","37825","mangamingi stm (tokoroa) at paraonui rd br","waikato","wrc","Upland","Rural","NH4","Site",0.27,0.27,0.27,0.27,0.27,1
"ew-00022","37841","manganui river at off manganui rd","waikato","wrc","Lowland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00023","37860","mangaohoi stm at south branch maru rd","waikato","wrc","Upland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00024","37891","mangaokewa stm at lawrence street br","waikato","wrc","Lowland","Forest","NH4","Site",0.014,0.014,0.014,0.014,0.014,1
"ew-00025","37939","mangaone stm (waikato) at annebrooke rd br","waikato","wrc","Lowland","Rural","NH4","Site",0.022,0.022,0.022,0.022,0.022,1
"ew-00026","37986","mangaonua stm at hoeka rd","waikato","wrc","Lowland","Rural","NH4","Site",0.0825,0.0825,0.0825,0.0825,0.0825,1
"ew-00027","37993","mangaonua stm at te miro rd (a.k.a waitakaruru stm)","waikato","wrc","Lowland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00028","38025","mangaotaki river at sh3 br","waikato","wrc","Lowland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00029","38101","mangapiko stm (pirongia/te awamutu) at bowman rd","waikato","wrc","Lowland","Rural","NH4","Site",0.0575,0.0575,0.0575,0.0575,0.0575,1
"ew-00030","38165","mangapu river at otorohanga","waikato","wrc","Lowland","Rural","NH4","Site",0.023,0.023,0.023,0.023,0.023,1
"ew-00031","38220","mangatangi river at sh2 maramarua","waikato","wrc","Lowland","Rural","NH4","Site",0.022,0.022,0.022,0.022,0.022,1
"ew-00032","38263","mangatawhiri river at lyons rd at buckingham br","waikato","wrc","Lowland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00033","38350","mangatutu stm (waikeria) at walker rd br","waikato","wrc","Lowland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00034","38367","mangauika stm at te awamutu borough w/s intake","waikato","wrc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00035","38386","mangawara stm at rutherford rd br","waikato","wrc","Lowland","Forest","NH4","Site",0.4,0.4,0.4,0.4,0.4,1
"ew-00036","38424","mangawhero stm (cambridge) at cambridge-ohaupo rd","waikato","wrc","Lowland","Forest","NH4","Site",0.1095,0.1095,0.1095,0.1095,0.1095,1
"ew-00037","38431","mangawhero stm (kaihere) at mangawara rd","waikato","wrc","Lowland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00040","38533","marokopa river at speedies rd (off te anga rd)","waikato","wrc","Lowland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00042","38551","matahuru stm at waiterimu road below confluence","waikato","wrc","Lowland","Rural","NH4","Site",0.0575,0.0575,0.0575,0.0575,0.0575,1
"ew-00043","40718","mokau river at awakau rd","waikato","wrc","Lowland","Forest","NH4","Site",0.014,0.014,0.014,0.014,0.014,1
"ew-00044","40716","mokau river at mangaokewa rd (off sh30)","waikato","wrc","Upland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00045","40720","mokau river at totoro rd recorder","waikato","wrc","Lowland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00046","40738","mokauiti stm at three way point - aria","waikato","wrc","Lowland","Rural","NH4","Site",0.022,0.022,0.022,0.022,0.022,1
"ew-00047","40966","ohaeroa stm at sh22 br","waikato","wrc","Lowland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00048","40998","ohautira stm at waingaro te uku rd","waikato","wrc","Lowland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00049","41010","ohinemuri river at queens head","waikato","wrc","Lowland","Rural","NH4","Site",0.0575,0.0575,0.0575,0.0575,0.0575,1
"ew-00050","41011","ohinemuri river at sh25 br","waikato","wrc","Lowland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00051","41071","ohote stm at whatawhata/horotiu rd","waikato","wrc","Lowland","Rural","NH4","Site",0.074,0.074,0.074,0.074,0.074,1
"ew-00052","41211","oparau river at langdon rd (off okupata rd)","waikato","wrc","Lowland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00053","41249","opuatia stm at ponganui rd","waikato","wrc","Lowland","Forest","NH4","Site",0.011,0.011,0.011,0.011,0.011,1
"ew-00054","41303","oraka stm at lake rd","waikato","wrc","Lowland","Rural","NH4","Site",0.034,0.034,0.034,0.034,0.034,1
"ew-00056","41355","otamakokore stm at hossack rd","waikato","wrc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00057","41630","piako river at kiwitahi","waikato","wrc","Lowland","Rural","NH4","Site",0.015,0.015,0.015,0.015,0.015,1
"ew-00058","41634","piako river at paeroa-tahuna rd br","waikato","wrc","Lowland","Rural","NH4","Site",0.046,0.046,0.046,0.046,0.046,1
"ew-00059","41667","piakonui stm at piakonui rd","waikato","wrc","Upland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00060","41766","pokaiwhenua stm at puketurua","waikato","wrc","Lowland","Rural","NH4","Site",0.011,0.011,0.011,0.011,0.011,1
"ew-00061","41835","pueto stm at broadlands rd br","waikato","wrc","Upland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00063","41893","puniu river at bartons corner rd br","waikato","wrc","Lowland","Rural","NH4","Site",0.022,0.022,0.022,0.022,0.022,1
"ew-00064","42292","tahunaatara stm at ohakuri rd","waikato","wrc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00065","42340","tairua river at morrisons br hikuai","waikato","wrc","Lowland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00066","42385","tapu river at tapu-coroglen rd","waikato","wrc","Lowland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00068","42477","tawarau river at off speedies rd","waikato","wrc","Lowland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00069","42678","tokaanu power station tailrace canal at sh41 bridge over canal","waikato","wrc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00070","42685","tokaanu stm at off sh41 turangi","waikato","wrc","Upland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00071","42773","torepatutahi stm at vaile rd br","waikato","wrc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00072","42974","waerenga stm at taniwha rd","waikato","wrc","Lowland","Rural","NH4","Site",0.013,0.013,0.013,0.013,0.013,1
"ew-00073","42993","waiau river at e309 rd ford","waikato","wrc","Lowland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00074","43010","waihaha river at sh32","waikato","wrc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00075","43171","waihou river at okauia","waikato","wrc","Lowland","Urban","NH4","Site",0.013,0.013,0.013,0.013,0.013,1
"ew-00076","43145","waihou river at whites rd","waikato","wrc","Lowland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00077","43313","waikato river at horotiu br","waikato","wrc","Lowland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00078","43224","waikato river at huntly-tainui br","waikato","wrc","Lowland","Forest","NH4","Site",0.0115,0.0115,0.0115,0.0115,0.0115,1
"ew-00079","43401","waikato river at mercer br","waikato","wrc","Lowland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00080","43552","waikato river at narrows boat ramp","waikato","wrc","Lowland","Forest","NH4","Site",0.014,0.014,0.014,0.014,0.014,1
"ew-00082","43334","waikato river at ohaaki br","waikato","wrc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00083","43336","waikato river at ohakuri tailrace br","waikato","wrc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00084","43411","waikato river at tuakau br","waikato","wrc","Lowland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00085","43361","waikato river at waipapa tailrace","waikato","wrc","Lowland","Forest","NH4","Site",0.013,0.013,0.013,0.013,0.013,1
"ew-00086","43278","waikato river at whakamaru tailrace","waikato","wrc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00087","43768","waingaro river (pukemiro) at ruakiwi rd off sh22","waikato","wrc","Lowland","Rural","NH4","Site",0.012,0.012,0.012,0.012,0.012,1
"ew-00088","43794","waiohotu stm at waiohotu rd (off sh5)","waikato","wrc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00089","43809","waiomou stm at matamata-tauranga rd","waikato","wrc","Lowland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00090","43879","waiotapu stm at campbell rd br","waikato","wrc","Upland","Rural","NH4","Site",0.87,0.87,0.87,0.87,0.87,1
"ew-00091","43855","waiotapu stm at homestead rd br","waikato","wrc","Upland","Rural","NH4","Site",0.29,0.29,0.29,0.29,0.29,1
"ew-00092","43910","waipa river at mangaokewa rd","waikato","wrc","Upland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00094","43915","waipa river at sh3 otorohanga","waikato","wrc","Lowland","Forest","NH4","Site",0.013,0.013,0.013,0.013,0.013,1
"ew-00095","43992","waipapa stm (mokai) at tirohanga rd br","waikato","wrc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00096","44082","waitahanui river at blake rd","waikato","wrc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00097","44092","waitakaruru river (hauraki plains) at coxhead rd br","waikato","wrc","Lowland","Forest","NH4","Site",0.0135,0.0135,0.0135,0.0135,0.0135,1
"ew-00098","44178","waitawhiriwhiri stm at edgecumbe street","waikato","wrc","Lowland","Forest","NH4","Site",0.565,0.565,0.565,0.565,0.565,1
"ew-00099","44241","waitekauri river at u/s ohinemuri conflu","waikato","wrc","Lowland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00100","44285","waitetuna river at te uku-waingaro rd","waikato","wrc","Lowland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00101","44331","waitoa river at landsdowne rd br","waikato","wrc","Lowland","Rural","NH4","Site",0.013,0.013,0.013,0.013,0.013,1
"ew-00102","44334","waitoa river at mellon rd recorder","waikato","wrc","Lowland","Rural","NH4","Site",0.0645,0.0645,0.0645,0.0645,0.0645,1
"ew-00104","44391","waitomo stm at sh31 otorohanga","waikato","wrc","Lowland","Rural","NH4","Site",0.017,0.017,0.017,0.017,0.017,1
"ew-00105","44379","waitomo stm at tumutumu rd","waikato","wrc","Lowland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00106","44407","waiwawa river at sh25 coroglen","waikato","wrc","Lowland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00108","44529","whakapipi stm at sh22 br","waikato","wrc","Lowland","Rural","NH4","Site",0.012,0.012,0.012,0.012,0.012,1
"ew-00109","44580","whakauru stm at u/s  sh1 br","waikato","wrc","Upland","Forest","NH4","Site",0.012,0.012,0.012,0.012,0.012,1
"ew-00110","44617","whangamarino river at island block rd","waikato","wrc","Lowland","Rural","NH4","Site",0.063,0.063,0.063,0.063,0.063,1
"ew-00111","44607","whangamarino river at jefferies rd br","waikato","wrc","Lowland","Forest","NH4","Site",0.0465,0.0465,0.0465,0.0465,0.0465,1
"ew-00112","44668","whangamata stm (kinloch) at whangamata rd","waikato","wrc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00113","44674","whanganui stm at lakeside lake taupo t8","waikato","wrc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00114","44677","whangape stm at rangiriri-glen murray rd","waikato","wrc","Lowland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00115","44749","wharekawa river at sh25","waikato","wrc","Lowland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00116","44791","whareroa stm (taupo) at lakeside lake taupo t9","waikato","wrc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00118","44845","whirinaki stm at corbett rd","waikato","wrc","Upland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"ew-00119","43349","waikato river at taupo control gates","waikato","wrc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"gdc-00002","awatere river at sh35 bridge","awatere river at sh35 bridge","gisborne","gdc","Lowland","Rural","NH4","Site",0.006,0.006,0.006,0.006,0.006,1
"gdc-00003","hikuwai river at no 4 bridge","hikuwai river at no 4 bridge","gisborne","gdc","Lowland","Rural","NH4","Site",0.008,0.008,0.008,0.008,0.008,1
"gdc-00004","hikuwai river at willowflat","hikuwai river at willowflat","gisborne","gdc","Lowland","Rural","NH4","Site",0.014,0.014,0.014,0.014,0.014,1
"gdc-00005","ihungia river at ihungia rd br","ihungia river at ihungia rd br","gisborne","gdc","Upland","Forest","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"gdc-00006","karakatuwhero river at sh35 br","karakatuwhero river at sh35 br","gisborne","gdc","Lowland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"gdc-00007","kopuawhakapata stream at hirini st","kopuawhakapata stream at hirini st","gisborne","gdc","Lowland","Urban","NH4","Site",0.07,0.07,0.07,0.07,0.07,1
"gdc-00008","mangaheia river at paroa road bridge","mangaheia river at paroa road bridge","gisborne","gdc","Lowland","Rural","NH4","Site",0.013,0.013,0.013,0.013,0.013,1
"gdc-00009","mangaoporo river at tutumatai bridge","mangaoporo river at tutumatai bridge","gisborne","gdc","Lowland","Rural","NH4","Site",0.007,0.007,0.007,0.007,0.007,1
"gdc-00010","mangatu river at omapere station","mangatu river at omapere station","gisborne","gdc","Lowland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"gdc-00011","mata river at aorangi (makarika road)","mata river at aorangi (makarika road)","gisborne","gdc","Lowland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"gdc-00013","oweka river at sh35 bridge","oweka river at sh35 bridge","gisborne","gdc","Lowland","Rural","NH4","Site",0.005,0.005,0.005,0.005,0.005,1
"gdc-00014","pakarae river at pakarae station bridge","pakarae river at pakarae station bridge","gisborne","gdc","Lowland","Rural","NH4","Site",0.018,0.018,0.018,0.018,0.018,1
"gdc-00015","poroporo river at rangitukia rd bridge","poroporo river at rangitukia rd bridge","gisborne","gdc","Lowland","Rural","NH4","Site",0.007,0.007,0.007,0.007,0.007,1
"gdc-00016","taruheru river at tuckers rd bridge","taruheru river at tuckers rd bridge","gisborne","gdc","Lowland","Rural","NH4","Site",0.093,0.093,0.093,0.093,0.093,1
"gdc-00017","te arai river at pykes weir","te arai river at pykes weir","gisborne","gdc","Lowland","Rural","NH4","Site",0.01,0.01,0.01,0.01,0.01,1
"gdc-00018","waiapu river at rotokautuku br (sh35)","waiapu river at rotokautuku br (sh35)","gisborne","gdc","Lowland","Rural","NH4","Site",0.009,0.009,0.009,0.009,0.009,1
"gdc-00020","waikanae creek at grey st bridge","waikanae creek at grey st bridge","gisborne","gdc","Lowland","Urban","NH4","Site",0.11,0.11,0.11,0.11,0.11,1
"gdc-00021","waikohu river at mahaki station","waikohu river at mahaki station","gisborne","gdc","Lowland","Rural","NH4","Site",0.012,0.012,0.012,0.012,0.012,1
"gdc-00022","waimata river at goodwins rd bridge","waimata river at goodwins rd bridge","gisborne","gdc","Lowland","Rural","NH4","Site",0.017,0.017,0.017,0.017,0.017,1
"gdc-00023","waimata river at monowai bridge","waimata river at monowai bridge","gisborne","gdc","Lowland","Rural","NH4","Site",0.013,0.013,0.013,0.013,0.013,1
"gdc-00024","waingaromia river at terrace station","waingaromia river at terrace station","gisborne","gdc","Lowland","Rural","NH4","Site",0.013,0.013,0.013,0.013,0.013,1
"gdc-00026","wainui stream at pare street","wainui stream at pare street","gisborne","gdc","Lowland","Rural","NH4","Site",0.0505,0.0505,0.0505,0.0505,0.0505,1
"gdc-00027","gs1","Waipaoa at Kanakanaia (NRWQN) (GS1)","gisborne","niwa","Upland","Rural","NH4","Site",0.007,0.007,0.00975,0.0125,0.0125,2
"gdc-00028","waipaoa river at matawhero bridge","waipaoa river at matawhero bridge","gisborne","gdc","Lowland","Rural","NH4","Site",0.016,0.016,0.016,0.016,0.016,1
"gdc-00029","wharekahika river u/s of wharf bridge","wharekahika river u/s of wharf bridge","gisborne","gdc","Lowland","Rural","NH4","Site",0.006,0.006,0.006,0.006,0.006,1
"gdc-00030","wharekopae river at rangimoe","wharekopae river at rangimoe","gisborne","gdc","Lowland","Rural","NH4","Site",0.017,0.017,0.017,0.017,0.017,1
"gdc-00031","whakaahu str at brunton rd","whakaahu str at brunton rd","gisborne","gdc","Lowland","Rural","NH4","Site",0.019,0.019,0.019,0.019,0.019,1
"gdc-00032","hamanatua stream at okitu bridge","hamanatua stream at okitu bridge","gisborne","gdc","Lowland","Rural","NH4","Site",0.021,0.021,0.021,0.021,0.021,1
"gdc-00033","turanganui river at gladstone rd bridge","turanganui river at gladstone rd bridge","gisborne","gdc","Lowland","Urban","NH4","Site",0.046,0.046,0.046,0.046,0.046,1
