"","agency","xmlAge","var","earliest","latest","nMeas","nMeas5","nSite","meanMeas","maxMeas","minMeas","nNA"
"1","ac",NA,"CHLA","03-Jun-1993","20-Dec-2019",482,86,4,0,0.2,0,0
"2","ac",NA,"ECOLI","03-Jun-1993","20-Dec-2019",296,80,4,8.7,280,1,0
"3","ac",NA,"NH4N","16-Feb-1993","11-Dec-2019",508,86,4,0,0.4,0,0
"4","ac",NA,"pH","16-Feb-1993","20-Dec-2019",453,55,4,7.8,9.5,6.1,0
"5","ac",NA,"Secchi","26-Feb-1993","11-Dec-2019",341,75,4,3.1,9,0,0
"6","ac",NA,"TN","26-Feb-1993","11-Dec-2019",466,87,4,0.4,5,0,0
"7","ac",NA,"TP","16-Feb-1993","11-Dec-2019",508,86,4,0,0.3,0,0
"8","boprc",0,"CHLA","19-Jan-2004","11-Dec-2019",3132,671,12,9,1370,0.3,0
"9","boprc",0,"NH4N","19-Jan-2004","11-Dec-2019",3173,699,12,8.6,1260,0,0
"10","boprc",0,"pH","19-Jan-2004","11-Dec-2019",3176,708,12,7.4,10.5,1.8,0
"11","boprc",0,"Secchi","19-Jan-2004","11-Dec-2019",2930,676,12,5.5,19.1,0,0
"12","boprc",0,"TN","19-Jan-2004","11-Dec-2019",2905,697,12,49.8,2940.5,0,0
"13","boprc",0,"TP","19-Jan-2004","11-Dec-2019",3220,714,12,3,231,0,0
"14","ecan",0,"CHLA","05-Jan-2004","19-Dec-2019",3985,1078,41,42,13530.6,0,7
"15","ecan",0,"ECOLI","11-Jul-2005","19-Dec-2019",1430,507,12,177,24200,0,0
"16","ecan",0,"NH4N","05-Jan-2004","19-Dec-2019",1638,412,10,0,3.4,0,0
"17","ecan",0,"pH","05-Jan-2004","19-Dec-2019",1191,526,12,8,10.2,6.3,0
"18","ecan",0,"Secchi","07-Jan-2004","19-Dec-2019",826,216,6,0.1,0.6,0,0
"19","ecan",0,"TN","05-Jan-2004","19-Dec-2019",3421,979,39,1.1,200,0,0
"20","ecan",0,"TP","05-Jan-2004","19-Dec-2019",3423,981,39,0.1,18,0,0
"21","es",0,"CHLA","19-Jan-2006","18-Dec-2019",1523,679,18,0,0.1,0,20
