"CouncilSiteID","SiteID","LawaSiteID","NZReach","Region","Agency","SWQAltitude","SWQLanduse","Catchment","Lat","Long","accessDate","Landcover","Altitude","Order","StreamOrder","AltitudeCl"
"45743","hoteo @ kraak hill","arc-00119",2001513,"auckland","arc","Unstated",NA,"hoteo river",-36.3658182333765,174.596915441758,"25-Jun-2020","Forest",203,"1","1","Upland"
"7725","lignite","arc-00123",2004938,"auckland","arc","Unstated",NA,"lignite creek",-36.7701701829781,174.70665933607,"25-Jun-2020","Urban",61,"1","1","Lowland"
"7899","lucas ltb @ tennis","arc-00124",2004501,"auckland","arc","Unstated",NA,"lucas creek",-36.7231426890407,174.699325197129,"25-Jun-2020","Urban",84,"3","3","Lowland"
"6862","mahu reference @ trappit","arc-00125",2002043,"auckland","arc","Unstated",NA,"mahurangi river",-36.4453355972646,174.662105928538,"25-Jun-2020","Forest",159,"1","1","Upland"
"6850","mahurangi ltb","arc-00126",2002078,"auckland","arc","Unstated",NA,"mahurangi river",-36.4499486809684,174.647308788846,"25-Jun-2020","Forest",95.6666666666667,"2","1&2","Lowland"
"44460","marawhara","arc-00128",2006366,"auckland","arc","Unstated",NA,"marawhara stream",-36.9401216576628,174.46857112482,"25-Jun-2020","Forest",188.666666666667,"2","1&2","Upland"
"43720","mauku stream @ stp","arc-00129",2009477,"auckland","arc","Unstated",NA,"mauku stream",-37.1882561944042,174.804435466703,"25-Jun-2020","Rural",29.3333333333333,"3","4&1","Lowland"
"7407","motutapu","arc-00131",2004929,"auckland","arc","Unstated",NA,"motutapu island",-36.7687672968808,174.925455569243,"25-Jun-2020","Rural",55,"2","2","Lowland"
"45605","mt auckland","arc-00132",2002096,"auckland","arc","Unstated",NA,"omaumau river",-36.4576840422337,174.460291306415,"25-Jun-2020","Forest",130,"1","1&2","Lowland"
"7313","okura creek@awanohi road","arc-00133",2003966,"auckland","arc","Unstated",NA,"okura creek",-36.6696044220034,174.714807838948,"25-Jun-2020","Forest",77,"1","2&1","Lowland"
"7315","okura trib 2","arc-00134",2004074,"auckland","arc","Unstated",NA,"okura creek",-36.6842760278705,174.708732085917,"25-Jun-2020","Rural",31,"2","2&1","Lowland"
"7314","okura trib 1","arc-00135",2004039,"auckland","arc","Unstated",NA,"okura creek",-36.6821415106051,174.724240500296,"25-Jun-2020","Rural",52,"1","1","Lowland"
"7726","onepoto @ kauri glen park","arc-00136",2005265,"auckland","arc","Unstated",NA,"oneopoto stream",-36.805227264153,174.736322836525,"25-Jun-2020","Urban",61,"1","1","Lowland"
