"LawaSiteID","Year","Measurement","Value","LFENZID","SiteID","Agency","Region","Long","Lat","LType","GeomorphicLType"
"arc-00099",2010,"TLI",3.45607424597727,50151,"lake pupuke","ac","auckland",174.586700000235,-36.7835100004189,"Stratified","Volcanic"
"arc-00099",2011,"TLI",3.59781953651047,50151,"lake pupuke","ac","auckland",174.586700000235,-36.7835100004189,"Stratified","Volcanic"
"arc-00099",2012,"TLI",3.48034590964865,50151,"lake pupuke","ac","auckland",174.586700000235,-36.7835100004189,"Stratified","Volcanic"
"arc-00099",2013,"TLI",3.51448795924877,50151,"lake pupuke","ac","auckland",174.586700000235,-36.7835100004189,"Stratified","Volcanic"
"arc-00099",2014,"TLI",3.62250754159131,50151,"lake pupuke","ac","auckland",174.586700000235,-36.7835100004189,"Stratified","Volcanic"
"arc-00099",2015,"TLI",3.69393283968114,50151,"lake pupuke","ac","auckland",174.586700000235,-36.7835100004189,"Stratified","Volcanic"
"arc-00099",2016,"TLI",4.5556814655442,50151,"lake pupuke","ac","auckland",174.586700000235,-36.7835100004189,"Stratified","Volcanic"
"arc-00099",2017,"TLI",4.41730971794135,50151,"lake pupuke","ac","auckland",174.586700000235,-36.7835100004189,"Stratified","Volcanic"
"arc-00099",2018,"TLI",3.55954784303497,50151,"lake pupuke","ac","auckland",174.586700000235,-36.7835100004189,"Stratified","Volcanic"
"arc-00099",2019,"TLI",4.17797948464104,50151,"lake pupuke","ac","auckland",174.586700000235,-36.7835100004189,"Stratified","Volcanic"
"arc-00100",1993,"TLI",2.11785996487838,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",1994,"TLI",2.16766860662248,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",1995,"TLI",NA,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",1996,"TLI",2.3546490758369,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",1997,"TLI",3.91247985112697,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",1998,"TLI",4.22248041199119,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",1999,"TLI",2.76601137596574,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",2000,"TLI",4.27366874712104,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",2001,"TLI",4.17427633148357,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",2002,"TLI",4.26307948075159,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",2003,"TLI",4.02512695538971,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",2004,"TLI",4.07237103055643,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",2005,"TLI",2.50794206516136,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",2006,"TLI",2.96454045098645,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",2007,"TLI",2.44149216224354,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",2008,"TLI",NA,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",2009,"TLI",3.32326917168826,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",2010,"TLI",3.20949098642782,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",2011,"TLI",3.32156265326228,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",2012,"TLI",3.22946536457251,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",2013,"TLI",2.9951087745445,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",2014,"TLI",3.15272978101395,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",2015,"TLI",3.24335611141774,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",2016,"TLI",3.47893809782925,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",2017,"TLI",3.55046197879626,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",2018,"TLI",3.56285078113546,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-00100",2019,"TLI",3.24126096402288,50270,"lake rototoa","ac","auckland",174.238660000489,-36.5137799997612,"Stratified","Aeolian"
"arc-10002",1993,"TLI",3.84076265132196,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",1994,"TLI",4.42494388533904,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",1995,"TLI",NA,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",1996,"TLI",4.16096433077569,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",1997,"TLI",4.61575038626047,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",1998,"TLI",5.1739954578448,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",1999,"TLI",4.93744626510696,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",2000,"TLI",4.54404298502179,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",2001,"TLI",3.10254037448633,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",2002,"TLI",4.91153766507859,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",2003,"TLI",4.45797187866503,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",2004,"TLI",4.28096864381172,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",2005,"TLI",4.15081197009992,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",2006,"TLI",4.62692984753236,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",2007,"TLI",3.27283897880536,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",2008,"TLI",NA,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",2009,"TLI",4.1986829925119,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",2010,"TLI",4.27228208142507,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",2011,"TLI",4.29679922255596,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",2012,"TLI",4.51310460595999,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",2013,"TLI",4.32734405629711,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",2014,"TLI",5.00692774075198,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",2015,"TLI",4.23357437924546,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",2016,"TLI",4.21587095679102,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",2017,"TLI",4.36756052000047,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",2018,"TLI",4.48195980352262,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"arc-10002",2019,"TLI",4.01921173901811,45819,"lake wainamu","ac","auckland",174.466880000102,-36.889339999764,"Stratified","Aeolian"
"ebop-00087",2005,"TLI",NA,15325,"lake okareka at site 1 (integrated)","boprc","bay of plenty",176.35889350614,-38.1673603256056,"Stratified","Volcanic"
"ebop-00087",2006,"TLI",3.41343260362238,15325,"lake okareka at site 1 (integrated)","boprc","bay of plenty",176.35889350614,-38.1673603256056,"Stratified","Volcanic"
"ebop-00087",2007,"TLI",NA,15325,"lake okareka at site 1 (integrated)","boprc","bay of plenty",176.35889350614,-38.1673603256056,"Stratified","Volcanic"
"ebop-00087",2008,"TLI",NA,15325,"lake okareka at site 1 (integrated)","boprc","bay of plenty",176.35889350614,-38.1673603256056,"Stratified","Volcanic"
"ebop-00087",2009,"TLI",3.31974864689196,15325,"lake okareka at site 1 (integrated)","boprc","bay of plenty",176.35889350614,-38.1673603256056,"Stratified","Volcanic"
"ebop-00087",2010,"TLI",3.27054354176014,15325,"lake okareka at site 1 (integrated)","boprc","bay of plenty",176.35889350614,-38.1673603256056,"Stratified","Volcanic"
"ebop-00087",2011,"TLI",3.43648238430949,15325,"lake okareka at site 1 (integrated)","boprc","bay of plenty",176.35889350614,-38.1673603256056,"Stratified","Volcanic"
"ebop-00087",2012,"TLI",3.24692771178287,15325,"lake okareka at site 1 (integrated)","boprc","bay of plenty",176.35889350614,-38.1673603256056,"Stratified","Volcanic"
"ebop-00087",2013,"TLI",3.61582817584684,15325,"lake okareka at site 1 (integrated)","boprc","bay of plenty",176.35889350614,-38.1673603256056,"Stratified","Volcanic"
"ebop-00087",2014,"TLI",3.18549047181405,15325,"lake okareka at site 1 (integrated)","boprc","bay of plenty",176.35889350614,-38.1673603256056,"Stratified","Volcanic"
"ebop-00087",2015,"TLI",3.08434923800248,15325,"lake okareka at site 1 (integrated)","boprc","bay of plenty",176.35889350614,-38.1673603256056,"Stratified","Volcanic"
"ebop-00087",2016,"TLI",3.35295413174906,15325,"lake okareka at site 1 (integrated)","boprc","bay of plenty",176.35889350614,-38.1673603256056,"Stratified","Volcanic"
"ebop-00087",2017,"TLI",3.44161040816699,15325,"lake okareka at site 1 (integrated)","boprc","bay of plenty",176.35889350614,-38.1673603256056,"Stratified","Volcanic"
"ebop-00087",2018,"TLI",3.41415450847126,15325,"lake okareka at site 1 (integrated)","boprc","bay of plenty",176.35889350614,-38.1673603256056,"Stratified","Volcanic"
"ebop-00087",2019,"TLI",3.0956459642441,15325,"lake okareka at site 1 (integrated)","boprc","bay of plenty",176.35889350614,-38.1673603256056,"Stratified","Volcanic"
