"Region","Agency","CouncilSiteID","SiteID","LawaSiteID","NZReach","Lat","Long","SWQAltitude","AltitudeCl","Altitude"
"bay of plenty","boprc","BQ739463","waitekohe at sh2","ebop-00040",4000461,-37.5993647067078,175.915601617197,"lowland","Upland",212
"bay of plenty","boprc","CO543022","ngamuwahine at old bridge","ebop-00009",4002930,-37.816784458299,176.015399445936,"lowland","Upland",177.5
"bay of plenty","boprc","JI148319","rangitaiki at inlet to aniwhenua canal","lawa-100396",4019036,-38.308112112467,176.79087706243,"lowland","Upland",179.214996338
"bay of plenty","boprc","LI953392","tauranga at ranger station","ebop-00103",4020728,-38.2908003479183,177.110507683301,"lowland","Upland",369
