"Region","Agency","CouncilSiteID","SiteID","LawaSiteID","NZReach","Lat","Long","SWQAltitude","AltitudeCl","Altitude"
"tasman","tdc","RW Kaituna @ Track start","kaituna at track start","tdc-00048",10000810,-40.71567356,172.57685119,"upland","Lowland",124
"tasman","tdc","RW Lee @ Meads Br","lee at meads br","tdc-00020",10015334,-41.40767821,173.15891132,"lowland","Upland",306
"tasman","tdc","RW Matakitaki @ SH6 Murchison","matakitaki at sh6 murchison","tdc-00022",12011297,-41.79958182,172.31978935,"lowland","Upland",272.5
"tasman","tdc","RW Motupiko @ 250m u-s Motueka Rv","motupiko at 250m u-s motueka rv","lawa-102296",10016710,-41.45087506,172.83233928,"lowland","Upland",180
