"Region","Agency","CouncilSiteID","SiteID","LawaSiteID","NZReach","Lat","Long","SWQLanduse","Landcover"
"hawkes bay","niwa","Mohaka at Glenfalls (NRWQN) (HV6)","HV6","nrwqn-00016",8017299,-39.1777572631836,176.634796142578,"Forest","Rural"
"hawkes bay","niwa","Mohaka at Raupunga (NRWQN) (HV5)","HV5","nrwqn-00017",8014818,-39.0735664367676,177.12907409668,"Forest","Rural"
"hawkes bay","niwa","Ngaruroro at Chesterhope (NRWQN) (HV3)","HV3","nrwqn-00014",8025078,-39.596435546875,176.872451782227,"Rural","Urban"
"hawkes bay","hbrc","Ngaruroro River D/S Hawkes Bay Dairies","1924","hbrc-00061",8024853,-39.5998513021959,176.577115285971,"Rural","Forest"
"hawkes bay","hbrc","Waiau River at Otoi","1500","hbrc-00081",8009552,-38.9479137664473,177.061617624702,"Rural","Forest"
