"LawaSiteID","Measurement","median","MAD","count","minPerYear","nYear","nQuart","nMonth","censoredCount","CenType","Frequency","censoredPropn","censMedian","EcoliDetect","EcoliDetectAtAll","meas","Exclude","Source"
"GDC-00034","Nitrate nitrogen",0.0022,0.0012,9,1,5,4,7,3,"0","quarterly",0.333333333333333,"0.0022",NA,NA,"NO3",FALSE,"Gisborne"
"GDC-00035","Ammoniacal nitrogen",5.6,0.100000000000001,7,0,4,4,5,0,"0","quarterly",0,"5.6",NA,NA,"NH4",FALSE,"Gisborne"
"GDC-00035","Chloride",47,2.9,11,1,5,4,6,0,"0","quarterly",0,"47",NA,NA,"Cl",FALSE,"Gisborne"
"GDC-00035","E.coli",0.8,0,5,0,3,4,4,5,"<","quarterly",1,"<1.6","2","2","ECOLI",FALSE,"Gisborne"
"GDC-00035","Electrical conductivity/salinity",1085,27,11,1,5,4,6,0,"0","quarterly",0,"1085",NA,NA,"NaCl",FALSE,"Gisborne"
"GDC-00035","Nitrate nitrogen",0.0046,0.0026,10,1,5,4,6,7,"<","quarterly",0.7,"<0.0092",NA,NA,"NO3",FALSE,"Gisborne"
"GW-00073","Ammoniacal nitrogen",0.022453,0.0035,20,3,5,4,8,0,"0","quarterly",0,"0.022453",NA,NA,"NH4",FALSE,"Wellington"
"GW-00073","Chloride",37.50315,0.503149999999998,20,3,5,4,8,0,"0","quarterly",0,"37.50315",NA,NA,"Cl",FALSE,"Wellington"
"GW-00073","Dissolved reactive phosphorus",0.14436615,0.01163385,20,3,5,4,8,0,"0","quarterly",0,"0.14436615",NA,NA,"DRP",FALSE,"Wellington"
"GW-00073","E.coli",0.5,0,20,3,5,4,8,20,"<","quarterly",1,"<1","2","2","ECOLI",FALSE,"Wellington"
"GW-00073","Electrical conductivity/salinity",284.60179,2.5,20,3,5,4,8,0,"0","quarterly",0,"284.60179",NA,NA,"NaCl",FALSE,"Wellington"
"GW-00073","Nitrate nitrogen",0.001,0,20,3,5,4,8,18,"<","quarterly",0.9,"<0.002",NA,NA,"NO3",FALSE,"Wellington"
"GW-00076","Ammoniacal nitrogen",0.005,0,19,3,5,4,5,18,"<","quarterly",0.947368421052632,"<0.01",NA,NA,"NH4",FALSE,"Wellington"
"GW-00076","Chloride",12.8,1.1564,19,3,5,4,5,0,"0","quarterly",0,"12.8",NA,NA,"Cl",FALSE,"Wellington"
"GW-00076","Dissolved reactive phosphorus",0.018,0.001101,19,3,5,4,5,0,"0","quarterly",0,"0.018",NA,NA,"DRP",FALSE,"Wellington"
"GW-00076","E.coli",0.5,0,19,3,5,4,5,11,"<","quarterly",0.578947368421053,"<1","2","1","ECOLI",FALSE,"Wellington"
"GW-00076","Electrical conductivity/salinity",126.1,2.51982699999999,19,3,5,4,5,0,"0","quarterly",0,"126.1",NA,NA,"NaCl",FALSE,"Wellington"
"GW-00076","Nitrate nitrogen",2.3,0.348907,19,3,5,4,5,0,"0","quarterly",0,"2.3",NA,NA,"NO3",FALSE,"Wellington"
"GW-00077","Ammoniacal nitrogen",0.43523,0.01523,20,4,5,4,7,0,"0","quarterly",0,"0.43523",NA,NA,"NH4",FALSE,"Wellington"
"GW-00077","Chloride",12.7714,0.39265,20,4,5,4,7,0,"0","quarterly",0,"12.7714",NA,NA,"Cl",FALSE,"Wellington"
"GW-00077","Dissolved reactive phosphorus",0.7953444,0.2403444,20,4,5,4,7,0,"0","quarterly",0,"0.7953444",NA,NA,"DRP",FALSE,"Wellington"
"GW-00077","Electrical conductivity/salinity",274,2,20,4,5,4,7,0,"0","quarterly",0,"274",NA,NA,"NaCl",FALSE,"Wellington"
"GW-00077","Nitrate nitrogen",0.01,0,20,4,5,4,7,18,"<","quarterly",0.9,"<0.02",NA,NA,"NO3",FALSE,"Wellington"
"GW-00082","Ammoniacal nitrogen",0.005,0,20,4,5,4,6,18,"<","quarterly",0.9,"<0.01",NA,NA,"NH4",FALSE,"Wellington"
"GW-00082","Chloride",150.48405,2.7317,20,4,5,4,6,0,"0","quarterly",0,"150.48405",NA,NA,"Cl",FALSE,"Wellington"
"GW-00082","Dissolved reactive phosphorus",0.003,0.001,20,4,5,4,6,10,"0","quarterly",0.5,"0.003",NA,NA,"DRP",FALSE,"Wellington"
"GW-00082","E.coli",0.5,0,20,4,5,4,6,20,"<","quarterly",1,"<1","2","2","ECOLI",FALSE,"Wellington"
"GW-00082","Electrical conductivity/salinity",778.5,9,20,4,5,4,6,0,"0","quarterly",0,"778.5",NA,NA,"NaCl",FALSE,"Wellington"
"GW-00082","Nitrate nitrogen",3.295474,0.166339,20,4,5,4,6,0,"0","quarterly",0,"3.295474",NA,NA,"NO3",FALSE,"Wellington"
"GW-00086","Ammoniacal nitrogen",0.005,0,19,3,5,4,8,17,"<","quarterly",0.894736842105263,"<0.01",NA,NA,"NH4",FALSE,"Wellington"
"GW-00086","Chloride",32,0.314,19,3,5,4,8,0,"0","quarterly",0,"32",NA,NA,"Cl",FALSE,"Wellington"
"GW-00086","Dissolved reactive phosphorus",0.046,0.002,19,3,5,4,8,0,"0","quarterly",0,"0.046",NA,NA,"DRP",FALSE,"Wellington"
"GW-00086","E.coli",0.5,0,19,3,5,4,8,19,"<","quarterly",1,"<1","2","2","ECOLI",FALSE,"Wellington"
"GW-00086","Electrical conductivity/salinity",323,2,19,3,5,4,8,0,"0","quarterly",0,"323",NA,NA,"NaCl",FALSE,"Wellington"
"GW-00086","Nitrate nitrogen",9.3,0.201865399999999,19,3,5,4,8,0,"0","quarterly",0,"9.3",NA,NA,"NO3",FALSE,"Wellington"
"GW-00107","Ammoniacal nitrogen",0.1146195,0.00588049999999998,20,4,5,4,9,0,"0","quarterly",0,"0.1146195",NA,NA,"NH4",FALSE,"Wellington"
"GW-00107","Chloride",23,0.979200000000001,20,4,5,4,9,0,"0","quarterly",0,"23",NA,NA,"Cl",FALSE,"Wellington"
"GW-00107","Dissolved reactive phosphorus",0.152666,0.00873615,20,4,5,4,9,0,"0","quarterly",0,"0.152666",NA,NA,"DRP",FALSE,"Wellington"
"GW-00107","E.coli",0.5,0,1,0,1,1,1,1,"<","quarterly",1,"<1","2","2","ECOLI",FALSE,"Wellington"
"GW-00107","Electrical conductivity/salinity",180,2,20,4,5,4,9,0,"0","quarterly",0,"180",NA,NA,"NaCl",FALSE,"Wellington"
"GW-00107","Nitrate nitrogen",0.001,0,20,4,5,4,9,17,"<","quarterly",0.85,"<0.002",NA,NA,"NO3",FALSE,"Wellington"
"GW-00108","Ammoniacal nitrogen",0.023492,0.0055309,18,3,5,4,8,1,"0","quarterly",0.0555555555555556,"0.023492",NA,NA,"NH4",FALSE,"Wellington"
"GW-00108","Chloride",14.75,0.3,18,3,5,4,8,0,"0","quarterly",0,"14.75",NA,NA,"Cl",FALSE,"Wellington"
"GW-00108","Dissolved reactive phosphorus",0.0300094,0.00895065,18,3,5,4,8,1,"0","quarterly",0.0555555555555556,"0.0300094",NA,NA,"DRP",FALSE,"Wellington"
"GW-00108","E.coli",0.5,0,1,0,1,1,1,1,"<","quarterly",1,"<1","2","2","ECOLI",FALSE,"Wellington"
"GW-00108","Electrical conductivity/salinity",123.5,3.5,18,3,5,4,8,0,"0","quarterly",0,"123.5",NA,NA,"NaCl",FALSE,"Wellington"
"GW-00108","Nitrate nitrogen",0.1142763,0.01126325,18,3,5,4,8,0,"0","quarterly",0,"0.1142763",NA,NA,"NO3",FALSE,"Wellington"
"GW-00123","Ammoniacal nitrogen",0.005,0,19,3,5,4,5,19,"<","quarterly",1,"<0.01",NA,NA,"NH4",FALSE,"Wellington"
"GW-00123","Chloride",8.044,0.7693,19,3,5,4,5,0,"0","quarterly",0,"8.044",NA,NA,"Cl",FALSE,"Wellington"
"GW-00123","Dissolved reactive phosphorus",0.0189376,0.0029376,19,3,5,4,5,0,"0","quarterly",0,"0.0189376",NA,NA,"DRP",FALSE,"Wellington"
"GW-00123","E.coli",0.5,0,19,3,5,4,5,15,"<","quarterly",0.789473684210526,"<1","2","1","ECOLI",FALSE,"Wellington"
"GW-00123","Electrical conductivity/salinity",90.266472,14.266472,19,3,5,4,5,0,"0","quarterly",0,"90.266472",NA,NA,"NaCl",FALSE,"Wellington"
"GW-00123","Nitrate nitrogen",1.477505,0.957505,19,3,5,4,5,0,"0","quarterly",0,"1.477505",NA,NA,"NO3",FALSE,"Wellington"
"GW-00129","Ammoniacal nitrogen",0.005,0,20,4,5,4,6,20,"<","quarterly",1,"<0.01",NA,NA,"NH4",FALSE,"Wellington"
"GW-00129","Chloride",33,1,20,4,5,4,6,0,"0","quarterly",0,"33",NA,NA,"Cl",FALSE,"Wellington"
"GW-00129","Dissolved reactive phosphorus",0.01114675,0.00114675,20,4,5,4,6,0,"0","quarterly",0,"0.01114675",NA,NA,"DRP",FALSE,"Wellington"
"GW-00129","E.coli",0.5,0,20,4,5,4,6,19,"<","quarterly",0.95,"<1","2","1","ECOLI",FALSE,"Wellington"
"GW-00129","Electrical conductivity/salinity",269,2.5,20,4,5,4,6,0,"0","quarterly",0,"269",NA,NA,"NaCl",FALSE,"Wellington"
"GW-00129","Nitrate nitrogen",5.45,0.15,20,4,5,4,6,0,"0","quarterly",0,"5.45",NA,NA,"NO3",FALSE,"Wellington"
"GW-00151","Ammoniacal nitrogen",0.005,0,20,4,5,4,5,20,"<","quarterly",1,"<0.01",NA,NA,"NH4",FALSE,"Wellington"
"GW-00151","Chloride",15.5,1.6,20,4,5,4,5,0,"0","quarterly",0,"15.5",NA,NA,"Cl",FALSE,"Wellington"
"GW-00151","Dissolved reactive phosphorus",0.018,0.00150165,20,4,5,4,5,0,"0","quarterly",0,"0.018",NA,NA,"DRP",FALSE,"Wellington"
"GW-00151","E.coli",0.5,0,20,4,5,4,5,15,"<","quarterly",0.75,"<1","2","1","ECOLI",FALSE,"Wellington"
"GW-00151","Electrical conductivity/salinity",194.06043,8.444394,20,4,5,4,5,0,"0","quarterly",0,"194.06043",NA,NA,"NaCl",FALSE,"Wellington"
"GW-00151","Nitrate nitrogen",9.9,0.993949700000001,20,4,5,4,5,0,"0","quarterly",0,"9.9",NA,NA,"NO3",FALSE,"Wellington"
"GW-00166","Ammoniacal nitrogen",0.005,0,4,0,1,4,4,4,"<","quarterly",1,"<0.01",NA,NA,"NH4",FALSE,"Wellington"
"GW-00166","Chloride",21.58135,0.130099999999999,4,0,1,4,4,0,"0","quarterly",0,"21.58135",NA,NA,"Cl",FALSE,"Wellington"
"GW-00166","Dissolved reactive phosphorus",0.0189994,0.000543700000000001,4,0,1,4,4,0,"0","quarterly",0,"0.0189994",NA,NA,"DRP",FALSE,"Wellington"
