Value,Type
Total Phosphorus,Measurement
Ammoniacal Nitrogen,Measurement
Total Nitrogen,Measurement
Secchi Depth,Measurement
Secchi Depth - with viewer,Measurement
Chlorophyll a (Fluorimetry),Measurement
Chlorophyll a,Measurement
pH [pH (Discrete)],Measurement
Escherichia coli,Measurement
