Value,Type
NH3+NH4 as N (mg/l),Measurement
Chloro a (mg/l),Measurement
E. coli (CFU/100ml),Measurement
pH (pH units),Measurement
Transpar.-secchi (m),Measurement
Tot N (mg/l),Measurement
Tot P (mg/l),Measurement
