"CouncilSiteID","Date","Value","Method","Measurement","Censored","centype"
"lake dunstan at dead mans point","08-Dec-11",8.1,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","09-Dec-04",0.005,"","TP",TRUE,"Left"
"lake dunstan at dead mans point","09-Dec-04",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","09-Dec-04",0.05,"","TN",TRUE,"Left"
"lake dunstan at dead mans point","09-Dec-04",1,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","09-Dec-04",1.9,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","09-Feb-10",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","09-Feb-10",0.016,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","09-Feb-10",0.09,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","09-Feb-10",1,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","09-Feb-10",2,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","09-Feb-10",8.3,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","09-Jan-06",10,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","09-Jun-11",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","09-Jun-11",0.08,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","09-Jun-11",2,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","09-Jun-11",3,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","09-Jun-11",7.7,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","10-Apr-07",0.009,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","10-Apr-07",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","10-Apr-07",0.07,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","10-Apr-07",1.9,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","10-Apr-07",2,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","10-Jan-14",0.004,"","TP",TRUE,"Left"
"lake dunstan at dead mans point","10-Jan-14",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","10-Jan-14",0.11,"","TN",TRUE,"Left"
"lake dunstan at dead mans point","10-Jan-14",3,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","10-Jan-14",52,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","10-Jan-14",7.7,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","11-Dec-07",0.006,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","11-Dec-07",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","11-Dec-07",0.07,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","11-Dec-07",2,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","11-Dec-07",2,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","11-Dec-14",0.005,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","11-Dec-14",0.005,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","11-Dec-14",0.081,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","11-Dec-14",1.4,"","CHLA",FALSE,"FALSE"
"lake dunstan at dead mans point","11-Dec-14",1.6,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","11-Dec-14",7.9,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","11-Dec-18",0.0018,"","CHLA",FALSE,"FALSE"
"lake dunstan at dead mans point","11-Dec-18",0.005,"","NH4N",FALSE,"FALSE"
"lake dunstan at dead mans point","11-Dec-18",0.006,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","11-Dec-18",0.106,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","11-Dec-18",35,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","11-Dec-18",7.7,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","11-Sep-13",0.004,"","TP",TRUE,"Left"
"lake dunstan at dead mans point","11-Sep-13",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","11-Sep-13",0.11,"","TN",TRUE,"Left"
"lake dunstan at dead mans point","11-Sep-13",1,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","11-Sep-13",3,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","11-Sep-13",7.7,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","11-Sep-18",3e-04,"","CHLA",FALSE,"FALSE"
"lake dunstan at dead mans point","11-Sep-18",0.004,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","11-Sep-18",0.005,"","NH4N",FALSE,"FALSE"
"lake dunstan at dead mans point","11-Sep-18",0.09,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","11-Sep-18",7,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","11-Sep-18",7.6,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Apr-06",0.01,"","NH4N",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Apr-06",0.05,"","TP",TRUE,"Left"
"lake dunstan at dead mans point","12-Apr-06",0.06,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Apr-06",1,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Feb-08",0.005,"","TP",TRUE,"Left"
"lake dunstan at dead mans point","12-Feb-08",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","12-Feb-08",0.05,"","TN",TRUE,"Left"
"lake dunstan at dead mans point","12-Feb-08",1.9,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","12-Feb-08",2,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","12-Feb-13",0.008,"","TP",FALSE,"FALSE"
