"agency","xmlAge","var","nMeas","nMeas5","nSite","earliest","latest","minMeas","meanMeas","maxMeas","nNA"
"hrc",7,"BDISC",13690,4259,135,"10-Jan-2005","17-Dec-2019",0,1.8,17,0
"hrc",7,"DRP",18656,6231,136,"10-Jan-2005","17-Dec-2019",0,0.1,7.6,0
"hrc",7,"ECOLI",18568,6166,135,"10-Jan-2005","17-Dec-2019",1,1196.6,240000,0
"hrc",7,"NH4",18650,6233,136,"10-Jan-2005","17-Dec-2019",0,0.2,38.7,0
"hrc",7,"PH",17701,6150,136,"13-Jun-2006","17-Dec-2019",1.7,7.6,12.5,0
"hrc",7,"TN",18129,6237,136,"04-Jul-2006","17-Dec-2019",0,1.1,57,0
"hrc",7,"TON",18603,6179,136,"10-Jan-2005","17-Dec-2019",0,0.6,18.6,0
"hrc",7,"TP",18154,6237,136,"12-Jan-2005","17-Dec-2019",0,0.1,36.7,0
"hrc",7,"TURB",18567,6147,135,"10-Jan-2005","17-Dec-2019",0.1,29.6,6276,0
"mdc",0,"DRP",4580,1521,32,"12-Feb-2007","11-Dec-2019",0,0,0.2,0
"mdc",0,"ECOLI",4622,1520,32,"12-Feb-2007","11-Dec-2019",1,256.8,41000,0
"mdc",0,"NH4",4556,1521,32,"12-Feb-2007","11-Dec-2019",0,0,0.7,0
"mdc",0,"PH",4619,1520,32,"12-Feb-2007","11-Dec-2019",6,7.4,9.6,0
"mdc",0,"TN",1104,1104,31,"05-Jan-2017","11-Dec-2019",0,0.5,3.3,0
"mdc",0,"TON",4555,1522,32,"13-Feb-2007","11-Dec-2019",0,0.4,4.2,0
"mdc",0,"TP",1104,1104,31,"05-Jan-2017","11-Dec-2019",0,0,3.5,0
"mdc",0,"TURB",4644,1521,32,"12-Feb-2007","11-Dec-2019",0.1,22.9,10900,0
"ncc",0,"BDISC",2320,1125,25,"10-Feb-2005","19-Dec-2019",0,3.8,13.4,0
"ncc",0,"DRP",2422,1152,25,"10-Feb-2005","19-Dec-2019",0,0,0.1,0
"ncc",0,"ECOLI",2393,1148,25,"10-Feb-2005","19-Dec-2019",1,619.2,190000,0
"ncc",0,"NH4",2396,1151,25,"10-Feb-2005","19-Dec-2019",0,0,11,0
"ncc",0,"PH",2421,1150,25,"10-Feb-2005","19-Dec-2019",3.7,7.9,9.4,0
"ncc",0,"TN",1377,1152,25,"14-Apr-2015","19-Dec-2019",0,0.4,3.7,0
"ncc",0,"TP",1376,1151,25,"14-Apr-2015","19-Dec-2019",0,0,0.2,0
"ncc",0,"TURB",2188,964,25,"10-Feb-2005","19-Dec-2019",0.1,3.4,380,0
"nrc",0,"BDISC",4603,1409,32,"12-Jan-2005","19-Dec-2019",0,1.4,4.9,0
