"LAWAID","SiteName","Year","Parameter","Value","Band"
"ccc-00038","HALS04","2015to2019","AmmoniacalMed",0.0179231919414496,NA
"ccc-00039","OTUKAI01","2015to2019","AmmoniacalMed",0.00485937743797784,NA
"ccc-00040","OTUKAI02","2015to2019","AmmoniacalMed",0.0140806561859193,NA
"ccc-00041","OUT01","2015to2019","AmmoniacalMed",0.0882588774341352,NA
"ccc-00042","OTUKAI03","2015to2019","AmmoniacalMed",0.0047808764940239,NA
"ebop-00001","BQ966369","2015to2019","AmmoniacalMed",0.00201005682945797,NA
"ebop-00002","RN123610","2015to2019","AmmoniacalMed",0.00114942528735632,NA
"ebop-00003","FN834668","2015to2019","AmmoniacalMed",0.00363974703265012,NA
"ebop-00005","DO406909","2015to2019","AmmoniacalMed",0.0119996350352032,NA
"ebop-00006","DP784306","2015to2019","AmmoniacalMed",0.026546698237306,NA
"ebop-00009","CO543022","2015to2019","AmmoniacalMed",0.00239904038384646,NA
"ebop-00010","EL174017","2015to2019","AmmoniacalMed",0.00563014291901256,NA
"ebop-00012","FL230406","2015to2019","AmmoniacalMed",0.00488930567814063,NA
"ebop-00013","DO047598","2015to2019","AmmoniacalMed",0.00287081339712919,NA
"ebop-00014","OK300616","2015to2019","AmmoniacalMed",0.00170648464163822,NA
"ebop-00016","GN922883","2015to2019","AmmoniacalMed",0.00541311584553928,NA
"ebop-00017","GN849464","2015to2019","AmmoniacalMed",0.00358565737051793,NA
"ebop-00019","EK598179","2015to2019","AmmoniacalMed",0.0277504634271901,NA
"ebop-00021","JK491452","2015to2019","AmmoniacalMed",0.00628955696202532,NA
"ebop-00022","SO991920","2015to2019","AmmoniacalMed",0.00149458376245486,NA
"ebop-00023","EP623312","2015to2019","AmmoniacalMed",0.0236690364850651,NA
"ebop-00024","IK555889","2015to2019","AmmoniacalMed",NA,NA
"ebop-00025","IL818464","2015to2019","AmmoniacalMed",0.039948058406664,NA
"ebop-00026","BQ711622","2015to2019","AmmoniacalMed",NA,NA
"ebop-00027","BQ708712","2015to2019","AmmoniacalMed",0.00232907819106303,NA
"ebop-00028","BR809582","2015to2019","AmmoniacalMed",0.00173235166738848,NA
"ebop-00030","BS961133","2015to2019","AmmoniacalMed",0.00316150806065755,NA
"ebop-00031","LK149881","2015to2019","AmmoniacalMed",0.00309358081979892,NA
"ebop-00032","DO712717","2015to2019","AmmoniacalMed",0.0034856700232378,NA
"ebop-00033","DO686858","2015to2019","AmmoniacalMed",0.00724464593285886,NA
"ebop-00035","CP466747","2015to2019","AmmoniacalMed",0.00357996133021528,NA
"ebop-00036","CO938527","2015to2019","AmmoniacalMed",0.00379188633322257,NA
"ebop-00037","DP281304","2015to2019","AmmoniacalMed",0.00536464718703174,NA
"ebop-00038","HN674689","2015to2019","AmmoniacalMed",0.00450958286358512,NA
"ebop-00039","EO451883","2015to2019","AmmoniacalMed",0.0083154983372296,NA
"ebop-00040","BQ739463","2015to2019","AmmoniacalMed",0.00227625988739595,NA
"ebop-00041","LK082095","2015to2019","AmmoniacalMed",0.00167597765363128,NA
"ebop-00042","KL998150","2015to2019","AmmoniacalMed",0.00307978071735461,NA
"ebop-00044","NK608503","2015to2019","AmmoniacalMed",0.00150829562594269,NA
"ebop-00045","GS4","2015to2019","AmmoniacalMed",0.00261635065254864,NA
"ebop-00047","GM781934","2015to2019","AmmoniacalMed",0.00077188279533862,NA
"ebop-00048","IG265664","2015to2019","AmmoniacalMed",0.00417163289630513,NA
"ebop-00050","JM102399","2015to2019","AmmoniacalMed",0.0231256777474479,NA
"ebop-00051","GJ662805","2015to2019","AmmoniacalMed",0.00159884463984459,NA
"ebop-00052","BQ723939","2015to2019","AmmoniacalMed",0.00173649785284132,NA
"ebop-00053","IG691428","2015to2019","AmmoniacalMed",0.00275103163686382,NA
"ebop-00057","FO620177","2015to2019","AmmoniacalMed",0.013798968307596,NA
"ebop-00062","MK307635","2015to2019","AmmoniacalMed",0.0119142176330421,NA
"ebop-00070","JL350292","2015to2019","AmmoniacalMed",0.00460530374300211,NA
"ebop-00101","RO629568","2015to2019","AmmoniacalMed",0.00132836490694489,NA
"ebop-00102","FD445529","2015to2019","AmmoniacalMed",0.00252100840336134,NA
"ebop-00103","LI953392","2015to2019","AmmoniacalMed",NA,NA
"ebop-00104","FC231176","2015to2019","AmmoniacalMed",0.00587930302302078,NA
"ecan-00001","SQ10012","2015to2019","AmmoniacalMed",0.00642581969815634,NA
"ecan-00002","SQ10037","2015to2019","AmmoniacalMed",0.00211417435457341,NA
"ecan-00003","SQ10057","2015to2019","AmmoniacalMed",NA,NA
"ecan-00007","SQ10804","2015to2019","AmmoniacalMed",NA,NA
"ecan-00008","SQ10814","2015to2019","AmmoniacalMed",0.00244511932660577,NA
"ecan-00010","SQ10818","2015to2019","AmmoniacalMed",0.00229990800367985,NA
"ecan-00014","SQ20104","2015to2019","AmmoniacalMed",0.00306866736248229,NA
"ecan-00016","SQ20106","2015to2019","AmmoniacalMed",NA,NA
"ecan-00018","SQ20107","2015to2019","AmmoniacalMed",NA,NA
"ecan-00020","SQ20112","2015to2019","AmmoniacalMed",0.00306748466257669,NA
