"Site","Bore","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"LAWA-101404","Bore 1001238 at Lochinver","E.coli","2015-09-10","2019-11-12","18","1","5.3"
"LAWA-101404","Bore 1001238 at Lochinver","Electrical conductivity/salinity","2015-05-25","2019-08-06","18","38.6","422"
"LAWA-101404","Bore 1001238 at Lochinver","Nitrate nitrogen","2015-05-25","2019-11-12","19","0.023","0.043"
"LAWA-101404","Bore 1001238 at Lochinver","Nitrogen - Other","2016-08-23","2019-11-12","30","0","2.801"
"LAWA-101406","Bore 1001241 at Lochinver","Ammoniacal nitrogen","2015-05-26","2019-11-13","19","0.49","0.768"
"LAWA-101406","Bore 1001241 at Lochinver","Chloride","2015-05-26","2019-11-13","19","1.7","2.5"
"LAWA-101406","Bore 1001241 at Lochinver","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101406","Bore 1001241 at Lochinver","E.coli","2015-09-10","2019-11-13","18","1","1"
"LAWA-101406","Bore 1001241 at Lochinver","Electrical conductivity/salinity","2015-05-26","2019-08-06","18","40.3","85"
"LAWA-101406","Bore 1001241 at Lochinver","Nitrate nitrogen","2015-05-26","2019-11-13","19","-0.009","0.077"
"LAWA-101406","Bore 1001241 at Lochinver","Nitrogen - Other","2016-08-24","2019-11-13","28","0","0.079"
"LAWA-101407","Bore 1001249 at Matea Rd","Ammoniacal nitrogen","2015-05-26","2019-11-13","18","-0.003","0.014"
"LAWA-101407","Bore 1001249 at Matea Rd","Chloride","2015-05-26","2019-11-13","17","2.7","5.1"
"LAWA-101407","Bore 1001249 at Matea Rd","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101407","Bore 1001249 at Matea Rd","E.coli","2015-09-10","2019-11-13","17","1","1"
"LAWA-101407","Bore 1001249 at Matea Rd","Electrical conductivity/salinity","2015-05-26","2019-08-06","17","51","109"
"LAWA-101407","Bore 1001249 at Matea Rd","Nitrate nitrogen","2015-05-26","2019-11-13","18","2.383","3.913"
"LAWA-101407","Bore 1001249 at Matea Rd","Nitrogen - Other","2016-08-24","2019-11-13","26","-0.001","3.912"
"LAWA-101446","Bore 1001283 at Collins Lane","Ammoniacal nitrogen","2015-11-16","2019-12-02","17","0.069","0.106"
"LAWA-101446","Bore 1001283 at Collins Lane","Chloride","2015-11-16","2019-12-02","17","8.4","9.5"
"LAWA-101446","Bore 1001283 at Collins Lane","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101446","Bore 1001283 at Collins Lane","E.coli","2015-11-16","2019-12-02","17","1","1"
