"Site","Bore","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"LAWA-100763","E44/0036","Chloride","2015-03-18","2019-06-19","19","15.3","19.6"
"LAWA-100763","E44/0036","Dissolved reactive phosphorus","2015-03-18","2019-06-19","19","0.009","0.014"
"LAWA-100763","E44/0036","E.coli","2015-03-18","2019-06-19","19","0.5","1"
"LAWA-100763","E44/0036","Electrical conductivity/salinity","2015-03-18","2019-06-19","19","207","231"
"LAWA-100763","E44/0036","Nitrate nitrogen","2015-03-18","2019-06-19","38","12.5","16.7"
"LAWA-100763","E44/0036","Nitrogen - Other","2015-03-18","2019-06-19","51","0.001","16.7"
"LAWA-100763","E44/0036","Water Level",NA,NA,"0","Inf","-Inf"
"LAWA-100775","E44/0044","Ammoniacal nitrogen","2015-03-20","2019-07-16","16","0.005","0.005"
"LAWA-100775","E44/0044","Chloride","2015-03-20","2019-07-16","16","10.2","14.3"
"LAWA-100775","E44/0044","Dissolved reactive phosphorus","2015-03-20","2019-07-16","16","0.006","0.016"
"LAWA-100775","E44/0044","E.coli","2015-03-20","2019-07-16","16","0.5","3"
"LAWA-100775","E44/0044","Electrical conductivity/salinity","2015-03-20","2019-07-16","16","252","273"
"LAWA-100775","E44/0044","Nitrate nitrogen","2015-03-20","2019-07-16","32","0.001","0.025"
"LAWA-100775","E44/0044","Nitrogen - Other","2015-03-20","2019-07-16","48","0.001","0.055"
"LAWA-100775","E44/0044","Water Level",NA,NA,"0","Inf","-Inf"
"LAWA-100783","E44/0045","Ammoniacal nitrogen","2016-03-10","2016-03-10","1","0.005","0.005"
"LAWA-100783","E44/0045","Chloride","2016-03-10","2016-03-10","1","8","8"
"LAWA-100783","E44/0045","Dissolved reactive phosphorus","2016-03-10","2016-03-10","1","0.019","0.019"
"LAWA-100783","E44/0045","E.coli",NA,NA,"0","Inf","-Inf"
"LAWA-100783","E44/0045","Electrical conductivity/salinity","2016-03-10","2016-03-10","1","157","157"
"LAWA-100783","E44/0045","Nitrate nitrogen","2016-03-10","2016-03-10","2","4.3","4.3"
"LAWA-100783","E44/0045","Nitrogen - Other","2016-03-10","2016-03-10","3","0.05","4.4"
"LAWA-100783","E44/0045","Water Level",NA,NA,"0","Inf","-Inf"
"LAWA-100819","E44/0087","Ammoniacal nitrogen","2015-03-20","2019-06-19","16","0.005","0.084"
"LAWA-100819","E44/0087","Chloride","2015-03-20","2019-06-19","16","2.8","191"
"LAWA-100819","E44/0087","Dissolved reactive phosphorus","2015-03-20","2019-06-19","16","0.004","0.02"
"LAWA-100819","E44/0087","E.coli","2015-03-20","2019-06-19","16","0.5","133"
"LAWA-100819","E44/0087","Electrical conductivity/salinity","2015-03-20","2019-06-19","16","82","755"
"LAWA-100819","E44/0087","Nitrate nitrogen","2015-03-20","2019-06-19","32","0.66","7.3"
"LAWA-100819","E44/0087","Nitrogen - Other","2015-03-20","2019-06-19","48","0.001","7.4"
"LAWA-100819","E44/0087","Water Level",NA,NA,"0","Inf","-Inf"
"LAWA-100769","E44/0173","Ammoniacal nitrogen","2015-03-20","2018-06-21","14","0.005","0.005"
"LAWA-100769","E44/0173","Chloride","2015-03-20","2018-06-21","14","6","13.5"
"LAWA-100769","E44/0173","Dissolved reactive phosphorus","2015-03-20","2018-06-21","14","0.002","0.005"
"LAWA-100769","E44/0173","E.coli","2015-03-20","2018-06-21","14","0.5","1"
"LAWA-100769","E44/0173","Electrical conductivity/salinity","2015-03-20","2018-06-21","14","128","185"
"LAWA-100769","E44/0173","Nitrate nitrogen","2015-03-20","2018-06-21","28","3.6","9.9"
"LAWA-100769","E44/0173","Nitrogen - Other","2015-03-20","2018-06-21","42","0.001","10.4"
"LAWA-100769","E44/0173","Water Level",NA,NA,"0","Inf","-Inf"
"LAWA-100979","E44/0377","Ammoniacal nitrogen","2016-04-04","2016-04-04","1","0.072","0.072"
"LAWA-100979","E44/0377","Chloride","2016-04-04","2016-04-04","1","39","39"
"LAWA-100979","E44/0377","Dissolved reactive phosphorus","2016-04-04","2016-04-04","1","0.002","0.002"
"LAWA-100979","E44/0377","E.coli",NA,NA,"0","Inf","-Inf"
"LAWA-100979","E44/0377","Electrical conductivity/salinity","2016-04-04","2016-04-04","1","252","252"
"LAWA-100979","E44/0377","Nitrate nitrogen","2016-04-04","2016-04-04","2","11.6","11.6"
"LAWA-100979","E44/0377","Nitrogen - Other","2016-04-04","2016-04-04","3","0.006","11.7"
"LAWA-100979","E44/0377","Water Level",NA,NA,"0","Inf","-Inf"
"LAWA-100779","E45/0010","Ammoniacal nitrogen","2016-03-09","2016-03-09","1","0.005","0.005"
