"Site","Bore","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"LAWA-102179","M35/7281","Nitrate nitrogen","2015-01-16","2019-10-30","19","1.27","3.7"
"LAWA-102179","M35/7281","Nitrogen - Other","2018-01-23","2019-01-25","2","0.001","0.05"
"LAWA-102563","M35/7878","Ammoniacal nitrogen","2015-09-23","2019-09-25","5","0.005","0.005"
"LAWA-102563","M35/7878","Chloride","2015-09-23","2019-09-25","5","2.8","3.3"
"LAWA-102563","M35/7878","Dissolved reactive phosphorus","2015-09-23","2019-09-25","5","0.0055","0.0079"
"LAWA-102563","M35/7878","E.coli","2015-09-23","2019-09-25","5","0.5","0.5"
"LAWA-102563","M35/7878","Electrical conductivity/salinity","2015-09-23","2019-09-25","5","87","94"
"LAWA-102563","M35/7878","Nitrate nitrogen","2015-09-23","2019-09-25","5","0.14","0.33"
"LAWA-102563","M35/7878","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102564","M35/8479","Ammoniacal nitrogen","2017-10-18","2019-10-22","3","0.005","0.053"
"LAWA-102564","M35/8479","Chloride","2017-10-18","2019-10-22","3","4.9","6"
"LAWA-102564","M35/8479","Dissolved reactive phosphorus","2017-10-18","2019-10-22","3","0.0034","0.0068"
"LAWA-102564","M35/8479","E.coli","2017-10-18","2019-10-22","3","0.5","5"
"LAWA-102564","M35/8479","Electrical conductivity/salinity","2017-10-18","2019-10-22","3","121","130"
"LAWA-102564","M35/8479","Nitrate nitrogen","2017-10-18","2019-10-22","3","2.1","2.2"
"LAWA-102564","M35/8479","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102180","M35/8567","Ammoniacal nitrogen","2015-10-07","2019-10-22","5","0.005","0.023"
"LAWA-102180","M35/8567","Chloride","2015-01-12","2019-10-22","19","8.1","17"
"LAWA-102180","M35/8567","Dissolved reactive phosphorus","2015-10-07","2019-10-22","5","0.0154","0.033"
"LAWA-102180","M35/8567","E.coli","2015-01-12","2019-10-22","19","0.5","61"
"LAWA-102180","M35/8567","Electrical conductivity/salinity","2015-01-12","2019-10-22","19","182","252"
"LAWA-102180","M35/8567","Nitrate nitrogen","2015-01-12","2019-10-22","19","5.9","10.4"
"LAWA-102180","M35/8567","Nitrogen - Other","2018-01-24","2019-01-24","2","0.008","0.12"
"LAWA-102565","M35/8744","Ammoniacal nitrogen","2015-10-14","2019-12-11","6","0.005","0.005"
"LAWA-102565","M35/8744","Chloride","2015-10-14","2019-12-11","6","6.6","7.4"
"LAWA-102565","M35/8744","Dissolved reactive phosphorus","2015-10-14","2019-12-11","6","0.002","0.0069"
"LAWA-102565","M35/8744","E.coli","2015-10-14","2019-12-11","6","0.5","1"
"LAWA-102565","M35/8744","Electrical conductivity/salinity","2015-10-14","2019-12-11","6","171","177"
"LAWA-102565","M35/8744","Nitrate nitrogen","2015-10-14","2019-12-11","6","4.5","5"
"LAWA-102565","M35/8744","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102181","M35/9064","Ammoniacal nitrogen","2015-10-06","2019-10-23","6","0.005","0.005"
"LAWA-102181","M35/9064","Chloride","2015-01-14","2019-10-23","20","4.1","9.8"
"LAWA-102181","M35/9064","Dissolved reactive phosphorus","2015-10-06","2019-10-23","6","0.002","0.0043"
"LAWA-102181","M35/9064","E.coli","2015-01-14","2019-10-23","19","0.5","0.5"
"LAWA-102181","M35/9064","Electrical conductivity/salinity","2015-01-14","2019-10-23","20","127","173"
"LAWA-102181","M35/9064","Nitrate nitrogen","2015-01-14","2019-10-23","20","1.43","3.2"
"LAWA-102181","M35/9064","Nitrogen - Other","2018-01-25","2019-01-22","2","0.001","0.05"
"LAWA-102566","M35/9594","Ammoniacal nitrogen","2015-03-27","2019-09-24","10","0.005","0.051"
"LAWA-102566","M35/9594","Chloride","2015-03-27","2019-09-24","10","3.2","4.2"
"LAWA-102566","M35/9594","Dissolved reactive phosphorus","2015-09-16","2019-09-24","5","0.0025","0.0035"
"LAWA-102566","M35/9594","E.coli","2015-09-16","2019-09-24","5","0.5","0.5"
"LAWA-102566","M35/9594","Electrical conductivity/salinity","2015-03-27","2019-09-24","10","112","121"
"LAWA-102566","M35/9594","Nitrate nitrogen","2015-03-27","2019-09-24","10","0.23","0.42"
"LAWA-102566","M35/9594","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102567","M36/0040","Ammoniacal nitrogen","2015-11-17","2019-11-28","3","0.005","0.005"
"LAWA-102567","M36/0040","Chloride","2015-11-17","2019-11-28","3","16.4","17.2"
"LAWA-102567","M36/0040","Dissolved reactive phosphorus","2015-11-17","2019-11-28","3","0.0022","0.0039"
"LAWA-102567","M36/0040","E.coli","2015-11-17","2019-11-28","3","0.5","0.5"
"LAWA-102567","M36/0040","Electrical conductivity/salinity","2015-11-17","2019-11-28","3","230","241"
"LAWA-102567","M36/0040","Nitrate nitrogen","2015-11-17","2019-11-28","3","9.9","11.8"
"LAWA-102567","M36/0040","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102568","M36/0153","Ammoniacal nitrogen","2015-11-24","2019-12-12","5","0.005","0.005"
"LAWA-102568","M36/0153","Chloride","2015-11-24","2019-12-12","5","21","27"
"LAWA-102568","M36/0153","Dissolved reactive phosphorus","2015-11-24","2019-12-12","5","0.0022","0.0035"
"LAWA-102568","M36/0153","E.coli","2015-11-24","2019-12-12","5","0.5","0.5"
"LAWA-102568","M36/0153","Electrical conductivity/salinity","2015-11-24","2019-12-12","5","277","309"
"LAWA-102568","M36/0153","Nitrate nitrogen","2015-11-24","2019-12-12","5","7.4","9.2"
"LAWA-102568","M36/0153","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102569","M36/0297","Ammoniacal nitrogen","2015-10-13","2019-11-21","5","0.028","0.092"
"LAWA-102569","M36/0297","Chloride","2015-10-13","2019-11-21","5","21","26"
"LAWA-102569","M36/0297","Dissolved reactive phosphorus","2015-10-13","2019-11-21","5","0.0014","0.0023"
"LAWA-102569","M36/0297","E.coli","2015-10-13","2019-11-21","5","0.5","0.5"
"LAWA-102569","M36/0297","Electrical conductivity/salinity","2015-10-13","2019-11-21","5","277","316"
"LAWA-102569","M36/0297","Nitrate nitrogen","2015-10-13","2019-11-21","5","7.9","10.8"
"LAWA-102569","M36/0297","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102570","M36/0473","Ammoniacal nitrogen","2015-10-15","2019-12-02","5","0.005","0.005"
"LAWA-102570","M36/0473","Chloride","2015-10-15","2019-12-02","5","5.4","6.5"
"LAWA-102570","M36/0473","Dissolved reactive phosphorus","2015-10-15","2019-12-02","5","0.0119","0.0146"
"LAWA-102570","M36/0473","E.coli","2015-10-15","2019-12-02","5","0.5","0.5"
"LAWA-102570","M36/0473","Electrical conductivity/salinity","2015-10-15","2019-12-02","5","128","132"
"LAWA-102570","M36/0473","Nitrate nitrogen","2015-10-15","2019-12-02","5","0.5","0.6"
"LAWA-102570","M36/0473","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
