"LawaSiteID","CouncilSiteID","Date","QC","Measurement","Value","Agency"
"LAWA-102728","Kaitoke Creek @ Hotsprings Tk","28-Feb-13","QC10","MCI",122.5,"ac"
"LAWA-102728","Kaitoke Creek @ Hotsprings Tk","15-Mar-16","QC10","MCI",102.5,"ac"
"LAWA-102728","Kaitoke Creek @ Hotsprings Tk","29-Mar-17","QC10","MCI",127.2,"ac"
"LAWA-102728","Kaitoke Creek @ Hotsprings Tk","08-Mar-19","QC10","MCI",116.8,"ac"
"LAWA-102729","Kaukapakapa Ref","07-Mar-07","QC22","MCI",138.8,"ac"
"LAWA-102729","Kaukapakapa Ref","06-Mar-08","QC10","MCI",124.1,"ac"
"LAWA-102729","Kaukapakapa Ref","23-Feb-09","QC10","MCI",122.1,"ac"
"LAWA-102729","Kaukapakapa Ref","03-Feb-10","QC10","MCI",125.7,"ac"
"LAWA-102729","Kaukapakapa Ref","28-Jan-11","QC10","MCI",121.9,"ac"
"LAWA-102729","Kaukapakapa Ref","20-Jan-12","QC10","MCI",123.4,"ac"
"LAWA-102729","Kaukapakapa Ref","18-Feb-13","QC10","MCI",119.6,"ac"
"LAWA-102729","Kaukapakapa Ref","23-Jan-15","QC10","MCI",119.5,"ac"
"LAWA-102729","Kaukapakapa Ref","15-Feb-17","QC10","MCI",124,"ac"
"LAWA-102729","Kaukapakapa Ref","05-Mar-18","QC10","MCI",128.8,"ac"
"LAWA-102729","Kaukapakapa Ref","18-Mar-19","QC10","MCI",120.6,"ac"
"ARC-00003","Kumeu @ Weza","17-Mar-04","QC10","MCI",93.3,"ac"
"ARC-00003","Kumeu @ Weza","14-Feb-05","QC10","MCI",85.1,"ac"
"ARC-00003","Kumeu @ Weza","15-Mar-06","QC22","MCI",70.8,"ac"
"ARC-00003","Kumeu @ Weza","22-Feb-07","QC22","MCI",68.2,"ac"
"ARC-00003","Kumeu @ Weza","06-Mar-08","QC10","MCI",62.4,"ac"
"ARC-00003","Kumeu @ Weza","02-Mar-09","QC10","MCI",68.4,"ac"
"ARC-00003","Kumeu @ Weza","27-Jan-10","QC10","MCI",64.6,"ac"
"ARC-00003","Kumeu @ Weza","28-Jan-11","QC10","MCI",63.4,"ac"
"ARC-00003","Kumeu @ Weza","15-Mar-12","QC10","MCI",52.7,"ac"
"ARC-00003","Kumeu @ Weza","20-Feb-13","QC10","MCI",55.9,"ac"
"ARC-00003","Kumeu @ Weza","21-Jan-14","QC10","MCI",71,"ac"
"ARC-00003","Kumeu @ Weza","21-Jan-15","QC10","MCI",55,"ac"
"ARC-00003","Kumeu @ Weza","09-Feb-16","QC10","MCI",59.6,"ac"
"ARC-00003","Kumeu @ Weza","26-Jan-17","QC10","MCI",60.8,"ac"
"ARC-00003","Kumeu @ Weza","04-Apr-18","QC10","MCI",49.9,"ac"
"ARC-00003","Kumeu @ Weza","30-Jan-19","QC10","MCI",62.9,"ac"
"LAWA-102730","La Rosa Reserve TL (North Stream)","31-Jan-14","QC10","MCI",69.5,"ac"
"LAWA-102730","La Rosa Reserve TL (North Stream)","08-Jan-15","QC10","MCI",67.8,"ac"
"LAWA-102730","La Rosa Reserve TL (North Stream)","03-Feb-16","QC10","MCI",97.5,"ac"
"LAWA-102730","La Rosa Reserve TL (North Stream)","10-Jan-17","QC10","MCI",76.9,"ac"
"LAWA-102730","La Rosa Reserve TL (North Stream)","20-Feb-18","QC10","MCI",65,"ac"
"LAWA-102730","La Rosa Reserve TL (North Stream)","25-Feb-19","QC10","MCI",63.3,"ac"
"LAWA-102731","La Rosa Reserve TR (South Stream)","31-Jan-14","QC10","MCI",71.3,"ac"
"LAWA-102731","La Rosa Reserve TR (South Stream)","08-Jan-15","QC10","MCI",75.4,"ac"
"LAWA-102731","La Rosa Reserve TR (South Stream)","15-Jan-16","QC10","MCI",72.5,"ac"
"LAWA-102731","La Rosa Reserve TR (South Stream)","10-Jan-17","QC10","MCI",80,"ac"
"LAWA-102731","La Rosa Reserve TR (South Stream)","20-Feb-18","QC10","MCI",74,"ac"
"LAWA-102731","La Rosa Reserve TR (South Stream)","25-Feb-19","QC10","MCI",80,"ac"
"ARC-00124","Lucas LTB @ Tennis","24-Feb-04","QC10","MCI",116.2,"ac"
"ARC-00124","Lucas LTB @ Tennis","22-Feb-05","QC10","MCI",84.2,"ac"
"ARC-00124","Lucas LTB @ Tennis","01-Mar-06","QC22","MCI",96.5,"ac"
"ARC-00124","Lucas LTB @ Tennis","07-Feb-07","QC22","MCI",75.6,"ac"
"ARC-00124","Lucas LTB @ Tennis","20-Feb-08","QC10","MCI",88,"ac"
"ARC-00124","Lucas LTB @ Tennis","29-Jan-09","QC10","MCI",72.8,"ac"
"ARC-00124","Lucas LTB @ Tennis","29-Jan-10","QC10","MCI",86.3,"ac"
"ARC-00124","Lucas LTB @ Tennis","10-Mar-11","QC10","MCI",67.4,"ac"
"ARC-00124","Lucas LTB @ Tennis","18-Jan-12","QC10","MCI",78.8,"ac"
"ARC-00124","Lucas LTB @ Tennis","21-Feb-13","QC10","MCI",68.7,"ac"
"ARC-00124","Lucas LTB @ Tennis","24-Jan-14","QC10","MCI",61.4,"ac"
"ARC-00124","Lucas LTB @ Tennis","22-Jan-15","QC10","MCI",73.2,"ac"
"ARC-00124","Lucas LTB @ Tennis","25-Jan-16","QC10","MCI",53.7,"ac"
"ARC-00124","Lucas LTB @ Tennis","25-Jan-17","QC10","MCI",78,"ac"
"ARC-00124","Lucas LTB @ Tennis","25-Jan-18","QC10","MCI",54.1,"ac"
"ARC-00124","Lucas LTB @ Tennis","19-Feb-19","QC10","MCI",50.9,"ac"
"ARC-00125","Mahu Reference @ Trappit","05-Mar-08","QC10","MCI",124,"ac"
"ARC-00125","Mahu Reference @ Trappit","19-Feb-09","QC10","MCI",119,"ac"
"ARC-00125","Mahu Reference @ Trappit","18-Feb-10","QC10","MCI",128.4,"ac"
"ARC-00125","Mahu Reference @ Trappit","02-Feb-11","QC10","MCI",128.6,"ac"
"ARC-00125","Mahu Reference @ Trappit","18-Jan-12","QC10","MCI",114.5,"ac"
"ARC-00125","Mahu Reference @ Trappit","14-Feb-13","QC10","MCI",133.6,"ac"
"ARC-00125","Mahu Reference @ Trappit","25-Feb-16","QC10","MCI",126.5,"ac"
"ARC-00125","Mahu Reference @ Trappit","07-Feb-18","QC10","MCI",112.5,"ac"
"ARC-00125","Mahu Reference @ Trappit","24-Jan-19","QC10","MCI",128,"ac"
"ARC-00126","Mahurangi LTB","10-Mar-04","QC10","MCI",112.8,"ac"
"ARC-00126","Mahurangi LTB","24-Feb-05","QC10","MCI",126.6,"ac"
"ARC-00126","Mahurangi LTB","06-Mar-06","QC22","MCI",117,"ac"
"ARC-00126","Mahurangi LTB","15-Feb-07","QC22","MCI",117.4,"ac"
"ARC-00126","Mahurangi LTB","21-Feb-08","QC10","MCI",105.5,"ac"
"ARC-00126","Mahurangi LTB","26-Feb-09","QC10","MCI",98.3,"ac"
"ARC-00126","Mahurangi LTB","04-Feb-10","QC10","MCI",99.3,"ac"
"ARC-00126","Mahurangi LTB","26-Jan-11","QC10","MCI",89.4,"ac"
"ARC-00126","Mahurangi LTB","08-Feb-12","QC10","MCI",118.6,"ac"
"ARC-00126","Mahurangi LTB","14-Feb-13","QC10","MCI",106.3,"ac"
"ARC-00126","Mahurangi LTB","29-Jan-14","QC10","MCI",111,"ac"
"ARC-00126","Mahurangi LTB","20-Jan-15","QC10","MCI",111,"ac"
"ARC-00126","Mahurangi LTB","23-Jan-17","QC10","MCI",110.5,"ac"
"ARC-00126","Mahurangi LTB","07-Feb-18","QC10","MCI",114.4,"ac"
"ARC-00126","Mahurangi LTB","24-Jan-19","QC10","MCI",105.4,"ac"
"ARC-00033","Makarau @ Rail Bridge","18-Feb-09","QC10","MCI",83.6,"ac"
"ARC-00033","Makarau @ Rail Bridge","08-Feb-10","QC10","MCI",77.3,"ac"
"ARC-00033","Makarau @ Rail Bridge","09-Feb-11","QC10","MCI",86.2,"ac"
"ARC-00033","Makarau @ Rail Bridge","19-Jan-12","QC10","MCI",78.2,"ac"
"ARC-00033","Makarau @ Rail Bridge","18-Feb-13","QC10","MCI",84.8,"ac"
"ARC-00033","Makarau @ Rail Bridge","03-Feb-16","QC10","MCI",78.2,"ac"
"ARC-00033","Makarau @ Rail Bridge","23-Jan-17","QC10","MCI",84.4,"ac"
"ARC-00033","Makarau @ Rail Bridge","18-Mar-19","QC10","MCI",102.1,"ac"
"ARC-00128","Marawhara","03-Feb-04","QC10","MCI",143.3,"ac"
"ARC-00128","Marawhara","15-Feb-05","QC10","MCI",130.8,"ac"
"ARC-00128","Marawhara","15-Mar-06","QC22","MCI",127.3,"ac"
"ARC-00128","Marawhara","05-Feb-07","QC22","MCI",136.8,"ac"
"ARC-00128","Marawhara","04-Feb-08","QC10","MCI",121,"ac"
"ARC-00128","Marawhara","25-Feb-09","QC10","MCI",118.5,"ac"
"ARC-00128","Marawhara","29-Jan-10","QC10","MCI",136.4,"ac"
"ARC-00128","Marawhara","28-Jan-11","QC10","MCI",124.4,"ac"
"ARC-00128","Marawhara","20-Jan-12","QC10","MCI",125.6,"ac"
"ARC-00128","Marawhara","01-Feb-13","QC10","MCI",129.2,"ac"
"ARC-00128","Marawhara","20-Jan-14","QC10","MCI",126.3,"ac"
"ARC-00128","Marawhara","22-Jan-15","QC10","MCI",132.4,"ac"
"ARC-00128","Marawhara","02-Feb-16","QC10","MCI",133,"ac"
"ARC-00128","Marawhara","01-Feb-17","QC10","MCI",120,"ac"
"ARC-00128","Marawhara","08-Mar-18","QC10","MCI",128.2,"ac"
"ARC-00128","Marawhara","30-Jan-19","QC10","MCI",122.4,"ac"
"ARC-00008","Matakana LTB","10-Mar-04","QC10","MCI",100.7,"ac"
"ARC-00008","Matakana LTB","24-Feb-05","QC10","MCI",114.4,"ac"
"ARC-00008","Matakana LTB","28-Apr-06","QC22","MCI",103.2,"ac"
"ARC-00008","Matakana LTB","15-Feb-07","QC22","MCI",94.3,"ac"
"ARC-00008","Matakana LTB","21-Feb-08","QC10","MCI",92.6,"ac"
"ARC-00008","Matakana LTB","26-Feb-09","QC10","MCI",91.9,"ac"
"ARC-00008","Matakana LTB","12-Feb-10","QC10","MCI",93,"ac"
"ARC-00008","Matakana LTB","27-Jan-11","QC10","MCI",94.2,"ac"
"ARC-00008","Matakana LTB","08-Feb-12","QC10","MCI",93.6,"ac"
"ARC-00008","Matakana LTB","07-Feb-13","QC10","MCI",86.9,"ac"
"ARC-00008","Matakana LTB","22-Jan-14","QC10","MCI",90.8,"ac"
"ARC-00008","Matakana LTB","15-Jan-15","QC10","MCI",96.8,"ac"
"ARC-00008","Matakana LTB","17-Feb-16","QC10","MCI",81.8,"ac"
"ARC-00008","Matakana LTB","31-Jan-17","QC10","MCI",92.1,"ac"
"ARC-00008","Matakana LTB","15-Mar-18","QC10","MCI",86.7,"ac"
"ARC-00008","Matakana LTB","12-Feb-19","QC10","MCI",88.6,"ac"
"LAWA-102732","Meola Creek @ Motions Road","31-Jan-13","QC10","MCI",53.4,"ac"
"LAWA-102732","Meola Creek @ Motions Road","11-Feb-16","QC10","MCI",52.7,"ac"
"LAWA-102732","Meola Creek @ Motions Road","13-Jan-17","QC10","MCI",56.9,"ac"
"LAWA-102732","Meola Creek @ Motions Road","13-Feb-19","QC10","MCI",51.7,"ac"
"ARC-00131","Motutapu","02-Mar-07","QC22","MCI",85.9,"ac"
"ARC-00131","Motutapu","26-Feb-08","QC10","MCI",81.2,"ac"
"ARC-00131","Motutapu","19-Feb-09","QC10","MCI",83.1,"ac"
"ARC-00131","Motutapu","25-Jan-10","QC10","MCI",85.3,"ac"
"ARC-00131","Motutapu","22-Feb-11","QC10","MCI",76.4,"ac"
"ARC-00131","Motutapu","13-Feb-12","QC10","MCI",81.2,"ac"
"ARC-00131","Motutapu","12-Feb-13","QC10","MCI",79.2,"ac"
"ARC-00131","Motutapu","24-Feb-16","QC10","MCI",81.9,"ac"
"ARC-00131","Motutapu","21-Feb-18","QC10","MCI",74.7,"ac"
"ARC-00131","Motutapu","05-Feb-19","QC10","MCI",80.7,"ac"
"ARC-00132","Mt Auckland","29-Mar-05","QC10","MCI",131.3,"ac"
"ARC-00132","Mt Auckland","28-Feb-07","QC22","MCI",136.1,"ac"
"ARC-00132","Mt Auckland","13-Feb-08","QC10","MCI",130.7,"ac"
"ARC-00132","Mt Auckland","18-Feb-09","QC10","MCI",131.8,"ac"
"ARC-00132","Mt Auckland","08-Feb-10","QC10","MCI",130.1,"ac"
"ARC-00132","Mt Auckland","09-Feb-11","QC10","MCI",137.2,"ac"
"ARC-00132","Mt Auckland","19-Jan-12","QC10","MCI",129.4,"ac"
"ARC-00132","Mt Auckland","11-Mar-13","QC10","MCI",130,"ac"
"ARC-00132","Mt Auckland","30-Jan-14","QC10","MCI",122.6,"ac"
"ARC-00132","Mt Auckland","15-Jan-15","QC10","MCI",121.3,"ac"
"ARC-00132","Mt Auckland","04-Feb-16","QC10","MCI",115.3,"ac"
"ARC-00132","Mt Auckland","03-Feb-17","QC10","MCI",118.6,"ac"
"ARC-00132","Mt Auckland","19-Feb-18","QC10","MCI",119.7,"ac"
"ARC-00132","Mt Auckland","04-Feb-19","QC10","MCI",135.2,"ac"
"LAWA-102733","Newmarket Stream @ Ayr Street","19-Feb-13","QC10","MCI",56.7,"ac"
"LAWA-102733","Newmarket Stream @ Ayr Street","18-Jan-16","QC10","MCI",55.6,"ac"
"LAWA-102733","Newmarket Stream @ Ayr Street","12-Jan-17","QC10","MCI",65.7,"ac"
"LAWA-102733","Newmarket Stream @ Ayr Street","20-Feb-19","QC10","MCI",63.1,"ac"
"ARC-00009","Ngakaroa LTB","26-Mar-04","QC10","MCI",52.8,"ac"
"ARC-00009","Ngakaroa LTB","23-Feb-05","QC10","MCI",75.6,"ac"
"ARC-00009","Ngakaroa LTB","16-Mar-06","QC22","MCI",83.8,"ac"
"ARC-00009","Ngakaroa LTB","09-Feb-07","QC22","MCI",57.4,"ac"
"ARC-00009","Ngakaroa LTB","04-Mar-08","QC10","MCI",68.2,"ac"
"ARC-00009","Ngakaroa LTB","12-Feb-09","QC10","MCI",67,"ac"
"ARC-00009","Ngakaroa LTB","15-Feb-10","QC10","MCI",82.4,"ac"
"ARC-00009","Ngakaroa LTB","20-Jan-11","QC10","MCI",61.9,"ac"
"ARC-00009","Ngakaroa LTB","24-Jan-12","QC10","MCI",76.5,"ac"
"ARC-00009","Ngakaroa LTB","14-Feb-13","QC10","MCI",71,"ac"
"ARC-00009","Ngakaroa LTB","07-Feb-14","QC10","MCI",72.1,"ac"
"ARC-00009","Ngakaroa LTB","28-Jan-15","QC10","MCI",83.2,"ac"
"ARC-00009","Ngakaroa LTB","19-Jan-16","QC10","MCI",81.8,"ac"
"ARC-00009","Ngakaroa LTB","24-Jan-17","QC10","MCI",75.5,"ac"
"ARC-00009","Ngakaroa LTB","05-Feb-18","QC10","MCI",76.8,"ac"
"ARC-00009","Ngakaroa LTB","04-Mar-19","QC10","MCI",72.6,"ac"
"ARC-00038","Nukumea Upper","15-Mar-04","QC10","MCI",124.9,"ac"
"ARC-00038","Nukumea Upper","22-Mar-05","QC10","MCI",129.3,"ac"
"ARC-00038","Nukumea Upper","17-Mar-06","QC22","MCI",94.3,"ac"
"ARC-00038","Nukumea Upper","27-Feb-07","QC22","MCI",95.1,"ac"
"ARC-00038","Nukumea Upper","07-Mar-08","QC10","MCI",118.1,"ac"
"ARC-00038","Nukumea Upper","05-Mar-09","QC10","MCI",112.6,"ac"
"ARC-00038","Nukumea Upper","05-Feb-10","QC10","MCI",117.2,"ac"
"ARC-00038","Nukumea Upper","17-Feb-11","QC10","MCI",120.3,"ac"
"ARC-00038","Nukumea Upper","20-Jan-12","QC10","MCI",116.5,"ac"
"ARC-00038","Nukumea Upper","09-Feb-13","QC10","MCI",113.2,"ac"
"ARC-00038","Nukumea Upper","17-Jan-14","QC10","MCI",93.6,"ac"
"ARC-00038","Nukumea Upper","20-Jan-15","QC10","MCI",109.2,"ac"
"ARC-00038","Nukumea Upper","02-Feb-17","QC10","MCI",118.5,"ac"
"ARC-00038","Nukumea Upper","29-Jan-19","QC10","MCI",112.7,"ac"
"LAWA-102734","Oakley @ Beagle Road","12-Jan-17","QC10","MCI",67.1,"ac"
"LAWA-102734","Oakley @ Beagle Road","24-Jan-18","QC10","MCI",65,"ac"
"LAWA-102734","Oakley @ Beagle Road","08-Feb-19","QC10","MCI",65,"ac"
"LAWA-102735","Oakley @ Richardson Road","04-Feb-14","QC10","MCI",67.1,"ac"
"LAWA-102735","Oakley @ Richardson Road","09-Jan-15","QC10","MCI",69.3,"ac"
"LAWA-102735","Oakley @ Richardson Road","24-Jan-18","QC10","MCI",60,"ac"
"LAWA-102735","Oakley @ Richardson Road","08-Feb-19","QC10","MCI",61.1,"ac"
"LAWA-102736","Oakley @ Walmsley Park","04-Feb-14","QC10","MCI",70.6,"ac"
"LAWA-102736","Oakley @ Walmsley Park","09-Jan-15","QC10","MCI",70,"ac"
"LAWA-102736","Oakley @ Walmsley Park","12-Jan-17","QC10","MCI",65.9,"ac"
"LAWA-102736","Oakley @ Walmsley Park","24-Jan-18","QC10","MCI",63.3,"ac"
