"LawaSiteID","CouncilSiteID","Date","Measurement","Value","Agency"
"NRWQN-00048","NAT-WN04","05-Mar-1991","MCI",106.315789473684,"niwa"
"NRWQN-00049","NAT-WN05","05-Mar-1991","MCI",131.666666666667,"niwa"
"EBOP-00053","NAT-RO04","07-Mar-1991","MCI",118.8,"niwa"
"NRWQN-00053","NAT-GY01","12-Mar-1991","MCI",112.857142857143,"niwa"
"NRWQN-00037","NAT-NN05","12-Mar-1991","MCI",122,"niwa"
"NRWQN-00058","NAT-NN03","13-Mar-1991","MCI",120.454545454545,"niwa"
"MDC-00025","NAT-NN04","13-Mar-1991","MCI",114.545454545455,"niwa"
"NRC-10008","NAT-WH01","13-Mar-1991","MCI",115.172413793103,"niwa"
"NRWQN-00023","NAT-WH02","13-Mar-1991","MCI",77.1428571428571,"niwa"
"TRC-00010","NAT-WA03","18-Mar-1991","MCI",85.3846153846154,"niwa"
"NRWQN-00019","NAT-WA04","18-Mar-1991","MCI",78.1818181818182,"niwa"
"NRWQN-00032","NAT-AX01","19-Mar-1991","MCI",85.8333333333333,"niwa"
"NRWQN-00030","NAT-AX02","19-Mar-1991","MCI",116,"niwa"
"NRWQN-00031","NAT-AX03","19-Mar-1991","MCI",115,"niwa"
"NRWQN-00055","NAT-CH03","19-Mar-1991","MCI",103.333333333333,"niwa"
"ECAN-10028","NAT-CH04","19-Mar-1991","MCI",89.0909090909091,"niwa"
"NRWQN-00036","NAT-WA01","19-Mar-1991","MCI",75.4545454545455,"niwa"
"NRWQN-00035","NAT-WA02","19-Mar-1991","MCI",129.047619047619,"niwa"
"NRWQN-00027","NAT-AX04","20-Mar-1991","MCI",79.1666666666667,"niwa"
"NRWQN-00009","NAT-CH01","20-Mar-1991","MCI",100,"niwa"
"NRWQN-00059","NAT-CH02","20-Mar-1991","MCI",106,"niwa"
"NRWQN-00050","NAT-GY04","20-Mar-1991","MCI",122,"niwa"
"HRC-00062","NAT-TU01","20-Mar-1991","MCI",90.8333333333333,"niwa"
"NRWQN-00038","NAT-TU02","20-Mar-1991","MCI",114.375,"niwa"
"HRC-00045","NAT-WA05","20-Mar-1991","MCI",116.666666666667,"niwa"
"NRWQN-00018","NAT-WA06","20-Mar-1991","MCI",81.3333333333333,"niwa"
"HRC-00015","NAT-WA08","20-Mar-1991","MCI",88.5714285714286,"niwa"
"GW-00022","NAT-WN01","20-Mar-1991","MCI",82.5,"niwa"
"NRWQN-00047","NAT-WN02","20-Mar-1991","MCI",128.888888888889,"niwa"
"HRC-00018","NAT-WA07","21-Mar-1991","MCI",105.263157894737,"niwa"
"HRC-00013","NAT-WA09","21-Mar-1991","MCI",93.3333333333333,"niwa"
"ES-00010","NAT-DN08","02-Apr-1991","MCI",102.666666666667,"niwa"
"ES-00001","NAT-DN09","02-Apr-1991","MCI",112.352941176471,"niwa"
"NRWQN-00034","NAT-DN10","02-Apr-1991","MCI",110,"niwa"
"NRWQN-00057","NAT-NN01","02-Apr-1991","MCI",130.909090909091,"niwa"
"NRWQN-00056","NAT-NN02","02-Apr-1991","MCI",129.259259259259,"niwa"
"ES-00021","NAT-DN05","03-Apr-1991","MCI",93.8461538461539,"niwa"
"ES-00024","NAT-DN06","03-Apr-1991","MCI",112.272727272727,"niwa"
"ES-00011","NAT-DN07","03-Apr-1991","MCI",111.764705882353,"niwa"
"NRWQN-00029","NAT-DN01","04-Apr-1991","MCI",116,"niwa"
"NRWQN-00028","NAT-DN02","04-Apr-1991","MCI",101.666666666667,"niwa"
"NRWQN-00026","NAT-DN03","04-Apr-1991","MCI",106,"niwa"
