Site code,Date,Alkalinity Total,Ammoniacal nitrogen,Biochemical oxygen demand 5day,Black disc transparency,Conductivity @ 20'C,Dissolved Oxygen,Dissolved Oxygen Saturation %,Dissolved reactive phosphorus,E.coli bacteria,Enterococci bacteria,Faecal Coliforms,Flow,Nitrate nitrogen,pH,Suspended solids,Temperature,Total nitrogen,Total phosphorus,Turbidity,Adj Absorbance 340,Adj Absorbance 440,,Absorbance @ 340nm Filtered,Absorbance @ 440nm Filtered,Absorbance @ 770nm Filtered
PAT000360,11-Oct-95,25,0.069,0.7,2.63,9.9,10.7,102,0.02,,10,160,4.33,0.99,7.6,1,12.1,1.463,0.044,1.3,0.015,0.003,,0.057,0.011,0
PNH000200,11-Oct-95,20,0.02,0.25,1.68,8.2,10.6,98,0.014,,2,70,0.662,0.08,7.5,1,10.4,0.471,0.026,1.8,0.054,0.011,,0.07,0.015,0.002
PNH000900,11-Oct-95,33,0.29,1,1.1,18.6,10.6,98,0.04,,90,620,1.99,1.5,7.6,4,11.7,2.229,0.084,2.4,0.044,0.009,,0.069,0.016,0.001
STY000300,11-Oct-95,30,0.004,0.25,7,8.4,11.1,99,0.011,,1,7,4.7,0.04,7.7,1,9.4,0.671,0.013,0.4,0.01,0.002,,0.051,0.011,0
WGG000500,11-Oct-95,27,0.127,0.5,1.85,11.8,10.6,100,0.011,,40,200,3.53,1.51,7.6,3,11.8,1.982,0.033,1.5,0.013,0.002,,0.049,0.009,0
WKH000500,11-Oct-95,39,0.03,0.25,4.65,11,11.4,101,0.014,,10,91,5.34,0.17,7.8,1,9.3,0.282,0.02,0.5,0.015,0.003,,0.064,0.015,0.005
MGH000950,08-Nov-95,40,0.018,0.6,1.65,9.8,10.2,104,0.0015,,11,290,6.7,0.08,7.8,2,15.7,0.371,0.015,2.4,0.053,0.01,,0.035,0.007,0
MRK000420,08-Nov-95,39,0.015,0.25,3.58,14.2,10.6,101,0.005,,100,700,1.04,0.88,7.7,1,12.8,1.124,0.016,1,0.022,0.004,,0.082,0.018,0
PAT000200,08-Nov-95,20,0.021,0.25,6.85,5.7,11,100,0.012,,1,9,0.276,0.02,7.5,1,8.7,0.131,0.018,0.3,0.01,0.002,,0.048,0.011,0.002
PAT000360,08-Nov-95,28,0.044,0.9,2.75,9.4,10.8,106,0.035,,20,100,2.57,0.72,8,1,13.2,0.965,0.055,1,0.015,0.003,,0.047,0.01,0
