Site code,Date,Alkalinity Total,Ammoniacal nitrogen,Biochemical oxygen demand 5day,Black disc transparency,Conductivity @ 20'C,Dissolved Oxygen,Dissolved Oxygen Saturation %,Dissolved reactive phosphorus,E.coli bacteria,Enterococci bacteria,Faecal Coliforms,Flow,Nitrate nitrogen,pH,Suspended solids,Temperature,Total nitrogen,Total phosphorus,Turbidity,Adj Absorbance 340,Adj Absorbance 440,,Absorbance @ 340nm Filtered,Absorbance @ 440nm Filtered,Absorbance @ 770nm Filtered
PNH000900,09-Apr-03,26,0.119,2,0.92,17.5,9.7,96,0.094,4200,1400,5600,0.74,0.786,7.6,2,14.9,1.57,0.137,2.9,0.052,0.01,,0.038,0.008,0
STY000300,09-Apr-03,43,0.004,0.25,7.38,9.9,10.1,97,0.021,1,11,1,3.156,0.039,7.8,1,12.5,0.08,0.021,0.35,0.007,0,,0.02,0.004,0
WGG000500,09-Apr-03,28,0.036,0.8,2.62,9.4,9.9,97,0.043,200,200,200,0.991,0.807,7.8,1,13.5,1,0.053,1.2,0.034,0.006,,0.026,0.006,0
WGG000900,09-Apr-03,33,0.053,0.25,1.06,16.5,9.8,98,0.097,800,580,850,2.98,1.327,7.7,3,15.2,1.93,0.153,2.8,0.053,0.01,,0.038,0.008,0
WKH000500,09-Apr-03,49,0.007,0.25,3.71,13.3,10.7,102,0.027,130,260,130,2.98,0.168,7.8,1,12.2,0.25,0.032,0.7,0.02,0.004,,0.037,0.008,0
MGH000950,14-May-03,51,0.0015,0.6,2.36,12.3,11,101,0.004,130,34,130,3.03,0.068,8.1,2,10.9,0.15,0.016,3.1,0.048,0.008,,0.115,0.024,0.001
MRK000420,14-May-03,59,0.005,0.5,3.01,18.8,10.7,93,0.004,310,350,310,0.4,0.498,7.9,1,8.8,0.58,0.017,1.3,0.025,0.005,,0.038,0.008,0
PAT000200,14-May-03,26,0.0015,0.25,5.07,6.4,11.1,96,0.022,2,3,2,0.137,0.039,7.7,1,6.7,0.025,0.032,0.5,0.01,0,,0.03,0.006,0
PAT000360,14-May-03,31,0.043,0.7,2.63,10.3,11.2,100,0.067,120,83,120,1.834,0.842,8.2,1,9.3,0.95,0.082,1.3,0.021,0.003,,0.036,0.008,0.0005
PNH000200,14-May-03,21,0.005,0.25,1.92,10.3,11,99,0.019,40,43,40,0.448,0.059,7.8,1,9.4,0.17,0.029,1.9,0.03,0.005,,0.022,0.006,0
PNH000900,14-May-03,28,0.021,0.25,2.18,16.2,10.8,97,0.043,250,400,290,0.7,0.653,7.7,1,10.3,0.81,0.069,1.6,0.036,0.005,,0.025,0.005,0
STY000300,14-May-03,46,0.0015,0.25,8.55,11.4,10.8,96,0.022,4,5,5,2.689,0.029,8,1,9.3,0.025,0.024,0.35,0.012,0.002,,0.03,0.006,0
WGG000500,14-May-03,35,0.0015,0.25,2.39,11.8,11.8,104,0.009,90,130,90,0.618,0.668,8.1,1,8.7,0.71,0.019,0.8,0.017,0.003,,0.031,0.006,0
WGG000900,14-May-03,41,0.007,0.6,2.33,16,11.4,103,0.066,350,240,350,2,1.364,8.1,1,10.7,1.54,0.09,1.7,0.03,0.009,,0.02,0.004,0
WKH000500,14-May-03,65,0.004,0.25,4.26,15.3,11.3,99,0.031,84,86,84,2.39,0.059,8.2,1,8.5,0.08,0.035,0.6,0.011,0.001,,0.076,0.018,0
MGH000950,11-Jun-03,21,0.016,0.25,0.29,6.6,10.3,93,0.008,180,160,190,21.89,0.279,7.4,27,10.4,0.43,0.05,12,0.054,0.01,,0.024,0.006,0
MRK000420,11-Jun-03,25,0.025,0.25,1.31,11.6,10.3,93,0.007,310,270,320,4.07,1.445,7.5,5,10.6,1.64,0.016,1.7,0.017,0.003,,0.086,0.017,0
PAT000200,11-Jun-03,14,0.0015,0.25,4.56,3.8,10.7,95,0.017,4,24,4,0.345,0.049,7.4,1,7.5,0.07,0.018,0.35,0.023,0.004,,0.078,0.018,0
PAT000360,11-Jun-03,22,0.119,0.6,2.04,8.3,10.5,96,0.026,460,420,500,9.33,1.285,7.5,3,10.1,1.57,0.055,1.3,0.015,0.002,,0.088,0.022,0
PNH000200,11-Jun-03,12,0.022,0.25,1.24,8.2,10.9,96,0.015,40,88,40,1.165,0.179,7.4,3,8.5,0.28,0.025,2.2,0.046,0.008,,0.037,0.005,0
PNH000900,11-Jun-03,18,0.064,0.5,1.27,17.8,11,96,0.022,480,200,480,2.17,2.284,7.4,4,9.3,3.44,0.044,2.2,0.039,0.007,,0.114,0.024,0.002
STY000300,11-Jun-03,31,0.0015,0.25,3.65,6.8,11.2,96,0.012,7,1,7,4.544,0.049,7.7,1,7.7,0.08,0.017,0.6,0.01,0.002,,0.027,0.005,0
WGG000500,11-Jun-03,25,0.044,0.25,0.7,9.1,10.6,95,0.016,140,80,140,4.616,1.404,7.6,6,9.5,1.88,0.037,2,0.016,0.003,,0.033,0.009,0
WGG000900,11-Jun-03,25,0.092,1,0.51,15.4,10.8,95,0.054,470,320,470,11.41,1.945,7.6,11,9.6,2.8,0.104,4,0.033,0.007,,0.035,0.008,0
WKH000500,11-Jun-03,34,0.014,0.25,3.4,8.9,10.8,94,0.016,100,57,100,5.52,0.468,7.7,1,8.4,0.48,0.018,0.7,0.018,0.004,,0.042,0.009,0
MGH000950,09-Jul-03,23,0.022,0.7,0.38,7.5,11.1,96,0.006,220,37,230,15.359,0.289,7.3,12,8.4,0.48,0.018,5.8,0.039,0.007,,0.053,0.013,0.002
MKW000300,09-Jul-03,24,0.008,0.25,2.96,8.5,11,96,0.013,180,26,200,3.099,0.737,7.5,2,8.5,0.76,0.018,1.3,0.015,0.003,,0.089,0.019,0.001
MRK000420,09-Jul-03,28,0.018,0.25,1.73,12.3,10.6,96,0.0015,260,62,310,3.182,1.377,7.6,4,10.7,1.43,0.009,2,0.016,0.003,,0.039,0.004,0
PAT000200,09-Jul-03,12,0.004,0.25,5.66,5.4,11.4,96,0.006,1,4,1,0.376,0.019,7.7,1,5.5,0.025,0.012,0.7,0.013,0.003,,0.027,0.006,0
PAT000360,09-Jul-03,22,0.048,0.25,2,9.6,10.7,97,0.012,190,240,270,7.292,1.211,7.3,2,9.8,1.3,0.022,1.5,0.011,0.002,,0.046,0.008,0.001
PNH000200,09-Jul-03,13,0.017,0.25,1.27,9.3,11.4,98,0.009,84,8,88,0.809,0.099,7.7,4,7.5,0.18,0.021,2.6,0.031,0.006,,0.071,0.016,0
PNH000900,09-Jul-03,23,0.058,0.25,1.36,17.8,11.2,98,0.02,270,320,280,2.21,2.403,7.5,3,9.2,2.74,0.031,2.3,0.027,0.005,,0.027,0.005,0
STY000300,09-Jul-03,30,0.0015,0.25,3.62,8.6,11.6,98,0.009,9,1,9,4.922,0.049,7.7,1,7.2,0.07,0.018,0.9,0.007,0.001,,0.022,0.001,0
WGG000500,09-Jul-03,25,0.017,0.25,1.46,11.2,10.8,98,0.01,80,150,80,5.304,2.056,7.6,5,9.9,2.28,0.028,2.1,0.01,0.003,,0.023,0.007,0
WGG000900,09-Jul-03,29,0.053,0.6,0.91,15.1,10.9,97,0.039,430,750,530,13.895,2.729,7.6,8,10.1,2.99,0.068,3.1,0.017,0.002,,0.038,0.007,0.001
WKH000500,09-Jul-03,35,0.007,0.25,3.64,10.3,11.4,99,0.01,54,46,54,5.35,0.368,7.6,1,8.2,0.38,0.016,0.75,0.012,0.003,,0.03,0.005,0
MGH000950,13-Aug-03,49,0.006,0.25,2.49,12.1,10.6,95,0.008,28,17,31,3.604,0.137,8,1,9.8,0.28,0.008,2.4,0.042,0.007,,0.046,0.008,0
MKW000300,13-Aug-03,31,0.0015,0.25,3.07,8.8,10.8,94,0.019,120,110,120,1.312,0.069,7.6,1,8.6,0.11,0.026,0.7,0.014,0.002,,0.031,0.006,0
MRK000420,13-Aug-03,56,0.011,0.25,2.34,17.7,10.5,93,0.006,290,200,290,0.472,0.888,7.7,1,9.6,0.99,0.013,1.3,0.02,0.003,,0.042,0.008,0
PAT000200,13-Aug-03,26,0.0015,0.25,4.8,7.2,10.5,91,0.027,1,11,1,0.133,0.029,7.7,1,6.8,0.025,0.033,0.7,0.014,0.001,,0.033,0.006,0
PAT000360,13-Aug-03,57,0.014,0.8,1.69,11.2,11.4,102,0.043,40,540,40,1.562,0.909,8.3,1,9.4,1.14,0.056,1.4,0.019,0.003,,0.022,0.006,0
PNH000200,13-Aug-03,20,0.0015,0.25,1.39,8.2,10,87,0.026,100,71,100,0.416,0.019,7.8,1,8,0.09,0.036,1.7,0.042,0.008,,0.026,0.007,0.001
PNH000900,13-Aug-03,30,0.01,0.6,1.19,15.8,11.2,98,0.024,260,750,260,0.744,1.059,7.8,2,9.3,1.39,0.038,2,0.06,0.012,,0.08,0.016,0
STY000300,13-Aug-03,50,0.0015,0.25,4.13,12,10.7,92,0.02,4,1,4,2.68,0.009,8.1,1,7.9,0.025,0.028,0.55,0.006,0,,0.034,0.006,0
WGG000500,13-Aug-03,34,0.0015,0.25,1.79,12.1,11.2,100,0.011,34,560,40,0.965,1.546,8,1,9.3,1.69,0.016,1,0.016,0.002,,0.034,0.007,0
WGG000900,13-Aug-03,40,0.014,0.6,1.51,17.6,11,100,0.058,92,800,92,3.716,2.981,7.9,3,10.8,3.2,0.097,2,0.024,0.004,,0.032,0.008,0
WKH000500,13-Aug-03,67,0.0015,0.25,3.7,15.6,11.4,99,0.037,54,800,54,2.273,0.019,8.2,1,8.1,0.09,0.039,0.8,0.01,0.002,,0.032,0.007,0
MGH000950,10-Sep-03,33,0.01,0.25,1.23,8.8,10.4,86,0.003,88,28,88,7.155,0.178,7.6,3,6.7,0.23,0.017,3.4,0.036,0.006,,0.029,0.006,0
MKW000300,10-Sep-03,27,0.012,0.25,3.05,8.8,10.8,95,0.015,140,29,140,2.429,0.597,7.6,1,9,0.66,0.028,1.5,0.014,0.002,,0.032,0.006,0
MRK000420,10-Sep-03,32,0.017,0.25,2.68,12.5,10.3,92,0.006,570,80,570,1.714,1.148,7.6,2,10.2,1.4,0.014,2.1,0.016,0.001,,0.024,0.005,0
PAT000200,10-Sep-03,13,0.007,0.25,5.2,5.5,10.5,93,0.009,4,1,4,0.372,0.019,7.6,1,7.4,0.025,0.018,1.3,0.017,0.002,,0.039,0.008,0
PAT000360,10-Sep-03,24,0.051,0.25,2.88,9.1,10.4,87,0.022,20,60,20,5.286,1.129,7.7,1,6.7,1.18,0.04,2,0.013,0.002,,0.023,0.005,0
PNH000200,10-Sep-03,13,0.01,0.25,1.81,7.6,10.5,93,0.016,16,5,16,0.892,0.026,7.6,1,8.7,0.09,0.027,2.5,0.033,0.006,,0.034,0.007,0
PNH000900,10-Sep-03,28,0.038,0.25,2.17,16.4,10.4,94,0.024,80,86,80,1.396,1.668,7.6,1,10.6,1.95,0.049,2.7,0.028,0.004,,0.023,0.004,0
STY000300,10-Sep-03,43,0.0015,0.25,3.1,10.4,10.6,93,0.016,1,1,1,2.995,0.039,7.8,1,8.8,0.025,0.021,1.9,0.007,0.002,,0.03,0.006,0
WGG000500,10-Sep-03,26,0.01,0.25,1.65,10.8,10.7,99,0.008,23,54,26,3.28,1.724,7.8,3,10.8,1.88,0.021,2.2,0.012,0.002,,0.039,0.007,0
WGG000900,10-Sep-03,32,0.024,0.5,1.02,14,10.6,96,0.032,63,46,63,8.436,2.454,7.6,5,10.8,2.55,0.063,2.2,0.017,0.002,,0.026,0.005,0
WKH000500,10-Sep-03,49,0.008,0.25,4.35,12.2,11.2,97,0.02,140,41,150,3.39,0.279,7.9,1,8.4,0.24,0.031,2,0.012,0.002,,0.024,0.003,0
MGH000950,08-Oct-03,27,0.035,0.25,0.27,8.5,10.3,97,0.007,200,25,200,19.163,0.329,7.4,29,11.9,0.49,0.042,16,0.028,0.006,,0.032,0.006,0
MKW000300,08-Oct-03,24,0.012,0.25,4.1,9.2,10.6,96,0.012,300,24,300,2.745,0.918,7.6,1,10,0.96,0.026,1.5,0.011,0.003,,0.034,0.008,0
MRK000420,08-Oct-03,27,0.028,0.25,1.9,12.2,11,103,0.007,350,88,350,3.473,1.416,7.4,4,12,1.58,0.019,1.8,0.019,0.005,,0.03,0.006,0
PAT000200,08-Oct-03,15,0.005,0.25,6.33,5.8,11.2,98,0.014,3,15,3,0.278,0.049,7.7,1,7.1,0.05,0.019,0.8,0.01,0.003,,,,
PAT000360,08-Oct-03,23,0.073,0.25,0.93,9.7,10.4,98,0.01,120,66,120,7.674,1.302,7.4,7,11.6,1.53,0.038,2.7,0.009,0.002,,,,
PNH000200,08-Oct-03,17,0.011,0.25,1.03,8.7,10.8,97,0.015,25,3,25,0.541,0.079,7.7,5,9.3,0.15,0.036,3,0.022,0.006,,,,
PNH000900,08-Oct-03,31,0.107,0.5,2.13,19.5,10.7,99,0.031,460,150,460,1.731,2.306,7.5,3,11.8,2.7,0.052,1.6,0.024,0.006,,,,
STY000300,08-Oct-03,37,0.004,0.25,5.63,9.8,11,98,0.018,3,1,3,3.477,0.069,7.7,1,9.2,0.06,0.02,0.8,0.005,0.002,,,,
WGG000500,08-Oct-03,26,0.038,0.25,0.89,12.1,10.4,98,0.014,140,150,140,6.796,2.309,7.6,9,11.4,2.51,0.036,3,0.012,0.004,,,,
WGG000900,08-Oct-03,31,0.089,0.6,0.83,15,10.6,97,0.027,300,120,320,18.119,2.743,7.6,15,11.2,3.01,0.057,4,0.016,0.004,,,,
WKH000500,08-Oct-03,41,0.016,0.25,3.35,11.1,11.2,100,0.017,140,32,140,3.95,0.388,7.8,1,9.3,0.36,0.028,1.2,0.009,0.003,,,,
MGH000950,12-Nov-03,42,0.014,0.25,1.89,10.1,9,92,0.011,200,15,200,6.804,0.087,7.7,8,15.5,0.24,0.019,3,0.052,0.011,,,,
MKW000300,12-Nov-03,29,0.003,0.25,2.6,8.3,9.7,96,0.017,310,46,330,1.774,0.257,7.7,1,14,0.4,0.023,0.55,0.014,0.004,,,,
MRK000420,12-Nov-03,39,0.006,0.6,2.41,13.6,9.6,96,0.009,700,140,700,1.05,0.836,7.7,1,14.8,1.11,0.012,0.85,0.019,0.005,,,,
PAT000200,12-Nov-03,24,0.0015,0.25,5.34,6.5,10.2,98,0.026,6,1,6,0.179,0.009,7.7,1,10.7,0.19,0.043,0.3,0.013,0.003,,,,
PAT000360,12-Nov-03,28,0.014,1,2.58,9,10.1,103,0.029,14,21,14,2.674,0.853,8,3,15.1,1.09,0.052,1.2,0.018,0.004,,0.012,0.003,0
PNH000200,12-Nov-03,24,0.004,0.25,2.25,8.5,9.9,97,0.04,500,39,500,0.428,0.009,7.8,1,13,0.16,0.05,1.6,0.025,0.006,,0.034,0.009,0.001
PNH000900,12-Nov-03,42,0.122,3.1,0.85,17,9.8,99,0.089,8400,36,8400,0.588,0.82,7.8,4,15.5,1.89,0.154,2.7,0.037,0.009,,0.02,0.004,0
STY000300,12-Nov-03,43,0.0015,0.25,4.7,9.9,10.5,99,0.021,96,21,96,4.623,0.019,8,1,11.7,0.04,0.021,0.5,0.007,0.002,,0.025,0.004,0
WGG000500,12-Nov-03,32,0.006,0.5,2.93,10.6,10.4,105,0.011,63,13,63,1.391,1.363,8.1,1,14.9,1.69,0.025,0.8,0.015,0.004,,0.026,0.007,0.001
WGG000900,12-Nov-03,39,0.014,0.8,1.69,15.1,10.4,107,0.062,120,43,120,4.6,2.145,8.2,3,16.5,2.61,0.083,1.4,0.022,0.004,,0.017,0.004,0
WKH000500,12-Nov-03,56,0.012,0.25,2.02,12.9,10.3,100,0.031,1600,56,1600,2.943,0.108,8.1,1,12.9,0.28,0.035,0.7,0.011,0.002,,0.022,0.005,0
MGH000950,10-Dec-03,34,0.007,1,0.11,8.7,8.5,89,0.004,8300,800,8300,35.359,0.077,7.6,100,16.9,0.5,0.129,36,0.079,0.015,,0.025,0.006,0.001
MKW000300,10-Dec-03,18,0.032,1.3,0.78,6.4,9.5,92,0.025,14000,650,14000,6.08,0.263,7.6,5,13.3,0.66,0.068,1.8,0.066,0.014,,0.028,0.007,0
MRK000420,10-Dec-03,37,0.037,1,1.32,13.1,9.2,93,0.007,3800,900,3800,2.485,0.84,7.6,25,15.5,1.1,0.031,2.2,0.032,0.007,,0.032,0.007,0.001
PAT000200,10-Dec-03,10,0.0015,0.25,1.74,3.8,9.6,94,0.012,44,23,44,1.129,0.008,7.6,1,11.6,0.09,0.018,0.6,0.076,0.015,,0.024,0.006,0.001
PAT000360,10-Dec-03,25,0.11,2.3,0.56,8.9,9.2,93,0.038,6100,820,6100,5.735,0.656,7.6,8,14.5,1.22,0.091,3,0.037,0.008,,0.017,0.004,0
PNH000200,10-Dec-03,17,0.01,0.9,0.5,7.7,9.7,94,0.027,3800,460,3800,2.442,0.017,7.5,25,12.7,0.32,0.148,4.7,0.08,0.016,,0.04,0.01,0.001
PNH000900,10-Dec-03,30,0.257,5.2,0.31,15.1,9.5,93,0.091,14000,660,14000,2.763,0.831,7.6,19,14.2,2,0.222,5.6,0.082,0.017,,0.064,0.017,0
STY000300,10-Dec-03,18,0.019,0.6,0.43,5.4,9.9,97,0.008,250,46,250,14.577,0.019,7.7,30,13.4,0.07,0.031,4.8,0.054,0.012,,0.02,0.004,0
WGG000500,10-Dec-03,31,0.092,2.2,0.53,10.8,9.2,93,0.026,4300,600,4300,2.804,1.264,7.7,10,14.6,1.7,0.087,3.2,0.033,0.007,,0.048,0.01,0
WGG000900,10-Dec-03,42,0.034,1.6,0.5,16,9.2,94,0.054,1800,550,2000,6.071,1.738,7.8,11,16.3,2.29,0.1,3.5,0.041,0.009,,0.036,0.008,0
WKH000500,10-Dec-03,28,0.045,1.5,0.55,7.7,9.5,94,0.021,16000,3300,16000,16.886,0.135,7.7,6,13.7,0.42,0.057,2.7,0.079,0.017,,0.033,0.004,0
MGH000950,14-Jan-04,24,0.034,5.6,0.005,7.2,7.8,89,0.022,5400,1000,5400,15.602,0.334,7.1,1300,21.3,0.86,0.786,850,0.175,0.043,,0.036,0.007,0
MKW000300,14-Jan-04,30,0.007,0.25,3.22,9,9.1,95,0.024,490,170,490,1.489,0.297,7.6,1,16.6,0.37,0.024,0.75,0.018,0.003,,0.027,0.006,0
MRK000420,14-Jan-04,40,0.008,0.6,1.88,13.4,9,94,0.01,650,270,650,1.438,0.936,7.7,2,17.2,0.97,0.012,1.6,0.028,0.004,,0.034,0.007,0
PAT000200,14-Jan-04,26,0.004,0.25,4.45,7.4,9.4,96,0.03,23,8,23,0.165,0.019,7.7,1,13.5,0.06,0.03,0.55,0.016,0.004,,0.037,0.008,0
PAT000360,14-Jan-04,31,0.016,1.2,1.82,11,9.7,110,0.082,190,44,190,1.336,0.789,8.3,2,20.2,1.14,0.103,1.8,0.032,0.006,,0.026,0.006,0
PNH000200,14-Jan-04,24,0.006,0.25,2.18,8.8,9,97,0.036,160,20,160,0.297,0.008,7.4,1,17.5,0.08,0.04,1.4,0.034,0.006,,0.042,0.008,0
PNH000900,14-Jan-04,42,0.025,0.7,1.86,15.7,9.1,98,0.046,160,340,160,0.518,0.472,7.7,3,19,0.72,0.063,1.6,0.043,0.008,,0.057,0.012,0
STY000300,14-Jan-04,45,0.0015,0.25,6.16,10.6,9.6,97,0.018,2,12,2,2.647,0.019,8.1,1,14.7,0.02,0.018,0.5,0.007,0,,0.058,0.012,0
WGG000500,14-Jan-04,38,0.014,0.8,2.24,11.9,9.4,103,0.024,300,100,300,0.53,0.793,8,1,18.8,1.1,0.029,1.4,0.026,0.005,,0.025,0.005,0
WGG000900,14-Jan-04,51,0.022,1,1.62,17.1,9.5,109,0.071,69,80,69,1.896,1.506,8.3,3,21.8,1.97,0.089,1.8,0.037,0.007,,0.031,0.007,0
WKH000500,14-Jan-04,53,0.007,0.25,3.81,12.8,9.5,98,0.028,130,64,130,2.953,0.138,8.1,1,15.9,0.16,0.028,0.75,0.015,0.002,,0.135,0.03,0.002
MGH000950,11-Feb-04,36,0.011,0.7,0.375,9.2,9,96,0.004,150,290,150,11.203,0.147,7.6,6,18,0.34,0.029,5,0.058,0.01,,0.034,0.008,0
MKW000300,11-Feb-04,24,0.005,0.25,2.08,8.2,9,93,0.02,650,640,650,2.529,0.536,7.4,2,16.3,0.76,0.042,1,0.04,0.01,,0.032,0.008,0.001
MRK000420,11-Feb-04,34,0.014,0.25,1.2,13.1,8.7,92,0.005,680,460,680,2.485,1.076,7.3,3,17.6,1.43,0.025,1.3,0.03,0.005,,0.025,0.005,0
PAT000200,11-Feb-04,23,0.005,0.25,2.75,6.7,9.5,96,0.02,29,21,29,0.192,0.029,7.6,1,12.9,0.1,0.027,0.4,0.015,0.003,,0.052,0.012,0.001
PAT000360,11-Feb-04,27,0.034,0.25,2.15,10.2,9.3,99,0.027,330,130,330,3.982,1.012,7.7,1,16.9,1.19,0.043,1.2,0.02,0.003,,0.021,0.004,0
PNH000200,11-Feb-04,24,0.008,0.25,2.2,9.2,9.2,97,0.021,74,23,74,0.428,0.009,7.6,1,16.5,0.11,0.064,1.3,0.034,0.007,,0.022,0.004,0
PNH000900,11-Feb-04,39,0.023,0.25,1.11,17.9,8.9,96,0.044,970,350,970,0.811,0.664,7.7,3,19,1.15,0.079,1.4,0.038,0.008,,0.04,0.009,0
STY000300,11-Feb-04,39,0.0015,0.25,6.25,9.7,9.4,95,0.018,3,7,3,3.552,0.049,7.8,1,14.9,0.08,0.026,0.45,0.01,0.003,,0.029,0.007,0
WGG000500,11-Feb-04,30,0.007,0.25,1.72,11.3,9.4,101,0.018,180,140,180,1.953,1.502,7.9,3,17.6,1.7,0.038,1.4,0.018,0.004,,0.034,0.007,0
WGG000900,11-Feb-04,37,0.013,0.25,1.58,14.3,9.1,98,0.055,88,250,92,5.74,1.708,7.8,3,18.9,2.08,0.074,1.6,0.026,0.005,,0.027,0.006,0
WKH000500,11-Feb-04,45,0.009,0.25,3.23,11.2,9.3,96,0.024,300,290,310,3.588,0.197,7.8,1,15.9,0.29,0.037,0.6,0.023,0.005,,0.033,0.008,0.001
MGH000950,10-Mar-04,37,0.013,0.7,0.39,9.9,8.8,93,0.006,160,54,160,16.045,0.188,7.7,14,17.2,0.43,0.033,5.7,0.039,0.007,,0.03,0.006,0
MKW000300,10-Mar-04,26,0.004,0.25,4.18,8.8,9.3,94,0.018,210,180,210,2.119,0.549,7.6,1,15.2,0.58,0.037,0.6,0.014,0.003,,0.022,0.005,0
MRK000420,10-Mar-04,35,0.02,0.25,2.23,13.7,9.2,93,0.005,550,380,560,1.986,1.358,7.5,2,15.6,1.51,0.023,1.2,0.028,0.004,,0.028,0.006,0.001
PAT000200,10-Mar-04,22,0.003,0.25,3.98,6.5,9.7,94,0.02,23,16,23,0.194,0.039,7.6,1,11.1,0.08,0.065,0.3,0.013,0.002,,0.022,0.004,0
PAT000360,10-Mar-04,27,0.035,0.5,2.97,10,9.4,98,0.019,85,130,85,4.551,1.047,7.7,3,15.8,1.42,0.03,1.2,0.018,0.002,,0.023,0.006,0.001
PNH000200,10-Mar-04,24,0.006,0.25,3.05,9.2,9.9,99,0.024,110,43,110,0.416,0.029,7.7,1,13.7,0.025,0.032,1.3,0.032,0.008,,0.022,0.004,0
PNH000900,10-Mar-04,39,0.029,0.6,2.12,20.6,9.3,95,0.039,180,340,180,1.015,1.504,7.7,3,16.1,2.15,0.063,1.3,0.037,0.008,,0.044,0.014,0.002
STY000300,10-Mar-04,40,0.004,0.25,0.4,10.2,10,95,0.024,8,5,8,4.212,0.059,7.9,160,12.2,0.09,0.053,4.2,0.008,0.003,,0.026,0.006,0
WGG000500,10-Mar-04,30,0.02,0.25,1.61,12.7,9.5,96,0.017,210,110,210,3.727,2.132,7.7,4,14.8,2.64,0.028,1.3,0.015,0.002,,0.025,0.006,0.001
WGG000900,10-Mar-04,38,0.036,0.6,1.17,16.6,9.4,95,0.039,88,180,92,11.768,2.634,7.8,7,15.8,3.22,0.063,2,0.024,0.005,,0.045,0.012,0.001
WKH000500,10-Mar-04,51,0.004,0.25,2.85,12.7,9.9,98,0.022,100,37,100,3.263,0.159,8,1,13.9,0.22,0.036,0.45,0.013,0.003,,0.05,0.011,0.001
MGH000950,14-Apr-04,42,0.007,0.5,0.39,10.8,10.9,104,0.003,43,43,43,9.391,0.059,8,5,12.4,0.15,0.008,3,0.047,0.009,,0.089,0.019,0.001
MKW000300,14-Apr-04,29,0.0015,0.25,4.24,9.2,10.7,95,0.015,440,120,440,1.975,0.399,7.7,1,9.5,0.41,0.024,0.6,0.013,0.003,,0.027,0.006,0
MRK000420,14-Apr-04,42,0.013,0.25,2.13,14,10.6,97,0.006,370,200,370,1.264,0.808,7.8,1,11.2,0.95,0.011,0.85,0.018,0.004,,0.026,0.006,0
PAT000200,14-Apr-04,23,0.004,0.25,6.41,6.8,11,96,0.014,1,3,1,0.17,0.029,7.6,1,7,0.025,0.02,0.3,0.012,0.003,,0.026,0.005,0
PAT000360,14-Apr-04,26,0.072,0.6,3.31,9.9,10.8,100,0.032,66,57,68,2.813,0.841,7.7,1,10.5,1.02,0.043,0.95,0.018,0.002,,0.063,0.014,0.001
PNH000200,14-Apr-04,22,0.006,0.25,1.71,9.3,10.8,98,0.016,79,15,79,0.419,0.029,7.8,1,9.6,0.07,0.021,1.7,0.032,0.007,,0.064,0.015,0.001
PNH000900,14-Apr-04,34,0.063,1,1.77,17.2,11,99,0.06,320,63,320,0.86,0.848,7.7,2,10.6,1.23,0.09,1.6,0.035,0.008,,0.082,0.02,0.003
STY000300,14-Apr-04,37,0.0015,0.25,0.11,9.7,10.9,97,0.02,7,4,7,4.215,0.039,8,230,9.2,0.025,0.07,35,0.009,0.002,,0.041,0.01,0.001
WGG000500,14-Apr-04,31,0.043,0.25,2.92,11.6,11,99,0.015,51,68,51,1.135,1.432,7.8,1,9.7,1.53,0.022,0.75,0.016,0.004,,0.021,0.005,0
WGG000900,14-Apr-04,39,0.019,0.8,1.49,17.4,11.1,102,0.035,74,74,74,4.416,2.169,8,2,11.5,2.48,0.058,1.5,0.026,0.004,,0.036,0.007,0
WKH000500,14-Apr-04,50,0.007,0.25,3.14,12.7,11.2,99,0.02,100,48,100,3.325,0.169,8.1,1,8.9,0.25,0.024,0.45,0.011,0.002,,0.089,0.019,0.002
MGH000950,12-May-04,42,0.012,0.25,0.42,9.6,9.6,94,0.005,220,40,230,11.043,0.087,7.8,6,13.7,0.24,0.013,3.2,0.049,0.011,,0.025,0.005,0.001
MKW000300,12-May-04,29,0.006,0.25,3.72,8.5,9.4,90,0.024,650,130,650,2.022,0.458,7.7,1,12.5,0.62,0.028,0.75,0.015,0.004,,0.045,0.01,0.001
MRK000420,12-May-04,39,0.013,0.25,2.3,13,9.4,93,0.009,540,230,560,1.399,0.957,7.7,2,14.4,1.24,0.012,1.2,0.018,0.005,,0.033,0.006,0
PAT000200,12-May-04,22,0.0015,0.25,3.16,5.9,9.7,92,0.019,19,21,20,0.295,0.019,7.5,1,10.2,0.13,0.026,0.55,0.022,0.006,,0.037,0.008,0.001
PAT000360,12-May-04,27,0.057,0.8,1.83,9.6,10,98,0.045,400,60,400,3.995,1.316,7.8,2,13.3,1.58,0.062,1.4,0.018,0.005,,0.041,0.008,0.001
PNH000200,12-May-04,26,0.004,0.25,1.43,9,9.7,94,0.025,220,56,230,0.432,0.029,7.7,1,12.4,0.12,0.03,1.8,0.029,0.006,,0.049,0.009,0
PNH000900,12-May-04,40,0.014,0.25,1.33,16.8,9.3,90,0.047,120,380,120,0.705,1.006,7.7,2,13.7,1.16,0.066,1.5,0.035,0.007,,0.043,0.008,0.001
STY000300,12-May-04,39,0.0015,0.25,0.14,8.8,10,95,0.014,1,5,1,5.042,0.029,7.9,72,12.2,0.11,0.066,26,0.01,0.004,,0.062,0.014,0.001
