"CouncilSiteID","SiteID","LawaSiteID","LFENZID","LType","GeomorphicLType","Region","Agency","Catchment","Lat","Long","accessDate"
"SQ31047","lake georgina mid lake","ecan-00337","48447","Polymictic","Glacial","canterbury","ecan","6850720",-43.3177046437917,171.568863187848,"14-Aug-2020"
"SQ31051","lake ida mid lake","ecan-00338","48455","Polymictic","Glacial","canterbury","ecan","6850740",-43.2354097769768,171.5383835601,"14-Aug-2020"
"SQ31065","lake selfe mid lake","ecan-00339","48213","Stratified","Glacial","canterbury","ecan","6850810",-43.2412934461352,171.521950376803,"14-Aug-2020"
"SQ31093","lake heron main basin","ecan-00340","47892","Stratified","Glacial","canterbury","ecan","6852390",-43.4843191352548,171.168920411186,"14-Aug-2020"
"SQ31096","lake alexandrina mid lake, surface","ecan-00341","47193","Stratified","Glacial","canterbury","ecan","7118400",-43.9334309450786,170.45382149692,"14-Aug-2020"
"SQ20601","wainono lagoon off lake road","ecan-00325","12469","Polymictic","Shoreline","canterbury","ecan","7070000",-44.7024444055899,171.146043923122,"14-Aug-2020"
"SQ20927","lake middleton mid lake","ecan-00362","45504","Polymictic","Glacial","canterbury","ecan","7116700",-44.278692375364,169.848698694963,"14-Aug-2020"
"SQ34907","lake benmore centre- northern arm","ecan-00354","7409","Stratified","Dam","canterbury","ecan","7110000",-44.448945973633,170.21169206782,"14-Aug-2020"
"SQ34908","lake pukaki - southern end","ecan-00355","46564","Stratified","Glacial","canterbury","ecan","7117100",-44.0963252953063,170.199450701414,"14-Aug-2020"
"SQ34980","lake forsyth at birdlings flat","lawa-101985","47579","Brackish","Shoreline","canterbury","ecan","6760000",-43.8252395243101,172.709301634397,"14-Aug-2020"
"SQ35175","lake rotorua by east arm","ecan-00363","25994","Polymictic","Shoreline","canterbury","ecan","6340000",-42.407615256367,173.583490311712,"14-Aug-2020"
"SQ35362","lake emily mid lake","ecan-00357","47860","Polymictic","Glacial","canterbury","ecan","6881200",-43.5508744588358,171.226328722247,"14-Aug-2020"
"SQ35363","maori lake - front","ecan-00358","47859","Polymictic","Glacial","canterbury","ecan","6881200",-43.5753941529199,171.182268982952,"14-Aug-2020"
"SQ35364","maori lake - back","ecan-00359","45724","Polymictic","Glacial","canterbury","ecan","6881200",-43.5705317757312,171.167518333242,"14-Aug-2020"
"SQ35639","lake benmore ahuriri arm","ecan-00367","7409","Stratified","Dam","canterbury","ecan","7110000",-44.5316283928935,170.109336081806,"14-Aug-2020"
"SQ35640","lake benmore above dam","ecan-00368","7409","Stratified","Dam","canterbury","ecan","7110000",-44.5618778055826,170.204937460237,"14-Aug-2020"
"SQ35641","lake aviemore mid lake","ecan-00349","7408","Stratified","Dam","canterbury","ecan","7110000",-44.6325048737933,170.29602237832,"14-Aug-2020"
"SQ10805","kellands pond second point","ecan-00331","45501","Polymictic","Artificial","canterbury","ecan","7116600",-44.2990370843077,170.065721678928,"14-Aug-2020"
