"x"
"Archived"
"BatchNumber"
"Cloud cover"
"Cloud Cover"
"Comment"
"Cost"
"Cost Centre"
"Field Technician"
"Lab"
"Lab Sample ID"
"Meter number"
"Method"
"Rainfall"
"Received at Lab"
"ReceivedDate"
"Results Received"
"Run Name"
"Run Number"
"Run Type"
"SampleID"
"Tide"
"Units"
"Weather"
"Weather Affected"
"Wind Direction"
"Wind Strength"
