"","agency","xmlAge","var","earliest","latest","nMeas","nSite","meanMeas","maxMeas","minMeas","nNA"
"1","ac",NA,"% EPT Richness","07-Feb-2001","06-Mar-2031",626,61,0.2,0.7,0,0
"2","ac",NA,"MCI","07-Feb-2001","06-Mar-2031",626,61,91.1,147,38.1,0
"3","ac",NA,"Total Richness","07-Feb-2001","06-Mar-2031",626,61,22.8,45,6,0
"4","boprc",0,"MCI","31-Dec-2005","06-Feb-2019",12845,132,111.7,159.1,47.7,0
"5","boprc",0,"PercentageEPTTaxa","31-Dec-2005","06-Feb-2019",12845,132,47.3,100,0,0
"6","boprc",0,"TaxaRichness","31-Dec-2005","06-Feb-2019",12845,132,17.9,46,1,0
"7","ecan",0,"MCI","10-Nov-1999","23-Jan-2020",2983,134,101.6,155.6,50,0
"8","ecan",0,"PercentageEPTTaxa","10-Nov-1999","23-Jan-2020",2983,134,41.3,90,0,0
"9","ecan",0,"TaxaRichness","10-Nov-1999","23-Jan-2020",2983,134,17.8,42,3,0
"10","es",0,"MCI","09-Jan-2004","11-Dec-2019",999,87,102.8,147,0,0
"11","es",0,"PercentageEPTTaxa","09-Jan-2004","11-Dec-2019",999,87,47.4,94.6,0,0
"12","es",0,"TaxaRichness","09-Jan-2004","11-Dec-2019",999,87,20.4,41,0,0
"13","gdc",0,"MCI","20-Jan-2016","20-Mar-2019",286,80,99.2,148,47,0
"14","gdc",0,"PercentageEPTTaxa","20-Jan-2016","20-Mar-2019",286,80,33.4,72.7,0,0
"15","gdc",0,"TaxaRichness","20-Jan-2016","20-Mar-2019",286,80,22.5,44,2,0
"16","gwrc",0,"MCI","01-Feb-2005","21-Feb-2019",730,53,107.7,155.9,60,0
"17","gwrc",0,"PercentageEPTTaxa","19-Jan-2011","21-Feb-2019",419,53,40.7,77.8,0,0
"18","gwrc",0,"TaxaRichness","19-Jan-2011","21-Feb-2019",419,53,22.3,39,8,0
"19","hbrc",0,"MCI","13-Feb-2001","28-Feb-2019",906,81,99.5,151,47.5,0
"20","hbrc",0,"PercentageEPTTaxa","09-Feb-2004","28-Feb-2019",747,81,39.1,97.7,0,0
"21","hbrc",0,"TaxaRichness","13-Feb-2001","28-Feb-2019",906,81,19.8,40,1,0
"22","hrc",7,"MCI","02-Feb-2005","09-Apr-2019",882,89,106.5,168,55,0
"23","hrc",7,"PercentageEPTTaxa","02-Feb-2005","09-Apr-2019",882,89,45.4,83.3,0,0
"24","hrc",7,"TaxaRichness","02-Feb-2005","09-Apr-2019",882,89,22.6,45,2,0
"25","mdc",0,"MCI","14-Dec-2000","27-Feb-2020",391,31,106.2,150,63.6,0
"26","mdc",0,"PercentageEPTTaxa","26-Jun-2001","27-Feb-2020",377,31,47.9,87.5,0,0
"27","mdc",0,"TaxaRichness","14-Dec-2000","27-Feb-2020",391,31,20.1,42,5,0
"28","ncc",0,"MCI","01-Nov-2000","15-Jan-2020",514,26,107.1,153,40,0
"29","ncc",0,"PercentageEPTTaxa","12-Dec-2017","15-Jan-2020",77,26,39.9,70.8,0,0
"30","ncc",0,"TaxaRichness","01-Nov-2000","15-Jan-2020",514,26,19.4,51,1,0
"31","niwa",NA,"MCI","07-Feb-1990","01-May-2019",1822,66,108.1,160,45,1
"32","niwa",NA,"PercentageEPTTaxa","07-Feb-1990","01-May-2019",1822,66,48.6,100,0,1
"33","niwa",NA,"TaxaRichness","07-Feb-1990","01-May-2019",1822,66,18.6,39,0,0
"34","nrc",0,"MCI","01-Mar-1999","18-Apr-2019",567,31,91.2,148.3,35.5,0
"35","nrc",0,"PercentageEPTTaxa","01-Mar-1999","18-Apr-2019",567,31,31.9,85,0,0
"36","nrc",0,"TaxaRichness","01-Mar-1999","18-Apr-2019",567,31,17.4,50,0,0
"37","orc",0,"MCI","06-Feb-2004","25-Mar-2020",387,30,97.1,135,51,0
"38","orc",0,"PercentageEPTTaxa","06-Feb-2004","19-Apr-2018",354,30,43.2,73.3,0,0
"39","orc",0,"TaxaRichness","06-Feb-2004","19-Apr-2018",355,30,18.7,40,4,0
"40","tdc",0,"MCI","02-Oct-2001","22-Jan-2019",1533,21,105.1,154,60,0
"41","tdc",0,"PercentageEPTTaxa","02-Oct-2001","22-Jan-2019",657,21,43.4,80,0,0
"42","tdc",0,"TaxaRichness","02-Oct-2001","22-Jan-2019",219,21,19.2,40,4,0
"43","trc",0,"MCI","10-May-1993","12-Mar-2020",2560,59,107,162,44,0
"44","trc",0,"PercentageEPTTaxa","10-May-1993","12-Mar-2020",2561,59,44,100,0,0
"45","trc",0,"TaxaRichness","10-May-1993","12-Mar-2020",2561,59,21.7,40,0,0
"46","wcrc",0,"MCI","30-Oct-2000","24-May-2019",821,34,115.3,165.7,46.7,0
"47","wcrc",0,"PercentageEPTTaxa","30-Oct-2000","24-May-2019",821,34,49.7,85.7,0,0
"48","wcrc",0,"TaxaRichness","30-Oct-2000","24-May-2019",821,34,23,48,2,0
"49","wrc",7,"MCI","11-Jan-2002","07-Mar-2019",1131,74,112.3,163.3,33.3,0
"50","wrc",7,"PercentageEPTTaxa","11-Jan-2002","07-Mar-2019",1131,74,45.2,83.3,0,0
"51","wrc",7,"TaxaRichness","11-Jan-2002","07-Mar-2019",1131,74,24,41,6,0
