RC_SID,Period,Easting,Northing,NZReach,Aquarius,LAWA_ID,Type,MCI_Actual,Richness,P_EPT1_r
BOP_NERM_103,2017-18,1926331,5752911,4019083,II633291,EBOP-00206,Soft,123.3333333,21,57.14285714
BOP_NERM_104,2017-18,1921097.8,5733708.3,4023034,IG109370,EBOP-00207,Soft,108.6315789,19,63.15789474
BOP_NERM_105,2017-18,1907920.4,5708333.6,4026964,GD792833,EBOP-00208,Soft,116.7894737,38,57.89473684
BOP_NERM_106,2017-18,1896624.7,5706077.1,4027146,FD662607,LAWA-100490,Soft,123.5555556,18,77.77777778
BOP_NERM_107,2017-18,1967093,5776743,4011536,MK709674,LAWA-100500,Hard,118.9473684,19,52.63157895
BOP_NERM_108,2017-18,1966681,5774945,4012220,MK668495,LAWA-100498,Hard,115,16,56.25
BOP_NERM_109,2017-18,1967040,5772780,4012902,MK704278,LAWA-100499,Hard,120,18,55.55555556
BOP_NERM_110001,2017-18,2043406,5829311.3,4000731,UP340931,EBOP-00209,Hard,112,10,40
BOP_NERM_110002,2017-18,2029886.6,5819591.1,4001560,SO988959,EBOP-00210,Hard,127.5,8,75
BOP_NERM_110003,2017-18,2007222.7,5799111.4,4005253,QM722911,EBOP-00211,Hard,135,16,62.5
BOP_NERM_110004,2017-18,1985785.1,5783605.4,4009026,OL578360,EBOP-00212,Hard,115.3846154,26,53.84615385
BOP_NERM_110005,2017-18,1983032.2,5776071.5,4011726,OK303607,EBOP-00213,Hard,121.3333333,15,66.66666667
BOP_NERM_110006,2017-18,1976645.7,5762637.8,4016485,NJ664263,EBOP-00214,Hard,128.4615385,26,61.53846154
BOP_NERM_110007,2017-18,1962838.1,5777315.5,4011135,MK283728,EBOP-00011,Hard,105.7142857,21,61.9047619
BOP_NERM_110008,2017-18,1960409.5,5751474.3,4019399,MI041147,LAWA-100505,Hard,140,24,75
BOP_NERM_110010,2017-18,1950823.9,5771212.2,4013670,LK082121,EBOP-00218,Hard,126.3157895,19,52.63157895
BOP_NERM_110011,2017-18,1949888.5,5781424.1,4010027,KL988142,EBOP-00042,Hard,94,10,50
BOP_NERM_110014,2017-18,1926752.5,5734658.6,4022892,IG675465,EBOP-00221,Hard,120,20,65
BOP_NERM_110020,2017-18,1906716.1,5768105.7,4014379,GJ671810,EBOP-00223,Hard,75.83333333,24,20.83333333
BOP_NERM_110035,2017-18,1864363.4,5811310.9,4002936,CO436131,EBOP-00224,Hard,118.5714286,28,64.28571429
BOP_NERM_111,2017-18,1988581,5782168,4010135,OL858216,LAWA-100492,Hard,110.4347826,23,52.17391304
BOP_NERM_112,2017-18,1986438,5778364,4011013,OK643836,LAWA-100497,Hard,127.8571429,28,64.28571429
BOP_NERM_113,2017-18,2010839,5805864,4003962,RN083586,LAWA-100484,Hard,127.5862069,29,44.82758621
BOP_NERM_114,2017-18,2012042,5805766,4004002,RN204576,LAWA-100483,Hard,120,25,40
BOP_NERM_115,2017-18,2010287,5803244,4004413,RN028324,LAWA-100482,Soft,122.2352941,34,55.88235294
BOP_NERM_116,2017-18,2016856,5817573,4001899,RO685757,LAWA-100494,Hard,121.7647059,34,44.11764706
BOP_NERM_117,2017-18,2018937,5819388,4001627,RO893938,LAWA-100495,Hard,119.3103448,29,48.27586207
BOP_NERM_119,2017-18,1894836,5800167,4004928,FN483016,LAWA-100486,Soft,132.5,24,54.16666667
BOP_NERM_120,2017-18,1948365,5766633,4014567,KJ836663,LAWA-100502,Hard,117.9310345,29,48.27586207
BOP_NERM_121,2017-18,1947641,5767982,4014503,KJ764798,LAWA-100504,Soft,89.52941176,17,17.64705882
BOP_NERM_122,2017-18,1944555,5770317,4013642,KK455031,LAWA-100503,Hard,128.1818182,22,54.54545455
BOP_NERM_123,2017-18,1942318,5771081,4013595,KK231108,LAWA-100501,Soft,103.0526316,19,21.05263158
BOP_NERM_124,2017-18,1892068,5813155,4002382,,,Soft,87.68421053,19,31.57894737
BOP_NERM_125,2017-18,1889643,5822016,4001514,,,Soft,55.83333333,12,8.333333333
BOP_NERM_126,2017-18,1883614,5777561,4011192,,,Soft,89.06666667,30,33.33333333
BOP_NERM_127,2017-18,1880882,5771558,4013422,,,Soft,119.7037037,27,51.85185185
BOP_NERM_128,2017-18,1882957,5772812,4012862,,,Soft,115.2,25,52
BOP_NERM_129,2017-18,1883826,5774363,4012158,,,Soft,107.625,16,31.25
BOP_NERM_710015,2017-18,1855922.1,5844173.7,4000229,BR592417,EBOP-00225,Hard,100,29,44.82758621
