Station_no,Station_name,Timestamp,Sample_depth,Parametertype_name,value_sign,Value,Unit_name,Value_quality
6303,Lake Tomorata @ Buoy / 6303,11/12/2019,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,11/12/2019,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,11/12/2019,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,26/09/2019,14,NH3+NH4 as N (mg/l),,0.006,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,20/09/2019,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,20/09/2019,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,20/09/2019,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,12/08/2019,12,NH3+NH4 as N (mg/l),,0.023,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,7/08/2019,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,7/08/2019,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,7/08/2019,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,28/06/2019,14,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,21/05/2019,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,21/05/2019,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,21/05/2019,6,NH3+NH4 as N (mg/l),,0.03,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,8/04/2019,15,NH3+NH4 as N (mg/l),,0.064,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,5/04/2019,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,5/04/2019,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,5/04/2019,4,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,21/02/2019,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,21/02/2019,2,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,21/02/2019,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,19/02/2019,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,31/01/2019,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,31/01/2019,2,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,31/01/2019,6,NH3+NH4 as N (mg/l),,0.27,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,30/01/2019,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,29/11/2018,2,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,29/11/2018,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,29/11/2018,3,NH3+NH4 as N (mg/l),,0.007,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,27/11/2018,10,NH3+NH4 as N (mg/l),,0.01,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,17/10/2018,14,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,3/09/2018,2,NH3+NH4 as N (mg/l),,0.012,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,3/09/2018,4,NH3+NH4 as N (mg/l),,0.01,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,3/09/2018,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,23/07/2018,1,NH3+NH4 as N (mg/l),,0.065,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,23/07/2018,14,NH3+NH4 as N (mg/l),,0.026,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,15/06/2018,14,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,14/06/2018,1,NH3+NH4 as N (mg/l),,0.019,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,14/06/2018,3,NH3+NH4 as N (mg/l),,0.025,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,14/06/2018,6,NH3+NH4 as N (mg/l),,0.013,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,9/05/2018,9,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,8/05/2018,1,NH3+NH4 as N (mg/l),,0.023,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,8/05/2018,3,NH3+NH4 as N (mg/l),,0.017,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,21/03/2018,7,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,20/03/2018,1,NH3+NH4 as N (mg/l),,0.039,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,20/03/2018,3,NH3+NH4 as N (mg/l),,0.008,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,20/03/2018,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,16/02/2018,1,NH3+NH4 as N (mg/l),,0.009,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,16/02/2018,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,15/02/2018,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,10/01/2018,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,9/01/2018,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,9/01/2018,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,9/01/2018,4,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,14/11/2017,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,13/11/2017,2,NH3+NH4 as N (mg/l),,0.006,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,13/11/2017,3,NH3+NH4 as N (mg/l),,0.007,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,13/11/2017,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,16/08/2017,1,NH3+NH4 as N (mg/l),,0.012,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,16/08/2017,3,NH3+NH4 as N (mg/l),,0.009,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,16/08/2017,5,NH3+NH4 as N (mg/l),,0.031,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,15/08/2017,14,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,23/05/2017,10,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,22/05/2017,1,NH3+NH4 as N (mg/l),,0.029,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,22/05/2017,3,NH3+NH4 as N (mg/l),,0.029,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,22/05/2017,5,NH3+NH4 as N (mg/l),,0.063,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,21/02/2017,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,21/02/2017,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,20/02/2017,1,NH3+NH4 as N (mg/l),,0.0083,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,20/02/2017,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,21/11/2016,1,NH3+NH4 as N (mg/l),,0.014,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,21/11/2016,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,21/11/2016,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,14/11/2016,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,23/08/2016,14,NH3+NH4 as N (mg/l),,0.0071,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,22/08/2016,1,NH3+NH4 as N (mg/l),,0.058,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,22/08/2016,5,NH3+NH4 as N (mg/l),,0.024,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,16/06/2016,14,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,15/06/2016,2,NH3+NH4 as N (mg/l),,0.0069,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,15/06/2016,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,15/06/2016,6,NH3+NH4 as N (mg/l),,0.061,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,25/02/2016,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,25/02/2016,2,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,25/02/2016,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,24/02/2016,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,11/11/2015,10,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,10/11/2015,1,NH3+NH4 as N (mg/l),,0.0085,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,10/11/2015,4,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,10/11/2015,5,NH3+NH4 as N (mg/l),,0.014,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,19/08/2015,13,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,18/08/2015,1,NH3+NH4 as N (mg/l),,0.0058,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,18/08/2015,2,NH3+NH4 as N (mg/l),,0.0067,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,18/08/2015,5,NH3+NH4 as N (mg/l),,0.051,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,20/05/2015,8,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,19/05/2015,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,19/05/2015,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,19/05/2015,6,NH3+NH4 as N (mg/l),,0.037,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,23/04/2015,7,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,19/02/2015,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,18/02/2015,1,NH3+NH4 as N (mg/l),,0.012,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,18/02/2015,3,NH3+NH4 as N (mg/l),,0.0073,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,18/02/2015,6,NH3+NH4 as N (mg/l),,0.02,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,22/01/2015,7,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,20/11/2014,13,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,19/11/2014,1,NH3+NH4 as N (mg/l),,0.042,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,19/11/2014,4,NH3+NH4 as N (mg/l),,0.0085,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,19/11/2014,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,29/08/2014,14,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,27/08/2014,1,NH3+NH4 as N (mg/l),,0.016,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,27/08/2014,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,27/08/2014,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,31/05/2013,13,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,30/05/2013,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,30/05/2013,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,30/05/2013,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,11/04/2013,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,10/04/2013,1,NH3+NH4 as N (mg/l),,0.006,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,10/04/2013,4,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,10/04/2013,8,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,13/03/2013,1,NH3+NH4 as N (mg/l),,0.018,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,13/03/2013,2,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,13/03/2013,7,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,1/03/2013,4,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,30/01/2013,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,16/01/2013,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,16/01/2013,2,NH3+NH4 as N (mg/l),,0.0059,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,16/01/2013,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,21/11/2012,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,15/11/2012,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,14/11/2012,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,14/11/2012,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,23/08/2012,8,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,22/08/2012,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,22/08/2012,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,22/08/2012,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,24/05/2012,10,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,23/05/2012,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,23/05/2012,3,NH3+NH4 as N (mg/l),,0.016,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,23/05/2012,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,12/04/2012,8,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,11/04/2012,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,11/04/2012,3,NH3+NH4 as N (mg/l),,0.02,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,11/04/2012,9,NH3+NH4 as N (mg/l),,0.011,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,5/03/2012,8,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,29/02/2012,1,NH3+NH4 as N (mg/l),,0.009,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,29/02/2012,2,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,29/02/2012,6,NH3+NH4 as N (mg/l),,0.0065,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,11/01/2012,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,11/01/2012,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,11/01/2012,6,NH3+NH4 as N (mg/l),,0.044,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,10/01/2012,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,29/11/2011,6,NH3+NH4 as N (mg/l),,0.047,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,23/11/2011,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,23/11/2011,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,23/11/2011,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,25/08/2011,14,NH3+NH4 as N (mg/l),,0.022,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,24/08/2011,1,NH3+NH4 as N (mg/l),,0.021,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,24/08/2011,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,24/08/2011,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,2/06/2011,11,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,1/06/2011,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,1/06/2011,4,NH3+NH4 as N (mg/l),,0.013,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,1/06/2011,7,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,14/04/2011,7,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,13/04/2011,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,13/04/2011,0,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,13/04/2011,8,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,4/03/2011,2,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,3/03/2011,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,2/03/2011,1,NH3+NH4 as N (mg/l),,0.006,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,2/03/2011,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,27/01/2011,5,NH3+NH4 as N (mg/l),,0.007,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,26/01/2011,1,NH3+NH4 as N (mg/l),,0.014,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,26/01/2011,2,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,26/01/2011,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,25/11/2010,4,NH3+NH4 as N (mg/l),,0.007,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,24/11/2010,1,NH3+NH4 as N (mg/l),,0.011,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,24/11/2010,1,NH3+NH4 as N (mg/l),,0.012,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,24/11/2010,4,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,26/08/2010,14,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,24/08/2010,1,NH3+NH4 as N (mg/l),,0.012,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,24/08/2010,3,NH3+NH4 as N (mg/l),,0.008,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,24/08/2010,6,NH3+NH4 as N (mg/l),,0.006,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,3/06/2010,11,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,31/05/2010,1,NH3+NH4 as N (mg/l),,0.011,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,31/05/2010,3,NH3+NH4 as N (mg/l),,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,31/05/2010,6,NH3+NH4 as N (mg/l),,0.006,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,28/04/2010,7,NH3+NH4 as N (mg/l),,0.009,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,26/04/2010,1,NH3+NH4 as N (mg/l),,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,26/04/2010,3,NH3+NH4 as N (mg/l),,0.015,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,26/04/2010,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,4/03/2010,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,3/03/2010,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,3/03/2010,2,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,3/03/2010,6,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,14/01/2010,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,13/01/2010,1,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,13/01/2010,2,NH3+NH4 as N (mg/l),,0.008,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,13/01/2010,5,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,26/11/2009,5,NH3+NH4 as N (mg/l),,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,25/11/2009,1,NH3+NH4 as N (mg/l),,0.01,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,25/11/2009,3,NH3+NH4 as N (mg/l),,0.006,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,25/11/2009,6,NH3+NH4 as N (mg/l),,0.013,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,20/08/2009,14,NH3+NH4 as N (mg/l),,0.013,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,19/08/2009,1,NH3+NH4 as N (mg/l),,0.211,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,19/08/2009,3,NH3+NH4 as N (mg/l),,0.249,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,19/08/2009,3,NH3+NH4 as N (mg/l),,0.204,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,28/05/2009,11,NH3+NH4 as N (mg/l),,0.011,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,27/05/2009,1,NH3+NH4 as N (mg/l),,0.014,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,27/05/2009,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,27/05/2009,5,NH3+NH4 as N (mg/l),,0.019,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,16/04/2009,8,NH3+NH4 as N (mg/l),,0.008,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,15/04/2009,1,NH3+NH4 as N (mg/l),,0.023,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,15/04/2009,3,NH3+NH4 as N (mg/l),,0.023,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,15/04/2009,8,NH3+NH4 as N (mg/l),,0.009,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,26/02/2009,5,NH3+NH4 as N (mg/l),,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,25/02/2009,1,NH3+NH4 as N (mg/l),,0.024,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,25/02/2009,2,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,25/02/2009,5,NH3+NH4 as N (mg/l),,0.006,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,16/01/2009,3,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,15/01/2009,1,NH3+NH4 as N (mg/l),,0.01,milligram per litre,10
44616,Lake Wainamu @ Buoy / 44616,15/01/2009,1,NH3+NH4 as N (mg/l),,0.02,milligram per litre,10
45001,Lake Rototoa @ Buoy / 45001,15/01/2009,4,NH3+NH4 as N (mg/l),<,0.005,milligram per litre,10
7605,Lake Pupuke @ Buoy / 7605,27/11/2008,6,NH3+NH4 as N (mg/l),,0.007,milligram per litre,10
6303,Lake Tomorata @ Buoy / 6303,26/11/2008,1,NH3+NH4 as N (mg/l),,0.009,milligram per litre,10
