"agency","xmlAge","var","nMeas","nMeas5","nSite","earliest","latest","minMeas","meanMeas","maxMeas","nNA"
"orc",0,"DRP",5996,1922,49,"13-Jan-2005","14-Jun-2019",0,0,1.2,0
"orc",0,"ECOLI",6688,1955,49,"13-Jan-2005","14-Jun-2019",0,490.7,250000,0
"orc",0,"NH4",6061,1938,49,"13-Jan-2005","14-Jun-2019",0,0,2.9,0
"orc",0,"PH",5237,1938,49,"13-Jan-2005","14-Jun-2019",6.1,7.6,9.9,0
"orc",0,"TN",6036,1928,49,"13-Jan-2005","14-Jun-2019",0,0.6,8.2,0
"orc",0,"TON",6137,1982,49,"13-Jan-2005","14-Jun-2019",0,0.3,7.1,0
"orc",0,"TP",6005,1938,49,"13-Jan-2005","14-Jun-2019",0,0,4.2,0
"orc",0,"TURB",5581,1919,49,"13-Jan-2005","14-Jun-2019",0.1,8.1,4000,0
"tdc",0,"BDISC",1933,1067,26,"08-Feb-2005","16-Dec-2019",0,4.8,18.2,0
"tdc",0,"DRP",1600,1131,26,"09-Feb-2005","17-Dec-2019",0,0,0.2,0
"tdc",0,"ECOLI",2066,1133,26,"08-Feb-2005","17-Dec-2019",0,404.9,22000,0
"tdc",0,"NH4",1867,1131,26,"08-Feb-2005","17-Dec-2019",0,0,0.4,0
"tdc",0,"PH",1122,1079,26,"14-Feb-2005","17-Dec-2019",6.3,7.6,8.7,0
"tdc",0,"TN",1591,1126,26,"09-Feb-2005","17-Dec-2019",0,1,12.6,0
"tdc",0,"TON",1262,996,26,"06-Nov-2007","24-Jul-2019",0,0.8,10.4,0
"tdc",0,"TP",1592,1126,26,"09-Feb-2005","17-Dec-2019",0,0,0.6,0
"tdc",0,"TURB",1824,1101,26,"09-Feb-2005","17-Dec-2019",0.1,3.6,480,0
"wcrc",0,"BDISC",2853,1146,38,"06-Jan-2005","23-Dec-2019",0.1,3.6,21.5,0
"wcrc",0,"DRP",2311,1184,38,"10-Jan-2005","27-Nov-2019",0,0,0.7,0
"wcrc",0,"ECOLI",3066,1288,38,"06-Jan-2005","23-Dec-2019",1,498.4,190000,0
"wcrc",0,"NH4",2716,1191,38,"06-Jan-2005","27-Nov-2019",0,0,1.6,0
"wcrc",0,"PH",2768,1170,38,"06-Jan-2005","27-Nov-2019",3.7,6.9,9.3,0
"wcrc",0,"TN",2317,1191,38,"10-Jan-2005","27-Nov-2019",0,0.4,12,0
"wcrc",0,"TON",1394,1191,38,"17-Oct-2011","27-Nov-2019",0,0.3,1.6,0
"wcrc",0,"TP",2316,1191,38,"10-Jan-2005","27-Nov-2019",0,0,1.4,0
"wcrc",0,"TURB",2776,1185,38,"06-Jan-2005","27-Nov-2019",0,3.8,1870,0
