"Lake","FENZID","TLIYear","TLI","MixingPattern","GeomorphicType"
"lake rerewhakaaitu site 1",40071,2009,3.8,"Polymictic","Volcanic"
"lake rerewhakaaitu site 1",40071,2010,3.8,"Polymictic","Volcanic"
"lake rerewhakaaitu site 1",40071,2011,3.6,"Polymictic","Volcanic"
"lake rerewhakaaitu site 1",40071,2012,3.5,"Polymictic","Volcanic"
"lake rerewhakaaitu site 1",40071,2013,3.5,"Polymictic","Volcanic"
"lake rerewhakaaitu site 1",40071,2014,3.3,"Polymictic","Volcanic"
"lake rerewhakaaitu site 1",40071,2015,3.3,"Polymictic","Volcanic"
"lake rerewhakaaitu site 1",40071,2016,3.4,"Polymictic","Volcanic"
"lake rerewhakaaitu site 1",40071,2017,3.6,"Polymictic","Volcanic"
"lake rerewhakaaitu site 1",40071,2018,4.1,"Polymictic","Volcanic"
"lake rerewhakaaitu site 1",40071,2019,3.7,"Polymictic","Volcanic"
"lake rotoehu site 3",40188,2004,4.4,"Polymictic","Volcanic"
"lake rotoehu site 3",40188,2005,4.4,"Polymictic","Volcanic"
"lake rotoehu site 3",40188,2006,4.5,"Polymictic","Volcanic"
"lake rotoehu site 3",40188,2007,4.7,"Polymictic","Volcanic"
"lake rotoehu site 3",40188,2008,4.2,"Polymictic","Volcanic"
"lake rotoehu site 3",40188,2009,4.3,"Polymictic","Volcanic"
"lake rotoehu site 3",40188,2010,4.4,"Polymictic","Volcanic"
"lake rotoehu site 3",40188,2011,4.2,"Polymictic","Volcanic"
"lake rotoehu site 3",40188,2012,4.1,"Polymictic","Volcanic"
"lake rotoehu site 3",40188,2013,3.8,"Polymictic","Volcanic"
"lake rotoehu site 3",40188,2014,3.9,"Polymictic","Volcanic"
"lake rotoehu site 3",40188,2015,4.3,"Polymictic","Volcanic"
"lake rotoehu site 3",40188,2016,4.6,"Polymictic","Volcanic"
"lake rotoehu site 3",40188,2017,4.7,"Polymictic","Volcanic"
"lake rotoehu site 3",40188,2018,4.8,"Polymictic","Volcanic"
"lake rotoehu site 3",40188,2019,5.4,"Polymictic","Volcanic"
"lake rotoiti site 4",54730,2004,4.5,"Stratified","Volcanic"
"lake rotoiti site 4",54730,2005,3.8,"Stratified","Volcanic"
"lake rotoiti site 4",54730,2006,3.8,"Stratified","Volcanic"
"lake rotoiti site 4",54730,2007,3.9,"Stratified","Volcanic"
"lake rotoiti site 4",54730,2008,3.7,"Stratified","Volcanic"
"lake rotoiti site 4",54730,2009,3.7,"Stratified","Volcanic"
"lake rotoiti site 4",54730,2010,3.7,"Stratified","Volcanic"
"lake rotoiti site 4",54730,2011,3.7,"Stratified","Volcanic"
"lake rotoiti site 4",54730,2012,3.4,"Stratified","Volcanic"
"lake rotoiti site 4",54730,2013,3.3,"Stratified","Volcanic"
"lake rotoiti site 4",54730,2014,3.5,"Stratified","Volcanic"
