"LAWAID","Parameter","Trend15"
"lawa-102219","Secchi",-99
"lawa-102219","CHLA",-99
"lawa-102219","ECOLI",-99
"es-000142","TP",2
"es-000142","NH4N",-99
"es-000142","TN",-99
"es-000142","Secchi",-99
"es-000142","CHLA",-99
"es-000142","ECOLI",-99
"es-000157","TP",-99
"es-000157","NH4N",-99
"es-000157","TN",-99
"es-000157","Secchi",-99
"es-000157","CHLA",-99
"es-000157","ECOLI",-99
"es-000158","TP",-99
"es-000158","NH4N",-99
"es-000158","TN",-99
"es-000158","Secchi",-99
"es-000158","CHLA",-99
"es-000158","ECOLI",-99
"es-000159","TP",-99
"es-000159","NH4N",-99
"es-000159","TN",-99
"es-000159","Secchi",-99
"es-000159","CHLA",-99
"es-000159","ECOLI",-99
